pos,target,ref_nll,quant_nll,ref_top1,quant_top1
64,33988,5.7479,5.2089,15789,2923
65,19431,3.3594,2.4297,48837,48837
66,4147,1.4154,1.0329,4147,4147
67,343,2.6763,3.3835,271,271
68,31653,7.5515,7.4312,3575,9832
69,18591,6.2063,5.9661,15,15
70,868,0.1283,0.1067,868,868
71,3476,1.0581,2.0235,3476,671
72,477,0.0555,0.1379,477,477
73,270,2.2936,2.6813,260,260
74,2619,0.3122,0.3911,2619,2619
75,1795,7.5032,6.5393,26614,73706
76,606,0.0088,0.0098,606,606
77,7104,1.4842,2.8251,7104,11014
78,42499,2.3500,3.2256,666,666
79,455,3.9798,4.5814,5375,2042
80,26924,5.7447,7.6711,13607,1487
81,17300,4.8888,4.5824,769,769
82,7704,11.6085,12.4160,260,260
83,16,1.3930,3.4313,16,4306
84,2042,0.2698,0.3700,2042,2042
85,7602,2.3883,2.0290,7009,7009
86,270,2.9370,2.2526,436,436
87,7704,0.6995,0.3613,7704,7704
88,339,0.9087,1.1800,339,339
89,10032,1.3376,1.9588,10032,666
90,4125,0.3294,0.2410,4125,4125
91,1137,0.5530,0.7243,1137,1137
92,19,0.4889,0.3077,19,19
93,16,0.0001,0.0003,16,16
94,19633,5.8033,5.1286,5453,2619
95,3608,2.6370,2.1640,270,270
96,6984,6.0948,7.8357,443,443
97,27801,9.4720,12.2477,443,443
98,17664,0.0014,0.0518,17664,17664
99,32702,0.0000,0.0023,32702,32702
100,17,1.6962,0.1699,2731,17
101,5096,6.5369,11.0926,2638,50851
102,19365,1.0203,1.9358,4073,4073
103,66,0.7416,0.8101,66,66
104,304,0.7342,0.9499,304,304
105,1178,1.3849,0.9357,1762,1178
106,2041,6.1596,5.4548,270,270
107,12472,7.8800,6.9352,26924,1499
108,201,2.1059,1.8389,603,603
109,20,0.0026,0.0047,20,20
110,16,0.0000,0.0000,16,16
111,36745,4.2036,3.8266,70716,40585
112,1017,6.3538,6.9663,270,270
113,12275,6.8305,6.4505,12472,12472
114,12472,0.4604,1.0511,12472,12472
115,2765,1.1208,2.2801,304,304
116,270,1.5633,1.0026,37199,270
117,37199,0.1098,1.1959,37199,223
118,4184,0.1164,0.0787,4184,4184
119,201,0.0550,0.0796,201,201
120,21,0.0001,0.0004,21,21
121,16,0.0000,0.0000,16,16
122,40585,5.0430,3.7624,20870,9658
123,28,3.7215,3.9128,270,270
124,582,1.8487,2.0172,582,1205
125,2337,0.9339,0.8639,2337,2337
126,12275,0.9558,1.1735,12275,12275
