pos,target,ref_nll,quant_nll,ref_top1,quant_top1
128,32901,10.8423,9.9851,1669,2137
129,19042,9.4596,7.7532,35015,31
130,12321,12.9424,11.0470,18,18
131,45,8.1549,8.6193,16,16
132,305,3.9922,3.9591,6787,14
133,9449,8.5160,8.8783,59634,59634
134,31,0.9909,1.3374,31,31
135,10170,7.7525,7.6618,18,18
136,14,3.6762,4.1208,45,45
137,4032,4.5576,3.8328,778,832
138,304,0.0060,0.0072,304,304
139,7704,6.4256,5.8764,54006,94872
140,83873,8.1866,9.2527,65,65
141,2701,3.3234,3.1020,16,343
142,22,0.0006,0.0036,22,22
143,16,0.0000,0.0000,16,16
144,3245,6.1817,5.7486,9658,9658
145,51157,14.8745,12.3500,4869,270
146,4181,1.9541,3.8897,270,44978
147,14,0.1982,0.2280,14,14
148,23393,3.5187,5.7000,8470,1347
149,37199,4.5147,6.4062,418,270
150,5238,4.2862,4.2480,2413,2413
151,2413,1.5047,1.3103,4123,2413
152,4849,3.2898,3.4133,2984,2984
153,223,3.1566,4.1664,4521,270
154,26,0.1819,0.3940,26,26
155,8250,0.9324,1.1362,8250,8250
156,17714,11.1273,8.7350,45386,12472
157,1561,5.1379,5.6707,201,201
158,4123,0.6199,0.5569,4123,4123
159,201,0.6117,0.6701,201,201
160,23,0.0051,0.0194,23,23
161,16,0.0000,0.0001,16,16
162,1317,6.5235,6.6166,16696,9658
163,4535,0.1018,0.2267,4535,4535
164,32492,4.8653,6.9698,19073,4123
165,19073,0.7198,0.3700,19073,19073
166,2951,1.5712,1.6509,396,304
167,377,0.0004,0.0002,377,377
168,1205,0.9430,1.9434,1205,782
169,270,0.9940,2.2328,440,440
170,12472,0.7540,1.1003,12472,12472
171,17336,2.1139,0.9574,4575,17336
172,14,5.6808,7.4374,271,271
173,1539,4.2919,4.3826,554,554
174,4678,0.4232,0.6010,4678,4678
175,1066,0.1822,0.1611,1066,1066
176,295,3.6280,3.7186,271,271
177,112734,1.4818,1.4166,3608,3608
178,271,0.5310,0.6473,271,271
179,10032,3.0857,2.6649,36954,36954
180,4125,3.4482,3.2407,18643,5238
181,344,0.0388,0.1245,344,344
182,2619,3.0497,2.1986,11388,304
183,2869,0.9041,0.2995,30773,2869
184,666,0.0165,0.0183,666,666
185,1137,1.7120,2.8149,304,304
186,15,0.0714,0.0702,15,15
187,16121,3.2957,3.6442,2600,2600
188,30912,4.4945,6.2686,15255,34089
189,94343,9.6248,13.0930,32467,32467
190,23554,15.1461,14.5401,201,943
191,304,0.0007,0.0022,304,304
192,270,1.0310,0.7352,270,270
193,25884,14.1372,11.0105,26924,1487
194,201,0.0966,0.0615,201,201
195,15,0.0002,0.0007,15,15
196,28408,3.3933,4.3164,115825,23989
197,288,0.0000,0.0004,288,288
198,582,2.7398,4.4516,270,270
199,1805,2.0820,1.8231,1805,1805
200,8739,10.7615,11.7882,1487,1487
201,1359,3.7336,3.2357,5466,5466
202,2137,0.9344,0.7212,2137,2137
203,4,0.1367,0.2622,4,4
204,2951,3.3654,2.6067,2503,2503
205,377,0.0282,0.0248,377,377
206,13874,11.8171,14.0420,260,8390
207,5238,2.6635,3.0015,283,283
208,201,0.2952,0.2001,201,201
209,15,0.0002,0.0004,15,15
210,44707,5.8209,6.4391,41697,41697
211,288,0.0016,0.0045,288,288
212,8163,14.9735,15.6432,270,14099
213,16057,2.7885,4.1775,15,83854
214,3737,2.5153,3.2842,10076,10076
215,412,0.6775,0.8650,412,412
216,12745,3.6551,6.1129,582,2041
217,294,0.3229,0.3539,294,294
218,12967,2.9590,3.6671,5657,22805
219,201,0.3352,0.6098,201,201
220,15,0.0013,0.0042,15,15
221,99627,5.2570,7.3344,41697,23989
222,1716,0.0001,0.0002,1716,1716
223,4688,4.6220,4.8413,270,270
224,9405,0.1306,0.2478,9405,9405
225,343,2.5091,3.1143,2503,2503
226,67,6.3868,6.0582,12829,12829
227,4412,1.4061,2.5665,4412,2868
228,11014,0.2840,0.7330,11014,11014
229,1687,0.3776,0.6457,1687,1687
230,566,0.0222,0.0058,566,566
231,2136,3.9533,5.4719,868,868
232,3608,5.9319,6.0103,696,696
233,3092,4.6723,8.1971,31059,24483
234,565,1.1525,0.8510,565,565
235,35305,0.3853,0.6247,35305,35305
236,12477,0.5678,1.0397,12477,66
237,9723,3.2236,3.5667,17,17
238,66,0.4714,0.7060,66,66
239,2136,1.9342,2.5799,344,868
240,305,1.5860,3.1446,305,566
241,936,3.4935,3.4993,579,436
242,304,0.0205,0.0424,304,304
243,13272,5.4435,5.1876,366,366
244,868,3.8076,3.0885,538,538
245,36954,0.5063,0.5746,36954,36954
246,372,0.0340,0.0295,372,372
247,455,2.3664,2.1160,455,455
248,16495,6.6667,9.0582,13521,13521
249,416,0.0613,0.0504,416,416
250,4114,10.3955,8.9675,18626,18626
251,6351,3.7542,2.4044,42688,42688
252,287,1.8220,1.4860,5313,5313
253,12427,0.0330,0.0027,12427,12427
254,15239,0.7802,0.5310,15239,15239
