layer,token,stream,e0,e1,e2,e3,e4,e5
0,0,0,255,230,188,168,62,252
0,0,1,255,230,188,168,62,252
0,1,0,266,112,155,15,47,61
0,1,1,266,112,155,15,47,61
0,2,0,150,122,258,324,163,242
0,2,1,150,122,258,324,163,242
0,3,0,247,144,26,340,332,114
0,3,1,247,144,26,340,332,114
0,4,0,147,339,111,167,119,343
0,4,1,147,339,111,167,119,343
0,5,0,188,39,361,289,209,368
0,5,1,188,39,361,289,209,368
0,6,0,322,345,184,135,351,60
0,6,1,322,345,184,135,351,60
0,7,0,203,153,141,34,232,191
0,7,1,203,153,141,34,232,191
1,0,0,52,301,17,298,70,185
1,0,1,52,301,17,298,70,185
1,1,0,237,168,41,118,48,146
1,1,1,237,168,41,118,48,146
1,2,0,211,206,201,283,18,146
1,2,1,211,206,201,283,18,146
1,3,0,375,256,9,145,180,303
1,3,1,375,256,9,145,180,303
1,4,0,274,252,0,191,45,228
1,4,1,274,252,0,191,45,228
1,5,0,101,241,169,78,292,238
1,5,1,101,241,169,78,292,238
1,6,0,134,141,380,31,120,3
1,6,1,134,141,380,31,120,3
1,7,0,195,117,15,138,39,153
1,7,1,195,117,15,138,39,153
2,0,0,342,0,133,309,193,106
2,0,1,342,0,133,309,193,106
2,1,0,69,144,298,8,207,61
2,1,1,69,144,298,8,207,61
2,2,0,242,201,60,328,111,355
2,2,1,242,201,60,328,111,355
2,3,0,203,63,11,234,122,69
2,3,1,203,63,11,234,122,69
2,4,0,117,264,75,18,367,58
2,4,1,117,264,75,18,367,58
2,5,0,46,343,91,164,121,224
2,5,1,46,343,91,164,121,224
2,6,0,248,304,341,19,212,290
2,6,1,248,304,341,19,212,290
2,7,0,195,308,186,25,41,78
2,7,1,195,308,186,25,41,78
3,0,0,100,374,2,67,78,190
3,0,1,100,78,374,2,237,190
3,1,0,10,59,184,93,163,79
3,1,1,59,163,10,296,119,93
3,2,0,274,287,263,79,318,377
3,2,1,274,287,263,79,318,377
3,3,0,79,21,263,200,55,267
3,3,1,79,21,263,55,200,34
3,4,0,80,140,88,329,215,15
3,4,1,80,140,329,88,259,15
3,5,0,53,344,79,213,263,65
3,5,1,53,344,79,263,213,65
3,6,0,212,44,55,86,318,89
3,6,1,212,44,318,89,86,100
3,7,0,259,329,263,79,113,40
3,7,1,259,329,263,79,113,40
4,0,0,155,27,39,162,33,268
4,0,1,155,27,39,33,162,216
4,1,0,233,210,150,148,146,188
4,1,1,210,233,150,148,146,321
4,2,0,323,261,371,175,244,340
4,2,1,323,261,371,175,244,340
4,3,0,106,117,254,80,370,256
4,3,1,106,117,254,256,155,370
4,4,0,357,202,0,26,102,224
4,4,1,357,202,0,102,224,84
4,5,0,74,340,352,275,325,139
4,5,1,74,13,340,275,325,131
4,6,0,134,271,95,341,273,148
4,6,1,134,271,95,341,273,148
4,7,0,184,48,374,314,195,92
4,7,1,184,48,195,92,374,314
5,0,0,91,288,109,77,66,5
5,0,1,91,109,288,66,77,270
5,1,0,230,246,214,216,197,136
5,1,1,230,246,216,214,372,11
5,2,0,375,104,288,364,313,81
5,2,1,375,104,288,364,313,81
5,3,0,260,165,269,206,53,285
5,3,1,260,165,201,53,269,13
5,4,0,161,380,356,226,288,269
5,4,1,161,380,269,226,356,288
5,5,0,20,288,62,165,275,103
5,5,1,20,288,62,165,275,269
5,6,0,316,214,288,265,206,313
5,6,1,316,214,265,313,288,165
5,7,0,288,380,237,286,208,119
5,7,1,380,288,237,119,286,208
6,0,0,114,53,38,184,201,301
6,0,1,114,53,38,172,184,201
6,1,0,64,236,54,242,39,71
6,1,1,64,236,71,53,242,318
6,2,0,182,360,53,268,49,194
6,2,1,360,182,53,268,49,266
6,3,0,16,247,260,54,155,164
6,3,1,16,247,260,211,371,196
6,4,0,372,144,355,237,337,53
6,4,1,372,144,237,369,355,3
6,5,0,53,106,49,194,156,342
6,5,1,53,106,364,49,97,194
6,6,0,268,53,209,196,242,155
6,6,1,268,53,209,196,275,242
6,7,0,53,372,314,102,194,44
6,7,1,53,372,314,102,194,44
7,0,0,164,258,123,261,259,138
7,0,1,164,258,261,259,123,347
7,1,0,299,1,238,360,116,160
7,1,1,299,160,36,80,180,29
7,2,0,26,81,65,103,94,144
7,2,1,26,81,65,103,144,123
7,3,0,48,383,106,249,256,364
7,3,1,48,383,256,249,156,258
7,4,0,115,46,145,75,257,223
7,4,1,115,145,46,75,257,223
7,5,0,211,103,48,123,374,225
7,5,1,211,103,48,225,374,123
7,6,0,274,348,101,230,309,187
7,6,1,274,348,230,101,125,51
7,7,0,123,115,325,258,61,156
7,7,1,115,123,325,258,61,129
8,0,0,294,247,261,65,0,248
8,0,1,294,247,261,380,65,162
8,1,0,0,294,1,41,119,83
8,1,1,0,294,17,41,119,1
8,2,0,83,294,38,24,31,77
8,2,1,83,294,77,24,31,212
8,3,0,294,258,247,281,88,107
8,3,1,258,294,281,325,7,88
8,4,0,153,222,160,281,74,294
8,4,1,153,222,160,281,258,74
8,5,0,294,247,261,156,25,281
8,5,1,294,350,247,261,308,25
8,6,0,294,247,173,70,5,253
8,6,1,294,70,173,196,240,47
8,7,0,294,341,247,375,107,180
8,7,1,294,341,247,107,180,375
9,0,0,267,353,338,218,223,39
9,0,1,267,353,338,218,94,239
9,1,0,332,229,234,257,313,250
9,1,1,229,234,332,355,77,182
9,2,0,331,114,196,138,294,326
9,2,1,114,196,138,331,123,294
9,3,0,39,1,69,59,183,357
9,3,1,1,39,107,189,286,183
9,4,0,1,150,220,27,360,140
9,4,1,1,150,220,168,360,27
9,5,0,214,115,218,114,92,219
9,5,1,214,115,215,218,114,92
9,6,0,266,92,345,258,342,215
9,6,1,266,323,92,342,217,97
9,7,0,161,353,92,271,207,39
9,7,1,161,353,92,271,207,218
10,0,0,13,313,163,120,71,179
10,0,1,313,292,71,163,347,13
10,1,0,57,349,144,198,167,197
10,1,1,57,198,144,84,349,167
10,2,0,194,216,178,266,177,19
10,2,1,194,266,216,178,177,174
10,3,0,256,345,98,66,372,179
10,3,1,256,345,372,363,144,98
10,4,0,230,173,265,159,98,253
10,4,1,230,173,253,159,265,98
10,5,0,194,321,192,31,177,277
10,5,1,321,189,286,68,177,19
10,6,0,237,242,36,177,32,120
10,6,1,237,177,255,179,194,266
10,7,0,321,143,108,230,378,325
10,7,1,143,321,378,230,325,328
11,0,0,164,339,46,377,353,310
11,0,1,339,164,46,235,345,353
11,1,0,79,238,180,377,306,276
11,1,1,238,79,180,32,175,303
11,2,0,303,99,29,163,157,199
11,2,1,303,99,248,29,383,33
11,3,0,191,41,63,228,251,207
11,3,1,228,221,68,65,63,130
11,4,0,68,79,299,208,50,51
11,4,1,68,79,208,299,50,241
11,5,0,159,164,41,27,360,359
11,5,1,159,171,164,41,359,40
11,6,0,233,284,44,48,215,306
11,6,1,233,133,44,215,48,17
11,7,0,310,164,339,263,171,191
11,7,1,339,310,164,263,18,171
12,0,0,189,126,120,185,246,78
12,0,1,189,185,120,126,246,175
12,1,0,18,114,95,78,280,169
12,1,1,18,78,21,95,122,263
12,2,0,187,101,60,280,218,179
12,2,1,187,101,231,60,280,220
12,3,0,2,357,255,239,133,97
12,3,1,2,357,255,199,97,354
12,4,0,307,148,70,239,80,354
12,4,1,307,148,70,80,371,354
12,5,0,318,78,140,138,84,246
12,5,1,318,84,140,146,120,78
12,6,0,120,27,21,246,109,276
12,6,1,120,109,208,12,27,276
12,7,0,167,126,140,4,82,226
12,7,1,167,126,4,120,161,82
13,0,0,157,189,96,127,265,42
13,0,1,157,189,127,96,265,337
13,1,0,329,94,348,258,322,273
13,1,1,329,258,94,322,337,170
13,2,0,297,189,94,205,140,166
13,2,1,189,127,297,205,138,94
13,3,0,165,55,310,230,1,272
13,3,1,310,55,165,30,230,36
13,4,0,263,80,166,156,230,30
13,4,1,263,80,156,30,166,29
13,5,0,90,211,278,309,127,94
13,5,1,90,189,127,211,145,309
13,6,0,12,265,235,238,325,54
13,6,1,12,265,325,42,235,194
13,7,0,378,135,65,272,186,325
13,7,1,378,135,272,186,65,54
14,0,0,85,312,316,95,282,56
14,0,1,85,312,95,316,40,332
14,1,0,167,117,348,236,261,23
14,1,1,167,117,375,348,242,261
14,2,0,164,18,103,56,17,317
14,2,1,164,122,18,17,56,103
14,3,0,308,164,122,56,259,176
14,3,1,308,122,164,259,56,176
14,4,0,365,1,13,296,69,375
14,4,1,1,365,13,170,69,268
14,5,0,164,374,4,122,168,281
14,5,1,164,168,4,374,372,185
14,6,0,227,164,111,85,64,374
14,6,1,85,227,64,111,164,143
14,7,0,247,372,263,374,271,233
14,7,1,247,372,263,233,271,374
15,0,0,362,11,334,52,203,130
15,0,1,362,11,334,298,130,52
15,1,0,288,150,134,110,13,244
15,1,1,288,150,110,141,13,206
15,2,0,96,224,253,143,236,141
15,2,1,96,224,276,141,143,311
15,3,0,109,308,253,281,39,88
15,3,1,109,39,342,97,281,66
15,4,0,328,60,203,353,300,111
15,4,1,328,353,60,111,292,203
15,5,0,301,68,11,264,317,364
15,5,1,301,68,11,130,147,254
15,6,0,362,68,227,317,90,130
15,6,1,362,317,68,90,227,309
15,7,0,362,289,119,129,77,203
15,7,1,362,289,119,129,77,203
16,0,0,114,155,154,187,302,289
16,0,1,114,5,155,147,187,286
16,1,0,9,103,174,187,362,68
16,1,1,103,9,174,325,21,362
16,2,0,362,99,305,125,303,198
16,2,1,362,99,120,188,303,178
16,3,0,181,74,90,362,366,26
16,3,1,181,147,362,74,90,26
16,4,0,360,102,154,362,107,269
16,4,1,360,102,154,249,190,269
16,5,0,262,324,362,178,47,71
16,5,1,262,324,71,178,277,47
16,6,0,49,74,114,203,303,44
16,6,1,49,74,203,44,303,58
16,7,0,341,360,262,362,114,125
16,7,1,341,360,262,114,362,125
17,0,0,91,254,113,267,29,335
17,0,1,91,254,29,113,370,327
17,1,0,255,127,53,235,108,337
17,1,1,255,235,153,53,349,175
17,2,0,175,7,278,190,264,370
17,2,1,175,264,7,362,254,370
17,3,0,82,30,254,233,129,328
17,3,1,82,254,30,129,46,357
17,4,0,288,82,337,255,175,166
17,4,1,288,82,337,255,175,167
17,5,0,175,370,157,116,261,91
17,5,1,370,175,261,157,206,375
17,6,0,119,91,337,175,327,367
17,6,1,119,91,337,56,157,273
17,7,0,337,175,137,80,91,250
17,7,1,337,137,175,80,250,91
18,0,0,192,167,98,376,57,138
18,0,1,192,98,167,82,50,57
18,1,0,119,238,190,280,58,373
18,1,1,58,238,280,190,295,119
18,2,0,365,330,167,343,198,98
18,2,1,365,343,106,330,342,198
18,3,0,50,166,330,360,185,164
18,3,1,166,330,50,345,201,365
18,4,0,361,238,341,330,343,216
18,4,1,361,341,59,193,330,114
18,5,0,167,144,343,330,16,98
18,5,1,167,144,16,138,205,330
18,6,0,167,57,43,271,208,30
18,6,1,167,30,119,208,57,304
18,7,0,167,330,77,43,192,50
18,7,1,167,77,330,43,50,192
19,0,0,159,318,359,188,223,187
19,0,1,159,318,65,188,113,33
19,1,0,24,212,364,180,207,257
19,1,1,24,364,212,36,247,257
19,2,0,64,120,364,365,283,7
19,2,1,120,318,64,7,364,322
19,3,0,9,70,364,84,333,167
19,3,1,9,70,364,358,84,102
19,4,0,24,120,296,64,364,207
19,4,1,296,24,92,364,64,120
19,5,0,120,64,80,68,70,7
19,5,1,120,256,70,64,111,80
19,6,0,120,70,256,193,24,227
19,6,1,120,70,193,256,339,187
19,7,0,120,64,9,153,342,358
19,7,1,120,153,64,342,364,358
20,0,0,319,25,363,116,194,294
20,0,1,319,194,363,25,369,191
20,1,0,191,13,278,235,35,240
20,1,1,191,235,35,278,13,59
20,2,0,353,233,4,194,105,248
20,2,1,353,233,278,124,121,264
20,3,0,327,379,191,26,116,77
20,3,1,116,26,191,353,13,380
20,4,0,191,143,13,284,55,347
20,4,1,143,191,55,13,347,4
20,5,0,347,381,353,194,121,377
20,5,1,377,194,381,81,39,347
20,6,0,4,105,185,369,347,317
20,6,1,105,185,279,4,317,91
20,7,0,347,353,343,324,351,317
20,7,1,353,347,327,13,99,317
21,0,0,158,88,226,23,308,289
21,0,1,158,88,226,23,308,45
21,1,0,45,159,378,227,321,51
21,1,1,45,159,378,257,227,256
21,2,0,121,371,377,352,364,103
21,2,1,121,308,377,45,352,364
21,3,0,226,45,168,47,208,84
21,3,1,168,132,45,84,366,277
21,4,0,65,45,226,277,140,132
21,4,1,65,45,226,158,277,172
21,5,0,45,103,172,121,99,277
21,5,1,121,77,45,377,172,103
21,6,0,158,152,23,250,103,92
21,6,1,158,23,289,103,358,224
21,7,0,158,117,277,87,208,352
21,7,1,158,117,277,208,45,349
22,0,0,316,37,74,111,336,306
22,0,1,111,275,376,306,37,247
22,1,0,356,224,42,126,343,111
22,1,1,356,42,118,224,376,233
22,2,0,207,360,78,343,153,259
22,2,1,207,259,21,76,343,247
22,3,0,207,42,221,360,233,330
22,3,1,207,254,360,144,74,177
22,4,0,356,155,42,321,327,153
22,4,1,42,285,155,74,356,286
22,5,0,207,260,58,141,195,76
22,5,1,207,68,111,275,117,247
22,6,0,207,260,343,141,345,80
22,6,1,343,207,260,141,336,80
22,7,0,260,340,229,126,141,42
22,7,1,260,229,340,126,268,255
23,0,0,358,10,74,335,131,176
23,0,1,306,52,152,131,298,0
23,1,0,80,26,272,142,262,63
23,1,1,80,42,142,262,358,129
23,2,0,262,287,349,21,26,44
23,2,1,262,162,26,172,117,374
23,3,0,48,312,317,348,0,86
23,3,1,48,58,317,336,354,348
23,4,0,241,67,124,298,96,176
23,4,1,241,67,176,124,343,331
23,5,0,255,1,48,354,100,314
23,5,1,1,197,255,48,312,76
23,6,0,26,100,354,120,314,10
23,6,1,100,26,351,345,147,221
23,7,0,241,26,287,354,94,27
23,7,1,241,26,324,287,27,267
24,0,0,82,246,265,231,380,15
24,0,1,231,15,82,246,363,118
24,1,0,222,114,309,39,218,206
24,1,1,309,218,126,70,78,377
24,2,0,122,70,9,195,377,38
24,2,1,9,70,114,122,38,96
24,3,0,246,239,265,186,82,191
24,3,1,246,70,191,239,265,87
24,4,0,147,382,15,126,200,246
24,4,1,126,309,382,246,147,213
24,5,0,246,265,82,9,263,157
24,5,1,268,82,266,246,121,195
24,6,0,265,121,246,258,247,341
24,6,1,246,191,265,258,121,247
24,7,0,265,246,87,146,341,52
24,7,1,265,246,146,52,78,87
25,0,0,372,383,107,65,76,74
25,0,1,348,258,132,383,283,41
25,1,0,30,35,361,360,156,203
25,1,1,107,30,203,35,100,361
25,2,0,186,107,334,317,348,236
25,2,1,186,107,271,379,50,317
25,3,0,210,107,347,65,236,337
25,3,1,210,236,378,197,334,248
25,4,0,328,9,378,50,193,284
25,4,1,378,328,9,102,357,245
25,5,0,107,72,45,82,152,7
25,5,1,348,107,195,347,98,175
25,6,0,154,65,72,333,107,11
25,6,1,154,220,72,333,34,65
25,7,0,107,65,273,152,258,26
25,7,1,107,334,65,258,133,152
26,0,0,183,53,158,265,38,173
26,0,1,53,279,55,9,291,205
26,1,0,292,172,375,303,261,252
26,1,1,75,224,167,27,303,292
26,2,0,181,226,279,259,61,357
26,2,1,146,214,83,61,21,80
26,3,0,214,146,53,265,222,226
26,3,1,335,18,11,183,379,315
26,4,0,217,204,265,145,149,238
26,4,1,217,224,340,146,148,75
26,5,0,53,279,172,61,217,272
26,5,1,146,53,172,70,21,76
26,6,0,382,233,53,43,172,304
26,6,1,354,14,18,61,328,72
26,7,0,53,117,135,217,183,281
26,7,1,172,217,53,151,135,278
27,0,0,225,143,251,82,103,237
27,0,1,225,82,349,30,228,259
27,1,0,142,233,316,327,335,298
27,1,1,335,142,316,233,134,327
27,2,0,225,177,78,2,29,228
27,2,1,225,177,23,251,61,129
27,3,0,225,297,62,177,277,24
27,3,1,225,177,72,297,12,170
27,4,0,329,225,103,177,298,228
27,4,1,225,265,329,298,383,228
27,5,0,225,288,6,207,118,107
27,5,1,225,288,6,238,228,309
27,6,0,2,112,70,261,177,294
27,6,1,70,177,368,109,12,61
27,7,0,177,225,132,128,109,250
27,7,1,177,109,326,225,61,30
28,0,0,98,361,222,369,291,22
28,0,1,98,51,260,160,243,280
28,1,0,52,296,252,4,241,51
28,1,1,51,52,154,160,270,74
28,2,0,196,369,228,160,51,270
28,2,1,51,228,48,22,87,13
28,3,0,75,285,310,322,362,126
28,3,1,45,295,107,78,314,207
28,4,0,287,51,160,93,222,332
28,4,1,51,110,271,230,160,287
28,5,0,339,13,285,311,61,191
28,5,1,51,243,201,352,105,160
28,6,0,352,51,269,271,160,312
28,6,1,51,352,160,11,124,264
28,7,0,51,48,31,47,26,285
28,7,1,51,31,45,47,369,160
29,0,0,329,87,311,159,369,280
29,0,1,197,273,329,286,87,126
29,1,0,339,314,332,324,169,111
29,1,1,339,324,240,371,322,369
29,2,0,55,327,87,287,293,9
29,2,1,127,273,118,287,369,133
29,3,0,60,70,281,88,226,89
29,3,1,60,70,197,287,377,118
29,4,0,113,99,173,274,311,322
29,4,1,99,245,311,94,39,235
29,5,0,287,87,188,19,240,267
29,5,1,348,190,87,248,236,118
29,6,0,242,87,334,49,259,127
29,6,1,242,370,369,324,376,248
29,7,0,87,44,229,190,33,230
29,7,1,197,87,44,113,249,16
30,0,0,140,37,260,65,67,215
30,0,1,65,241,140,186,220,207
30,1,0,307,253,162,121,220,142
30,1,1,140,307,54,376,133,348
30,2,0,140,37,50,371,67,74
30,2,1,140,159,91,141,37,55
30,3,0,140,37,213,311,87,111
30,3,1,37,140,146,110,194,173
30,4,0,140,332,110,111,284,374
30,4,1,140,110,290,311,184,306
30,5,0,140,53,241,285,162,185
30,5,1,140,241,276,99,98,38
