iter,best_avalanche,best_balance,best_period,best_chisq,best_length,best_composite,accepted,beats_ref
0,26.7769,31.5664,4096,275.3750,5,-7.1032,1,0
1,26.7769,31.5664,4096,275.3750,5,-7.1032,2,0
2,26.7769,31.5664,4096,275.3750,5,-7.1032,3,0
3,26.7769,31.5664,4096,275.3750,5,-7.1032,4,0
4,26.7769,31.5664,4096,275.3750,5,-7.1032,5,0
5,26.7769,31.5664,4096,275.3750,5,-7.1032,6,0
6,26.7769,31.5664,4096,275.3750,5,-7.1032,6,0
7,26.7769,31.5664,4096,275.3750,5,-7.1032,7,0
8,26.7769,31.5664,4096,275.3750,5,-7.1032,8,0
9,26.7769,31.5664,4096,275.3750,5,-7.1032,9,0
10,26.7769,31.5664,4096,275.3750,5,-7.1032,9,0
11,26.7769,31.5664,4096,275.3750,5,-7.1032,10,0
12,26.7769,31.5664,4096,275.3750,5,-7.1032,11,0
13,26.7769,31.5664,4096,275.3750,5,-7.1032,11,0
14,26.7769,31.5664,4096,275.3750,5,-7.1032,11,0
15,26.7769,31.5664,4096,275.3750,5,-7.1032,12,0
16,26.7769,31.5664,4096,275.3750,5,-7.1032,13,0
17,26.7769,31.5664,4096,275.3750,5,-7.1032,14,0
18,26.7769,31.5664,4096,275.3750,5,-7.1032,15,0
19,26.7769,31.5664,4096,275.3750,5,-7.1032,15,0
20,26.7769,31.5664,4096,275.3750,5,-7.1032,16,0
21,26.7769,31.5664,4096,275.3750,5,-7.1032,17,0
22,26.7769,31.5664,4096,275.3750,5,-7.1032,18,0
23,26.7769,31.5664,4096,275.3750,5,-7.1032,19,0
24,26.7769,31.5664,4096,275.3750,5,-7.1032,19,0
25,26.7769,31.5664,4096,275.3750,4,-6.6032,20,0
26,26.7769,31.5664,4096,275.3750,4,-6.6032,21,0
27,26.7769,31.5664,4096,275.3750,4,-6.6032,22,0
28,26.7769,31.5664,4096,275.3750,4,-6.6032,22,0
29,26.7769,31.5664,4096,275.3750,4,-6.6032,22,0
30,26.7769,31.5664,4096,275.3750,4,-6.6032,23,0
31,26.7769,31.5664,4096,275.3750,4,-6.6032,24,0
32,26.7769,31.5664,4096,275.3750,4,-6.6032,24,0
33,26.7769,31.5664,4096,275.3750,4,-6.6032,24,0
34,26.7769,31.5664,4096,275.3750,4,-6.6032,25,0
35,26.7769,31.5664,4096,275.3750,4,-6.6032,26,0
36,26.7769,31.5664,4096,275.3750,4,-6.6032,27,0
37,26.7769,31.5664,4096,275.3750,4,-6.6032,28,0
38,26.7769,31.5664,4096,275.3750,4,-6.6032,29,0
39,26.7769,31.5664,4096,275.3750,4,-6.6032,30,0
40,26.7769,31.5664,4096,275.3750,4,-6.6032,31,0
41,26.7769,31.5664,4096,275.3750,4,-6.6032,32,0
42,26.7769,31.5664,4096,275.3750,4,-6.6032,33,0
43,26.7769,31.5664,4096,275.3750,4,-6.6032,34,0
44,26.7769,31.5664,4096,275.3750,4,-6.6032,34,0
45,26.7769,31.5664,4096,275.3750,4,-6.6032,35,0
46,26.7769,31.5664,4096,275.3750,4,-6.6032,36,0
47,26.7769,31.5664,4096,275.3750,4,-6.6032,37,0
48,26.7769,31.5664,4096,275.3750,4,-6.6032,38,0
49,26.7769,31.5664,4096,275.3750,4,-6.6032,39,0
50,26.7769,31.5664,4096,275.3750,4,-6.6032,39,0
51,26.7769,31.5664,4096,275.3750,4,-6.6032,40,0
52,26.7769,31.5664,4096,275.3750,4,-6.6032,41,0
53,26.7769,31.5664,4096,275.3750,4,-6.6032,42,0
54,26.7769,31.5664,4096,275.3750,4,-6.6032,42,0
55,26.7769,31.5664,4096,275.3750,4,-6.6032,42,0
56,26.7769,31.5664,4096,275.3750,4,-6.6032,43,0
57,26.7769,31.5664,4096,275.3750,4,-6.6032,44,0
58,26.7769,31.5664,4096,275.3750,4,-6.6032,45,0
59,26.7769,31.5664,4096,275.3750,4,-6.6032,46,0
60,26.7769,31.5664,4096,275.3750,4,-6.6032,47,0
61,26.7769,31.5664,4096,275.3750,4,-6.6032,48,0
62,26.7769,31.5664,4096,275.3750,4,-6.6032,49,0
63,26.7769,31.5664,4096,275.3750,4,-6.6032,50,0
64,26.7769,31.5664,4096,275.3750,4,-6.6032,51,0
65,26.7769,31.5664,4096,275.3750,4,-6.6032,51,0
66,26.7769,31.5664,4096,275.3750,4,-6.6032,51,0
67,26.7769,31.5664,4096,275.3750,4,-6.6032,51,0
68,26.7769,31.5664,4096,275.3750,4,-6.6032,52,0
69,26.7769,31.5664,4096,275.3750,4,-6.6032,53,0
70,26.7769,31.5664,4096,275.3750,4,-6.6032,54,0
71,26.7769,31.5664,4096,275.3750,4,-6.6032,55,0
72,26.7769,31.5664,4096,275.3750,4,-6.6032,56,0
73,26.7769,31.5664,4096,275.3750,4,-6.6032,57,0
74,26.7769,31.5664,4096,275.3750,4,-6.6032,58,0
75,26.7769,31.5664,4096,275.3750,4,-6.6032,59,0
76,26.7769,31.5664,4096,275.3750,4,-6.6032,59,0
77,26.7769,31.5664,4096,275.3750,4,-6.6032,59,0
78,26.7769,31.5664,4096,275.3750,4,-6.6032,60,0
79,26.7769,31.5664,4096,275.3750,4,-6.6032,60,0
80,26.7769,31.5664,4096,275.3750,4,-6.6032,60,0
81,26.7769,31.5664,4096,275.3750,4,-6.6032,61,0
82,26.7769,31.5664,4096,275.3750,4,-6.6032,62,0
83,26.7769,31.5664,4096,275.3750,4,-6.6032,62,0
84,26.7769,31.5664,4096,275.3750,4,-6.6032,62,0
85,26.7769,31.5664,4096,275.3750,4,-6.6032,62,0
86,26.7769,31.5664,4096,275.3750,4,-6.6032,63,0
87,26.7769,31.5664,4096,275.3750,4,-6.6032,64,0
88,26.7769,31.5664,4096,275.3750,4,-6.6032,64,0
89,26.7769,31.5664,4096,275.3750,4,-6.6032,65,0
90,26.7769,31.5664,4096,275.3750,4,-6.6032,66,0
91,26.7769,31.5664,4096,275.3750,4,-6.6032,67,0
92,26.7769,31.5664,4096,275.3750,4,-6.6032,68,0
93,26.7769,31.5664,4096,275.3750,4,-6.6032,69,0
94,26.7769,31.5664,4096,275.3750,4,-6.6032,70,0
95,26.7769,31.5664,4096,275.3750,4,-6.6032,70,0
96,26.7769,31.5664,4096,275.3750,4,-6.6032,70,0
97,26.7769,31.5664,4096,275.3750,4,-6.6032,70,0
98,26.7769,31.5664,4096,275.3750,4,-6.6032,71,0
99,26.7769,31.5664,4096,275.3750,4,-6.6032,72,0
100,26.7769,31.5664,4096,275.3750,4,-6.6032,73,0
101,26.7769,31.5664,4096,275.3750,4,-6.6032,74,0
102,26.7100,31.8438,4096,275.3750,4,-5.8854,75,0
103,26.7100,31.8438,4096,275.3750,4,-5.8854,75,0
104,26.7100,31.8438,4096,275.3750,4,-5.8854,76,0
105,26.7100,31.8438,4096,275.3750,4,-5.8854,76,0
106,26.7100,31.8438,4096,275.3750,4,-5.8854,77,0
107,26.7100,31.8438,4096,275.3750,4,-5.8854,78,0
108,26.7100,31.8438,4096,275.3750,4,-5.8854,78,0
109,26.7100,31.8438,4096,275.3750,4,-5.8854,78,0
110,26.7100,31.8438,4096,275.3750,4,-5.8854,79,0
111,26.7100,31.8438,4096,275.3750,4,-5.8854,79,0
112,26.7100,31.8438,4096,275.3750,4,-5.8854,80,0
113,26.7100,31.8438,4096,275.3750,4,-5.8854,81,0
114,26.7100,31.8438,4096,275.3750,4,-5.8854,81,0
115,26.7100,31.8438,4096,275.3750,4,-5.8854,82,0
116,26.7100,31.8438,4096,275.3750,4,-5.8854,82,0
117,26.7100,31.8438,4096,275.3750,4,-5.8854,82,0
118,26.7100,31.8438,4096,275.3750,4,-5.8854,83,0
119,26.7100,31.8438,4096,275.3750,4,-5.8854,83,0
120,26.7100,31.8438,4096,275.3750,4,-5.8854,83,0
121,26.7100,31.8438,4096,275.3750,4,-5.8854,84,0
122,26.7100,31.8438,4096,275.3750,4,-5.8854,84,0
123,26.7100,31.8438,4096,275.3750,4,-5.8854,85,0
124,26.7100,31.8438,4096,275.3750,4,-5.8854,86,0
125,26.7100,31.8438,4096,275.3750,4,-5.8854,87,0
126,26.7100,31.8438,4096,275.3750,4,-5.8854,88,0
127,26.7100,31.8438,4096,275.3750,4,-5.8854,89,0
128,26.7100,31.8438,4096,275.3750,4,-5.8854,90,0
129,26.7100,31.8438,4096,275.3750,4,-5.8854,91,0
130,26.7100,31.8438,4096,275.3750,4,-5.8854,92,0
131,26.7100,31.8438,4096,275.3750,4,-5.8854,93,0
132,26.7100,31.8438,4096,275.3750,4,-5.8854,94,0
133,26.7100,31.8438,4096,275.3750,4,-5.8854,95,0
134,26.7100,31.8438,4096,275.3750,4,-5.8854,96,0
135,26.7100,31.8438,4096,275.3750,4,-5.8854,96,0
136,26.7100,31.8438,4096,275.3750,4,-5.8854,96,0
137,27.2073,32.2266,4096,259.5000,5,-1.6051,97,0
138,27.2073,32.2266,4096,259.5000,5,-1.6051,98,0
139,27.2073,32.2266,4096,259.5000,5,-1.6051,99,0
140,27.2073,32.2266,4096,259.5000,5,-1.6051,100,0
141,27.2073,32.2266,4096,259.5000,5,-1.6051,100,0
142,27.2073,32.2266,4096,259.5000,5,-1.6051,101,0
143,27.2073,32.2266,4096,259.5000,5,-1.6051,101,0
144,27.2073,32.2266,4096,259.5000,5,-1.6051,101,0
145,27.2073,32.2266,4096,259.5000,5,-1.6051,102,0
146,27.2073,32.2266,4096,259.5000,5,-1.6051,103,0
147,27.2073,32.2266,4096,259.5000,5,-1.6051,104,0
148,27.2073,32.2266,4096,259.5000,5,-1.6051,105,0
149,27.2073,32.2266,4096,259.5000,5,-1.6051,106,0
150,27.2073,32.2266,4096,259.5000,5,-1.6051,107,0
151,27.2073,32.2266,4096,259.5000,5,-1.6051,108,0
152,27.2073,32.2266,4096,259.5000,5,-1.6051,109,0
153,27.2073,32.2266,4096,259.5000,5,-1.6051,109,0
154,27.2073,32.2266,4096,259.5000,5,-1.6051,110,0
155,27.2073,32.2266,4096,259.5000,5,-1.6051,111,0
156,27.2073,32.2266,4096,259.5000,5,-1.6051,112,0
157,27.2073,32.2266,4096,259.5000,5,-1.6051,112,0
158,27.2073,32.2266,4096,259.5000,5,-1.6051,113,0
159,27.2073,32.2266,4096,259.5000,5,-1.6051,113,0
160,27.2073,32.2266,4096,259.5000,5,-1.6051,113,0
161,27.2073,32.2266,4096,259.5000,5,-1.6051,114,0
162,27.2073,32.2266,4096,259.5000,5,-1.6051,115,0
163,27.2073,32.2266,4096,259.5000,5,-1.6051,116,0
164,27.2073,32.2266,4096,259.5000,5,-1.6051,116,0
165,27.2073,32.2266,4096,259.5000,5,-1.6051,116,0
166,27.2073,32.2266,4096,259.5000,5,-1.6051,117,0
167,27.2073,32.2266,4096,259.5000,5,-1.6051,118,0
168,27.2073,32.2266,4096,259.5000,5,-1.6051,119,0
169,27.2073,32.2266,4096,259.5000,5,-1.6051,120,0
170,27.2073,32.2266,4096,259.5000,5,-1.6051,121,0
171,27.2073,32.2266,4096,259.5000,5,-1.6051,122,0
172,27.2073,32.2266,4096,259.5000,5,-1.6051,122,0
173,27.2073,32.2266,4096,259.5000,5,-1.6051,123,0
174,27.2073,32.2266,4096,259.5000,5,-1.6051,124,0
175,27.2073,32.2266,4096,259.5000,5,-1.6051,125,0
176,27.2073,32.2266,4096,259.5000,5,-1.6051,126,0
177,27.2073,32.2266,4096,259.5000,5,-1.6051,127,0
178,27.2073,32.2266,4096,259.5000,5,-1.6051,128,0
179,27.2073,32.2266,4096,259.5000,5,-1.6051,128,0
180,27.2073,32.2266,4096,259.5000,5,-1.6051,129,0
181,27.2073,32.2266,4096,259.5000,5,-1.6051,129,0
182,27.2073,32.2266,4096,259.5000,5,-1.6051,130,0
183,27.2073,32.2266,4096,259.5000,5,-1.6051,131,0
184,27.2073,32.2266,4096,259.5000,5,-1.6051,132,0
185,27.2073,32.2266,4096,259.5000,5,-1.6051,133,0
186,27.2073,32.2266,4096,259.5000,5,-1.6051,134,0
187,27.2073,32.2266,4096,259.5000,5,-1.6051,135,0
188,27.2073,32.2266,4096,259.5000,5,-1.6051,136,0
189,27.2073,32.2266,4096,259.5000,5,-1.6051,137,0
190,27.2073,32.2266,4096,259.5000,5,-1.6051,137,0
191,27.2073,32.2266,4096,259.5000,5,-1.6051,138,0
192,27.2073,32.2266,4096,259.5000,5,-1.6051,139,0
193,27.2073,32.2266,4096,259.5000,5,-1.6051,140,0
194,27.2073,32.2266,4096,259.5000,5,-1.6051,141,0
195,27.2073,32.2266,4096,259.5000,5,-1.6051,142,0
196,27.2073,32.2266,4096,259.5000,5,-1.6051,142,0
197,27.2073,32.2266,4096,259.5000,5,-1.6051,143,0
198,27.2073,32.2266,4096,259.5000,5,-1.6051,143,0
199,27.2073,32.2266,4096,259.5000,5,-1.6051,144,0
200,27.2073,32.2266,4096,259.5000,5,-1.6051,145,0
201,27.2073,32.2266,4096,259.5000,5,-1.6051,146,0
202,27.2073,32.2266,4096,259.5000,5,-1.6051,147,0
203,27.2073,32.2266,4096,259.5000,5,-1.6051,148,0
204,27.2073,32.2266,4096,259.5000,5,-1.6051,149,0
205,27.2073,32.2266,4096,259.5000,5,-1.6051,150,0
206,27.2073,32.2266,4096,259.5000,5,-1.6051,150,0
207,27.2073,32.2266,4096,259.5000,5,-1.6051,150,0
208,27.2073,32.2266,4096,259.5000,5,-1.6051,151,0
209,27.2073,32.2266,4096,259.5000,5,-1.6051,152,0
210,27.2073,32.2266,4096,259.5000,5,-1.6051,152,0
211,27.2073,32.2266,4096,259.5000,5,-1.6051,153,0
212,27.2073,32.2266,4096,259.5000,5,-1.6051,154,0
213,27.2073,32.2266,4096,259.5000,5,-1.6051,155,0
214,27.2073,32.2266,4096,259.5000,5,-1.6051,156,0
215,27.2073,32.2266,4096,259.5000,5,-1.6051,157,0
216,27.2073,32.2266,4096,259.5000,5,-1.6051,157,0
217,27.2073,32.2266,4096,259.5000,5,-1.6051,158,0
218,27.2073,32.2266,4096,259.5000,5,-1.6051,158,0
219,27.2073,32.2266,4096,259.5000,5,-1.6051,158,0
220,27.2073,32.2266,4096,259.5000,5,-1.6051,159,0
221,27.2073,32.2266,4096,259.5000,5,-1.6051,159,0
222,27.2073,32.2266,4096,259.5000,5,-1.6051,160,0
223,27.2073,32.2266,4096,259.5000,5,-1.6051,160,0
224,27.2073,32.2266,4096,259.5000,5,-1.6051,160,0
225,27.2073,32.2266,4096,259.5000,5,-1.6051,160,0
226,27.2073,32.2266,4096,259.5000,5,-1.6051,160,0
227,27.2073,32.2266,4096,259.5000,5,-1.6051,161,0
228,27.2073,32.2266,4096,259.5000,5,-1.6051,161,0
229,27.2073,32.2266,4096,259.5000,5,-1.6051,162,0
230,27.2073,32.2266,4096,259.5000,5,-1.6051,163,0
231,27.2073,32.2266,4096,259.5000,4,-1.1051,164,0
232,27.2073,32.2266,4096,259.5000,4,-1.1051,164,0
233,27.2073,32.2266,4096,259.5000,4,-1.1051,164,0
234,27.2073,32.2266,4096,259.5000,4,-1.1051,165,0
235,27.2073,32.2266,4096,259.5000,4,-1.1051,166,0
236,27.2073,32.2266,4096,259.5000,4,-1.1051,166,0
237,27.2073,32.2266,4096,259.5000,4,-1.1051,167,0
238,27.2073,32.2266,4096,259.5000,4,-1.1051,168,0
