label	before_ops	after_ops	saving
artifact_000	13	2	11
artifact_001	9	0	9
artifact_002	6	0	6
artifact_003	14	2	12
artifact_004	11	2	9
artifact_005	9	2	7
artifact_006	9	2	7
artifact_007	10	2	8
artifact_008	10	2	8
artifact_009	11	0	11
artifact_010	7	2	5
artifact_011	11	0	11
artifact_012	8	2	6
artifact_013	11	2	9
artifact_014	7	0	7
artifact_015	13	2	11
artifact_016	8	0	8
artifact_017	11	2	9
artifact_018	8	2	6
artifact_019	13	2	11
artifact_020	9	2	7
artifact_021	11	3	8
artifact_022	13	2	11
artifact_023	13	2	11
artifact_024	6	2	4
artifact_025	10	0	10
artifact_026	6	2	4
artifact_027	9	2	7
artifact_028	13	2	11
artifact_029	12	2	10
artifact_030	8	2	6
artifact_031	9	2	7
artifact_032	13	2	11
artifact_033	8	2	6
artifact_034	8	2	6
artifact_035	14	2	12
artifact_036	10	2	8
artifact_037	6	2	4
artifact_038	15	2	13
artifact_039	14	2	12
artifact_040	8	2	6
artifact_041	6	0	6
artifact_042	11	2	9
artifact_043	6	2	4
artifact_044	7	2	5
artifact_045	9	2	7
artifact_046	12	2	10
artifact_047	13	2	11
artifact_048	11	2	9
artifact_049	9	2	7
artifact_050	12	2	10
artifact_051	11	2	9
artifact_052	8	2	6
artifact_053	12	2	10
artifact_054	8	2	6
artifact_055	11	2	9
artifact_056	13	2	11
artifact_057	15	2	13
artifact_058	9	2	7
artifact_059	9	2	7
artifact_060	14	2	12
artifact_061	13	2	11
artifact_062	14	2	12
artifact_063	7	2	5
artifact_064	8	2	6
artifact_065	14	2	12
artifact_066	12	2	10
artifact_067	10	2	8
artifact_068	9	2	7
artifact_069	8	2	6
artifact_070	15	2	13
artifact_071	14	2	12
artifact_072	9	2	7
artifact_073	11	2	9
artifact_074	10	2	8
artifact_075	10	2	8
artifact_076	9	2	7
artifact_077	9	2	7
artifact_078	14	2	12
artifact_079	14	6	8
artifact_080	9	2	7
artifact_081	13	2	11
artifact_082	9	0	9
artifact_083	9	2	7
artifact_084	8	2	6
artifact_085	12	2	10
artifact_086	9	0	9
artifact_087	9	2	7
artifact_088	11	2	9
artifact_089	9	2	7
artifact_090	19	2	17
artifact_091	7	2	5
artifact_092	12	2	10
artifact_093	11	2	9
artifact_094	7	0	7
artifact_095	12	2	10
artifact_096	13	2	11
artifact_097	9	2	7
artifact_098	10	2	8
artifact_099	6	2	4
artifact_100	8	2	6
artifact_101	12	2	10
artifact_102	14	2	12
artifact_103	7	2	5
artifact_104	17	2	15
artifact_105	8	2	6
artifact_106	10	2	8
artifact_107	8	2	6
artifact_108	8	0	8
artifact_109	10	2	8
artifact_110	11	2	9
artifact_111	7	0	7
artifact_112	14	2	12
artifact_113	12	2	10
artifact_114	10	2	8
artifact_115	14	2	12
artifact_116	11	2	9
artifact_117	9	2	7
artifact_118	10	2	8
artifact_119	15	2	13
