seed_index,seed,arm,predicate,accuracy
0,0xA102026,majority_rate,band,0.5370
0,0xA102026,xor_prototype,band,0.5195
0,0xA102026,xor_linear_raw,band,0.5070
0,0xA102026,xor_logistic_std,band,0.5070
0,0xA102026,xor_linear_raw,sum,0.4990
0,0xA102026,hadamard_logistic_std,band,0.9690
0,0xA102026,clifford_logistic_std,band,0.9710
0,0xA102026,clifford_linear_raw,band,0.9925
0,0xA102026,clifford_logistic_std,sum,0.9830
0,0xA102026,clifford_shuffled_labels,band,0.4975
0,0xA102026,xor_shuffled_labels,band,0.5125
1,0xA103F15,majority_rate,band,0.5100
1,0xA103F15,xor_prototype,band,0.5040
1,0xA103F15,xor_linear_raw,band,0.5180
1,0xA103F15,xor_logistic_std,band,0.5225
1,0xA103F15,xor_linear_raw,sum,0.5140
1,0xA103F15,hadamard_logistic_std,band,0.9720
1,0xA103F15,clifford_logistic_std,band,0.9740
1,0xA103F15,clifford_linear_raw,band,0.9815
1,0xA103F15,clifford_logistic_std,sum,0.9720
1,0xA103F15,clifford_shuffled_labels,band,0.5215
1,0xA103F15,xor_shuffled_labels,band,0.4865
2,0xA105E04,majority_rate,band,0.5370
2,0xA105E04,xor_prototype,band,0.4980
2,0xA105E04,xor_linear_raw,band,0.5155
2,0xA105E04,xor_logistic_std,band,0.5170
2,0xA105E04,xor_linear_raw,sum,0.5120
2,0xA105E04,hadamard_logistic_std,band,0.9770
2,0xA105E04,clifford_logistic_std,band,0.9715
2,0xA105E04,clifford_linear_raw,band,0.9680
2,0xA105E04,clifford_logistic_std,sum,0.9700
2,0xA105E04,clifford_shuffled_labels,band,0.5035
2,0xA105E04,xor_shuffled_labels,band,0.5205
3,0xA107CF3,majority_rate,band,0.5300
3,0xA107CF3,xor_prototype,band,0.5255
3,0xA107CF3,xor_linear_raw,band,0.5080
3,0xA107CF3,xor_logistic_std,band,0.5080
3,0xA107CF3,xor_linear_raw,sum,0.5125
3,0xA107CF3,hadamard_logistic_std,band,0.9780
3,0xA107CF3,clifford_logistic_std,band,0.9810
3,0xA107CF3,clifford_linear_raw,band,0.9515
3,0xA107CF3,clifford_logistic_std,sum,0.9745
3,0xA107CF3,clifford_shuffled_labels,band,0.4905
3,0xA107CF3,xor_shuffled_labels,band,0.4830
4,0xA109BE2,majority_rate,band,0.5275
4,0xA109BE2,xor_prototype,band,0.5070
4,0xA109BE2,xor_linear_raw,band,0.5135
4,0xA109BE2,xor_logistic_std,band,0.5030
4,0xA109BE2,xor_linear_raw,sum,0.5250
4,0xA109BE2,hadamard_logistic_std,band,0.9820
4,0xA109BE2,clifford_logistic_std,band,0.9735
4,0xA109BE2,clifford_linear_raw,band,0.9935
4,0xA109BE2,clifford_logistic_std,sum,0.9670
4,0xA109BE2,clifford_shuffled_labels,band,0.5115
4,0xA109BE2,xor_shuffled_labels,band,0.5110
5,0xA10BAD1,majority_rate,band,0.5320
5,0xA10BAD1,xor_prototype,band,0.5000
5,0xA10BAD1,xor_linear_raw,band,0.4835
5,0xA10BAD1,xor_logistic_std,band,0.4870
5,0xA10BAD1,xor_linear_raw,sum,0.4955
5,0xA10BAD1,hadamard_logistic_std,band,0.9905
5,0xA10BAD1,clifford_logistic_std,band,0.9870
5,0xA10BAD1,clifford_linear_raw,band,0.9835
5,0xA10BAD1,clifford_logistic_std,sum,0.9650
5,0xA10BAD1,clifford_shuffled_labels,band,0.5035
5,0xA10BAD1,xor_shuffled_labels,band,0.5000
