iter,T,value,min_pair,best_value,best_min_pair,accepted
0,8.0000,822,11,825,17,1
1,7.9840,822,11,825,17,1
2,7.9681,822,11,825,17,1
3,7.9522,822,11,825,17,1
4,7.9363,822,11,825,17,1
5,7.9205,822,11,825,17,0
6,7.9047,822,11,825,17,1
7,7.8889,822,11,825,17,1
8,7.8732,822,11,825,17,1
9,7.8575,822,11,825,17,0
10,7.8418,822,11,825,17,1
11,7.8262,867,11,867,11,1
12,7.8106,867,11,867,11,1
13,7.7950,867,11,867,11,1
14,7.7794,867,11,867,11,1
15,7.7639,867,11,867,11,1
16,7.7484,867,11,867,11,1
17,7.7329,867,11,867,11,1
18,7.7175,867,11,867,11,0
19,7.7021,867,11,867,11,1
20,7.6868,867,11,867,11,1
21,7.6714,867,11,867,11,1
22,7.6561,867,11,867,11,1
23,7.6408,867,11,867,11,1
24,7.6256,867,11,867,11,1
25,7.6104,867,11,867,11,1
26,7.5952,867,11,867,11,1
27,7.5800,867,11,867,11,0
28,7.5649,877,11,877,11,1
29,7.5498,877,11,877,11,1
30,7.5348,877,11,877,11,1
31,7.5197,877,11,877,11,0
32,7.5047,877,11,877,11,1
33,7.4898,877,11,877,11,1
34,7.4748,877,11,877,11,1
35,7.4599,877,11,877,11,1
36,7.4450,877,11,877,11,1
37,7.4302,877,11,877,11,1
38,7.4153,877,11,877,11,1
39,7.4005,877,11,877,11,1
40,7.3858,877,11,877,11,1
41,7.3710,877,11,877,11,1
42,7.3563,877,11,877,11,1
43,7.3417,877,11,877,11,0
44,7.3270,877,11,877,11,1
45,7.3124,877,11,877,11,1
46,7.2978,877,11,877,11,1
47,7.2832,877,11,877,11,1
48,7.2687,877,11,877,11,1
49,7.2542,877,11,877,11,1
50,7.2397,877,11,877,11,0
51,7.2253,877,11,877,11,1
52,7.2109,877,11,877,11,1
53,7.1965,877,11,877,11,1
54,7.1821,877,11,877,11,1
55,7.1678,877,11,877,11,1
56,7.1535,877,11,877,11,1
57,7.1392,877,11,877,11,0
58,7.1250,877,11,877,11,1
59,7.1108,877,11,877,11,0
60,7.0966,877,11,877,11,1
61,7.0824,877,11,877,11,1
62,7.0683,885,11,885,11,1
63,7.0542,885,11,885,11,1
64,7.0401,885,11,885,11,1
65,7.0261,885,11,885,11,1
66,7.0120,885,11,885,11,1
67,6.9981,900,11,900,11,1
68,6.9841,900,11,900,11,1
69,6.9702,900,11,900,11,1
70,6.9563,900,11,900,11,1
71,6.9424,900,11,900,11,0
72,6.9285,900,11,900,11,1
73,6.9147,900,11,900,11,0
74,6.9009,900,11,900,11,1
75,6.8871,900,11,900,11,1
76,6.8734,900,11,900,11,1
77,6.8597,900,11,900,11,1
78,6.8460,900,11,900,11,0
79,6.8323,900,11,900,11,1
80,6.8187,900,11,900,11,1
81,6.8051,900,11,900,11,1
82,6.7915,900,11,900,11,1
83,6.7780,885,11,900,11,1
84,6.7644,885,11,900,11,1
85,6.7510,885,11,900,11,1
86,6.7375,885,11,900,11,1
87,6.7240,885,11,900,11,1
88,6.7106,885,11,900,11,1
89,6.6972,893,11,900,11,1
90,6.6839,893,11,900,11,1
91,6.6705,893,11,900,11,1
92,6.6572,922,17,922,17,1
93,6.6439,922,17,922,17,1
94,6.6307,922,17,922,17,1
95,6.6175,922,17,922,17,1
96,6.6043,922,17,922,17,1
97,6.5911,922,17,922,17,1
98,6.5779,922,17,922,17,1
99,6.5648,922,17,922,17,1
100,6.5517,922,17,922,17,1
101,6.5386,922,17,922,17,1
102,6.5256,922,17,922,17,1
103,6.5126,926,17,926,17,1
104,6.4996,926,17,926,17,1
105,6.4866,926,17,926,17,1
106,6.4737,926,17,926,17,0
107,6.4608,937,17,937,17,1
108,6.4479,937,17,937,17,1
109,6.4350,937,17,937,17,1
110,6.4222,937,17,937,17,0
111,6.4093,937,17,937,17,1
112,6.3966,937,17,937,17,1
113,6.3838,937,17,937,17,1
114,6.3711,937,17,937,17,1
115,6.3583,937,17,937,17,1
116,6.3457,937,17,937,17,1
117,6.3330,937,17,937,17,1
118,6.3204,937,17,937,17,1
119,6.3078,937,17,937,17,1
120,6.2952,937,17,937,17,1
121,6.2826,937,17,937,17,1
122,6.2701,937,17,937,17,1
123,6.2576,937,17,937,17,1
124,6.2451,943,17,943,17,1
125,6.2326,943,17,943,17,1
126,6.2202,943,17,943,17,0
127,6.2078,943,17,943,17,1
128,6.1954,943,17,943,17,0
129,6.1830,943,17,943,17,0
130,6.1707,945,17,945,17,1
131,6.1584,945,17,945,17,1
132,6.1461,945,17,945,17,1
133,6.1338,945,17,945,17,1
134,6.1216,945,17,945,17,1
135,6.1094,945,17,945,17,1
136,6.0972,945,17,945,17,1
137,6.0850,945,17,945,17,1
138,6.0729,945,17,945,17,1
139,6.0608,945,17,945,17,1
140,6.0487,945,17,945,17,1
141,6.0366,945,17,945,17,1
142,6.0246,964,17,964,17,1
143,6.0125,964,17,964,17,1
144,6.0006,964,17,964,17,1
145,5.9886,964,17,964,17,1
146,5.9766,964,17,964,17,1
147,5.9647,964,17,964,17,1
148,5.9528,964,17,964,17,1
149,5.9409,964,17,964,17,0
150,5.9291,964,17,964,17,0
151,5.9172,964,17,964,17,1
152,5.9054,964,17,964,17,0
153,5.8937,964,17,964,17,1
154,5.8819,964,17,964,17,1
155,5.8702,964,17,964,17,1
156,5.8585,964,17,964,17,0
157,5.8468,964,17,964,17,1
158,5.8351,964,17,964,17,1
159,5.8235,964,17,964,17,1
160,5.8118,964,17,964,17,1
161,5.8002,964,17,964,17,0
162,5.7887,964,17,964,17,1
163,5.7771,964,17,964,17,0
164,5.7656,964,17,964,17,1
165,5.7541,964,17,964,17,1
166,5.7426,964,17,964,17,1
167,5.7312,964,17,964,17,1
168,5.7197,965,17,965,17,1
169,5.7083,965,17,965,17,1
170,5.6969,965,17,965,17,1
171,5.6856,965,17,965,17,1
172,5.6742,965,17,965,17,1
173,5.6629,965,17,965,17,1
174,5.6516,965,17,965,17,1
175,5.6403,965,17,965,17,1
176,5.6291,965,17,965,17,1
177,5.6178,965,17,965,17,1
178,5.6066,965,17,965,17,1
179,5.5954,965,17,965,17,1
180,5.5843,965,17,965,17,1
181,5.5731,965,17,965,17,0
182,5.5620,965,17,965,17,1
183,5.5509,965,17,965,17,1
184,5.5398,965,17,965,17,1
185,5.5288,965,17,965,17,1
186,5.5178,965,17,965,17,1
187,5.5067,965,17,965,17,1
188,5.4958,965,17,965,17,0
189,5.4848,965,17,965,17,1
190,5.4738,965,17,965,17,1
191,5.4629,965,17,965,17,1
192,5.4520,965,17,965,17,1
193,5.4412,965,17,965,17,1
194,5.4303,965,17,965,17,1
195,5.4195,965,17,965,17,0
196,5.4086,965,17,965,17,1
197,5.3979,965,17,965,17,0
198,5.3871,965,17,965,17,1
199,5.3763,965,17,965,17,1
200,5.3656,965,17,965,17,0
201,5.3549,965,17,965,17,1
202,5.3442,965,17,965,17,1
203,5.3336,965,17,965,17,1
204,5.3229,965,17,965,17,1
205,5.3123,965,17,965,17,1
206,5.3017,965,17,965,17,1
207,5.2911,965,17,965,17,0
208,5.2806,965,17,965,17,1
209,5.2700,965,17,965,17,1
210,5.2595,965,17,965,17,1
