cell_id,target,D,draw_id,N,members_per_fam,active_mask,aim,e_total,evals_actual,repr_score,reach_score,certified_solve,best_test_acc,has_req
0,0,1,0,4,4,1,0.00,60,60,1.0000,1.0000,true,1.0000,true
1,0,1,0,4,4,1,0.00,60,60,1.0000,1.0000,true,1.0000,true
2,0,1,0,4,4,1,0.00,240,240,1.0000,1.0000,true,1.0000,true
3,0,1,0,4,4,1,0.00,240,240,1.0000,1.0000,true,1.0000,true
4,0,1,0,4,4,1,0.00,960,368,1.0000,1.0000,true,1.0000,true
5,0,1,0,4,4,1,0.00,960,368,1.0000,1.0000,true,1.0000,true
6,0,1,0,4,4,1,0.25,60,60,1.0000,1.0000,true,1.0000,true
7,0,1,0,4,4,1,0.25,60,60,1.0000,1.0000,true,1.0000,true
8,0,1,0,4,4,1,0.25,240,240,1.0000,1.0000,true,1.0000,true
9,0,1,0,4,4,1,0.25,240,240,1.0000,1.0000,true,1.0000,true
10,0,1,0,4,4,1,0.25,960,368,1.0000,1.0000,true,1.0000,true
11,0,1,0,4,4,1,0.25,960,368,1.0000,1.0000,true,1.0000,true
12,0,1,0,4,4,1,0.50,60,60,1.0000,0.7267,false,0.8633,true
13,0,1,0,4,4,1,0.50,60,60,1.0000,0.6667,false,0.8333,true
14,0,1,0,4,4,1,0.50,240,240,1.0000,1.0000,true,1.0000,true
15,0,1,0,4,4,1,0.50,240,240,1.0000,1.0000,true,1.0000,true
16,0,1,0,4,4,1,0.50,960,368,1.0000,1.0000,true,1.0000,true
17,0,1,0,4,4,1,0.50,960,368,1.0000,1.0000,true,1.0000,true
18,0,1,0,4,4,1,0.75,60,60,1.0000,0.7267,false,0.8633,true
19,0,1,0,4,4,1,0.75,60,60,1.0000,0.7200,false,0.8600,true
20,0,1,0,4,4,1,0.75,240,240,1.0000,1.0000,true,1.0000,true
21,0,1,0,4,4,1,0.75,240,240,1.0000,1.0000,true,1.0000,true
22,0,1,0,4,4,1,0.75,960,368,1.0000,1.0000,true,1.0000,true
23,0,1,0,4,4,1,0.75,960,368,1.0000,1.0000,true,1.0000,true
24,0,1,0,4,4,1,1.00,60,60,1.0000,0.6600,false,0.8300,true
25,0,1,0,4,4,1,1.00,60,60,1.0000,1.0000,true,1.0000,true
26,0,1,0,4,4,1,1.00,240,240,1.0000,1.0000,true,1.0000,true
27,0,1,0,4,4,1,1.00,240,240,1.0000,1.0000,true,1.0000,true
28,0,1,0,4,4,1,1.00,960,368,1.0000,1.0000,true,1.0000,true
29,0,1,0,4,4,1,1.00,960,368,1.0000,1.0000,true,1.0000,true
30,1,1,0,4,4,1,0.00,60,60,0.6000,0.3933,false,0.6967,false
31,1,1,0,4,4,1,0.00,60,60,0.6000,0.4600,false,0.7300,false
32,1,1,0,4,4,1,0.00,240,240,0.6000,0.4267,false,0.7133,false
33,1,1,0,4,4,1,0.00,240,240,0.6000,0.4267,false,0.7133,false
34,1,1,0,4,4,1,0.00,960,368,0.6000,0.4267,false,0.7133,false
35,1,1,0,4,4,1,0.00,960,368,0.6000,0.4267,false,0.7133,false
36,1,1,0,4,4,1,0.25,60,60,0.6000,0.4000,false,0.7000,false
37,1,1,0,4,4,1,0.25,60,60,0.6000,0.4267,false,0.7133,false
38,1,1,0,4,4,1,0.25,240,240,0.6000,0.4267,false,0.7133,false
39,1,1,0,4,4,1,0.25,240,240,0.6000,0.4267,false,0.7133,false
40,1,1,0,4,4,1,0.25,960,368,0.6000,0.4267,false,0.7133,false
41,1,1,0,4,4,1,0.25,960,368,0.6000,0.4267,false,0.7133,false
42,1,1,0,4,4,1,0.50,60,60,0.6000,0.4600,false,0.7300,false
43,1,1,0,4,4,1,0.50,60,60,0.6000,0.4267,false,0.7133,false
44,1,1,0,4,4,1,0.50,240,240,0.6000,0.4600,false,0.7300,false
45,1,1,0,4,4,1,0.50,240,240,0.6000,0.4600,false,0.7300,false
46,1,1,0,4,4,1,0.50,960,368,0.6000,0.4267,false,0.7133,false
47,1,1,0,4,4,1,0.50,960,368,0.6000,0.4267,false,0.7133,false
48,1,1,0,4,4,1,0.75,60,60,0.6000,0.4933,false,0.7467,false
49,1,1,0,4,4,1,0.75,60,60,0.6000,0.4467,false,0.7233,false
50,1,1,0,4,4,1,0.75,240,240,0.6000,0.4267,false,0.7133,false
51,1,1,0,4,4,1,0.75,240,240,0.6000,0.4267,false,0.7133,false
52,1,1,0,4,4,1,0.75,960,368,0.6000,0.4267,false,0.7133,false
53,1,1,0,4,4,1,0.75,960,368,0.6000,0.4267,false,0.7133,false
54,1,1,0,4,4,1,1.00,60,60,0.6000,0.4400,false,0.7200,false
55,1,1,0,4,4,1,1.00,60,60,0.6000,0.4200,false,0.7100,false
56,1,1,0,4,4,1,1.00,240,240,0.6000,0.4600,false,0.7300,false
57,1,1,0,4,4,1,1.00,240,240,0.6000,0.4400,false,0.7200,false
58,1,1,0,4,4,1,1.00,960,368,0.6000,0.4267,false,0.7133,false
59,1,1,0,4,4,1,1.00,960,368,0.6000,0.4267,false,0.7133,false
60,2,1,0,4,4,1,0.00,60,60,0.1200,0.0333,false,0.5167,false
61,2,1,0,4,4,1,0.00,60,60,0.1200,0.0000,false,0.4900,false
62,2,1,0,4,4,1,0.00,240,240,0.1200,0.0000,false,0.5000,false
63,2,1,0,4,4,1,0.00,240,240,0.1200,0.0000,false,0.4733,false
64,2,1,0,4,4,1,0.00,960,368,0.1200,0.0000,false,0.4733,false
65,2,1,0,4,4,1,0.00,960,368,0.1200,0.0000,false,0.4733,false
66,2,1,0,4,4,1,0.25,60,60,0.1200,0.0333,false,0.5167,false
67,2,1,0,4,4,1,0.25,60,60,0.1200,0.0000,false,0.4933,false
68,2,1,0,4,4,1,0.25,240,240,0.1200,0.0000,false,0.4733,false
69,2,1,0,4,4,1,0.25,240,240,0.1200,0.0000,false,0.4667,false
70,2,1,0,4,4,1,0.25,960,368,0.1200,0.0000,false,0.4733,false
71,2,1,0,4,4,1,0.25,960,368,0.1200,0.0000,false,0.4733,false
72,2,1,0,4,4,1,0.50,60,60,0.1200,0.0333,false,0.5167,false
73,2,1,0,4,4,1,0.50,60,60,0.1200,0.0333,false,0.5167,false
74,2,1,0,4,4,1,0.50,240,240,0.1200,0.0000,false,0.4733,false
75,2,1,0,4,4,1,0.50,240,240,0.1200,0.0000,false,0.5000,false
76,2,1,0,4,4,1,0.50,960,368,0.1200,0.0000,false,0.4733,false
77,2,1,0,4,4,1,0.50,960,368,0.1200,0.0000,false,0.4733,false
78,2,1,0,4,4,1,0.75,60,60,0.1200,0.0000,false,0.5000,false
79,2,1,0,4,4,1,0.75,60,60,0.1200,0.0133,false,0.5067,false
80,2,1,0,4,4,1,0.75,240,240,0.1200,0.0000,false,0.4733,false
81,2,1,0,4,4,1,0.75,240,240,0.1200,0.0000,false,0.4733,false
82,2,1,0,4,4,1,0.75,960,368,0.1200,0.0000,false,0.4733,false
83,2,1,0,4,4,1,0.75,960,368,0.1200,0.0000,false,0.4733,false
84,2,1,0,4,4,1,1.00,60,60,0.1200,0.0000,false,0.4933,false
85,2,1,0,4,4,1,1.00,60,60,0.1200,0.0000,false,0.4967,false
86,2,1,0,4,4,1,1.00,240,240,0.1200,0.0000,false,0.4733,false
87,2,1,0,4,4,1,1.00,240,240,0.1200,0.0000,false,0.5000,false
88,2,1,0,4,4,1,1.00,960,368,0.1200,0.0000,false,0.4733,false
89,2,1,0,4,4,1,1.00,960,368,0.1200,0.0000,false,0.4733,false
90,3,1,0,4,4,1,0.00,60,60,0.2333,0.1667,false,0.5833,false
91,3,1,0,4,4,1,0.00,60,60,0.2333,0.1600,false,0.5800,false
92,3,1,0,4,4,1,0.00,240,240,0.2333,0.1400,false,0.5700,false
93,3,1,0,4,4,1,0.00,240,240,0.2333,0.1333,false,0.5667,false
94,3,1,0,4,4,1,0.00,960,368,0.2333,0.1333,false,0.5667,false
95,3,1,0,4,4,1,0.00,960,368,0.2333,0.1333,false,0.5667,false
96,3,1,0,4,4,1,0.25,60,60,0.2333,0.1800,false,0.5900,false
97,3,1,0,4,4,1,0.25,60,60,0.2333,0.1800,false,0.5900,false
98,3,1,0,4,4,1,0.25,240,240,0.2333,0.1400,false,0.5700,false
99,3,1,0,4,4,1,0.25,240,240,0.2333,0.1400,false,0.5700,false
100,3,1,0,4,4,1,0.25,960,368,0.2333,0.1333,false,0.5667,false
101,3,1,0,4,4,1,0.25,960,368,0.2333,0.1333,false,0.5667,false
102,3,1,0,4,4,1,0.50,60,60,0.2333,0.2000,false,0.6000,false
103,3,1,0,4,4,1,0.50,60,60,0.2333,0.1667,false,0.5833,false
104,3,1,0,4,4,1,0.50,240,240,0.2333,0.1400,false,0.5700,false
105,3,1,0,4,4,1,0.50,240,240,0.2333,0.1400,false,0.5700,false
106,3,1,0,4,4,1,0.50,960,368,0.2333,0.1333,false,0.5667,false
107,3,1,0,4,4,1,0.50,960,368,0.2333,0.1333,false,0.5667,false
108,3,1,0,4,4,1,0.75,60,60,0.2333,0.1467,false,0.5733,false
109,3,1,0,4,4,1,0.75,60,60,0.2333,0.1867,false,0.5933,false
110,3,1,0,4,4,1,0.75,240,240,0.2333,0.1400,false,0.5700,false
111,3,1,0,4,4,1,0.75,240,240,0.2333,0.1467,false,0.5733,false
112,3,1,0,4,4,1,0.75,960,368,0.2333,0.1333,false,0.5667,false
113,3,1,0,4,4,1,0.75,960,368,0.2333,0.1333,false,0.5667,false
114,3,1,0,4,4,1,1.00,60,60,0.2333,0.1867,false,0.5933,false
115,3,1,0,4,4,1,1.00,60,60,0.2333,0.1867,false,0.5933,false
116,3,1,0,4,4,1,1.00,240,240,0.2333,0.1467,false,0.5733,false
117,3,1,0,4,4,1,1.00,240,240,0.2333,0.1400,false,0.5700,false
118,3,1,0,4,4,1,1.00,960,368,0.2333,0.1333,false,0.5667,false
119,3,1,0,4,4,1,1.00,960,368,0.2333,0.1333,false,0.5667,false
120,4,1,0,4,4,1,0.00,60,60,0.7267,0.7133,false,0.8567,false
121,4,1,0,4,4,1,0.00,60,60,0.7267,0.7133,false,0.8567,false
122,4,1,0,4,4,1,0.00,240,240,0.7267,0.7133,false,0.8567,false
123,4,1,0,4,4,1,0.00,240,240,0.7267,0.7000,false,0.8500,false
124,4,1,0,4,4,1,0.00,960,368,0.7267,0.7000,false,0.8500,false
125,4,1,0,4,4,1,0.00,960,368,0.7267,0.7000,false,0.8500,false
126,4,1,0,4,4,1,0.25,60,60,0.7267,0.7133,false,0.8567,false
127,4,1,0,4,4,1,0.25,60,60,0.7267,0.7133,false,0.8567,false
128,4,1,0,4,4,1,0.25,240,240,0.7267,0.7000,false,0.8500,false
129,4,1,0,4,4,1,0.25,240,240,0.7267,0.7000,false,0.8500,false
130,4,1,0,4,4,1,0.25,960,368,0.7267,0.7000,false,0.8500,false
131,4,1,0,4,4,1,0.25,960,368,0.7267,0.7000,false,0.8500,false
132,4,1,0,4,4,1,0.50,60,60,0.7267,0.7133,false,0.8567,false
133,4,1,0,4,4,1,0.50,60,60,0.7267,0.7200,false,0.8600,false
134,4,1,0,4,4,1,0.50,240,240,0.7267,0.7000,false,0.8500,false
135,4,1,0,4,4,1,0.50,240,240,0.7267,0.7067,false,0.8533,false
136,4,1,0,4,4,1,0.50,960,368,0.7267,0.7000,false,0.8500,false
137,4,1,0,4,4,1,0.50,960,368,0.7267,0.7000,false,0.8500,false
138,4,1,0,4,4,1,0.75,60,60,0.7267,0.7133,false,0.8567,false
139,4,1,0,4,4,1,0.75,60,60,0.7267,0.7133,false,0.8567,false
140,4,1,0,4,4,1,0.75,240,240,0.7267,0.7000,false,0.8500,false
141,4,1,0,4,4,1,0.75,240,240,0.7267,0.7067,false,0.8533,false
142,4,1,0,4,4,1,0.75,960,368,0.7267,0.7000,false,0.8500,false
143,4,1,0,4,4,1,0.75,960,368,0.7267,0.7000,false,0.8500,false
144,4,1,0,4,4,1,1.00,60,60,0.7267,0.7133,false,0.8567,false
145,4,1,0,4,4,1,1.00,60,60,0.7267,0.7133,false,0.8567,false
146,4,1,0,4,4,1,1.00,240,240,0.7267,0.7133,false,0.8567,false
147,4,1,0,4,4,1,1.00,240,240,0.7267,0.7067,false,0.8533,false
148,4,1,0,4,4,1,1.00,960,368,0.7267,0.7000,false,0.8500,false
149,4,1,0,4,4,1,1.00,960,368,0.7267,0.7000,false,0.8500,false
150,5,1,0,4,4,1,0.00,60,60,0.1800,0.0467,false,0.5233,false
151,5,1,0,4,4,1,0.00,60,60,0.1800,0.0067,false,0.5033,false
152,5,1,0,4,4,1,0.00,240,240,0.1800,0.0467,false,0.5233,false
153,5,1,0,4,4,1,0.00,240,240,0.1800,0.0467,false,0.5233,false
154,5,1,0,4,4,1,0.00,960,368,0.1800,0.0200,false,0.5100,false
155,5,1,0,4,4,1,0.00,960,368,0.1800,0.0200,false,0.5100,false
156,5,1,0,4,4,1,0.25,60,60,0.1800,0.0467,false,0.5233,false
157,5,1,0,4,4,1,0.25,60,60,0.1800,0.0600,false,0.5300,false
158,5,1,0,4,4,1,0.25,240,240,0.1800,0.0200,false,0.5100,false
159,5,1,0,4,4,1,0.25,240,240,0.1800,0.0467,false,0.5233,false
160,5,1,0,4,4,1,0.25,960,368,0.1800,0.0200,false,0.5100,false
161,5,1,0,4,4,1,0.25,960,368,0.1800,0.0200,false,0.5100,false
162,5,1,0,4,4,1,0.50,60,60,0.1800,0.0200,false,0.5100,false
163,5,1,0,4,4,1,0.50,60,60,0.1800,0.1333,false,0.5667,false
164,5,1,0,4,4,1,0.50,240,240,0.1800,0.0467,false,0.5233,false
165,5,1,0,4,4,1,0.50,240,240,0.1800,0.0467,false,0.5233,false
166,5,1,0,4,4,1,0.50,960,368,0.1800,0.0200,false,0.5100,false
167,5,1,0,4,4,1,0.50,960,368,0.1800,0.0200,false,0.5100,false
168,5,1,0,4,4,1,0.75,60,60,0.1800,0.0200,false,0.5100,false
169,5,1,0,4,4,1,0.75,60,60,0.1800,0.0467,false,0.5233,false
170,5,1,0,4,4,1,0.75,240,240,0.1800,0.0467,false,0.5233,false
171,5,1,0,4,4,1,0.75,240,240,0.1800,0.0467,false,0.5233,false
172,5,1,0,4,4,1,0.75,960,368,0.1800,0.0200,false,0.5100,false
173,5,1,0,4,4,1,0.75,960,368,0.1800,0.0200,false,0.5100,false
174,5,1,0,4,4,1,1.00,60,60,0.1800,0.0533,false,0.5267,false
175,5,1,0,4,4,1,1.00,60,60,0.1800,0.0467,false,0.5233,false
176,5,1,0,4,4,1,1.00,240,240,0.1800,0.0467,false,0.5233,false
177,5,1,0,4,4,1,1.00,240,240,0.1800,0.0467,false,0.5233,false
178,5,1,0,4,4,1,1.00,960,368,0.1800,0.0200,false,0.5100,false
179,5,1,0,4,4,1,1.00,960,368,0.1800,0.0200,false,0.5100,false
180,6,1,0,4,4,1,0.00,60,60,0.8067,0.8000,false,0.9000,false
181,6,1,0,4,4,1,0.00,60,60,0.8067,0.8000,false,0.9000,false
182,6,1,0,4,4,1,0.00,240,240,0.8067,0.7933,false,0.8967,false
183,6,1,0,4,4,1,0.00,240,240,0.8067,0.8000,false,0.9000,false
184,6,1,0,4,4,1,0.00,960,368,0.8067,0.7933,false,0.8967,false
185,6,1,0,4,4,1,0.00,960,368,0.8067,0.7933,false,0.8967,false
186,6,1,0,4,4,1,0.25,60,60,0.8067,0.8000,false,0.9000,false
187,6,1,0,4,4,1,0.25,60,60,0.8067,0.8067,false,0.9033,false
188,6,1,0,4,4,1,0.25,240,240,0.8067,0.7933,false,0.8967,false
189,6,1,0,4,4,1,0.25,240,240,0.8067,0.7933,false,0.8967,false
190,6,1,0,4,4,1,0.25,960,368,0.8067,0.7933,false,0.8967,false
191,6,1,0,4,4,1,0.25,960,368,0.8067,0.7933,false,0.8967,false
192,6,1,0,4,4,1,0.50,60,60,0.8067,0.8000,false,0.9000,false
193,6,1,0,4,4,1,0.50,60,60,0.8067,0.8000,false,0.9000,false
194,6,1,0,4,4,1,0.50,240,240,0.8067,0.7933,false,0.8967,false
195,6,1,0,4,4,1,0.50,240,240,0.8067,0.8000,false,0.9000,false
196,6,1,0,4,4,1,0.50,960,368,0.8067,0.7933,false,0.8967,false
197,6,1,0,4,4,1,0.50,960,368,0.8067,0.7933,false,0.8967,false
198,6,1,0,4,4,1,0.75,60,60,0.8067,0.8000,false,0.9000,false
199,6,1,0,4,4,1,0.75,60,60,0.8067,0.8000,false,0.9000,false
200,6,1,0,4,4,1,0.75,240,240,0.8067,0.7933,false,0.8967,false
201,6,1,0,4,4,1,0.75,240,240,0.8067,0.7933,false,0.8967,false
202,6,1,0,4,4,1,0.75,960,368,0.8067,0.7933,false,0.8967,false
203,6,1,0,4,4,1,0.75,960,368,0.8067,0.7933,false,0.8967,false
204,6,1,0,4,4,1,1.00,60,60,0.8067,0.8000,false,0.9000,false
205,6,1,0,4,4,1,1.00,60,60,0.8067,0.8000,false,0.9000,false
206,6,1,0,4,4,1,1.00,240,240,0.8067,0.8000,false,0.9000,false
207,6,1,0,4,4,1,1.00,240,240,0.8067,0.7933,false,0.8967,false
208,6,1,0,4,4,1,1.00,960,368,0.8067,0.7933,false,0.8967,false
209,6,1,0,4,4,1,1.00,960,368,0.8067,0.7933,false,0.8967,false
210,7,1,0,4,4,1,0.00,60,60,0.5867,0.5400,false,0.7700,false
211,7,1,0,4,4,1,0.00,60,60,0.5867,0.5400,false,0.7700,false
212,7,1,0,4,4,1,0.00,240,240,0.5867,0.5400,false,0.7700,false
213,7,1,0,4,4,1,0.00,240,240,0.5867,0.5400,false,0.7700,false
214,7,1,0,4,4,1,0.00,960,368,0.5867,0.5400,false,0.7700,false
215,7,1,0,4,4,1,0.00,960,368,0.5867,0.5400,false,0.7700,false
216,7,1,0,4,4,1,0.25,60,60,0.5867,0.5400,false,0.7700,false
217,7,1,0,4,4,1,0.25,60,60,0.5867,0.5333,false,0.7667,false
218,7,1,0,4,4,1,0.25,240,240,0.5867,0.5400,false,0.7700,false
219,7,1,0,4,4,1,0.25,240,240,0.5867,0.5400,false,0.7700,false
220,7,1,0,4,4,1,0.25,960,368,0.5867,0.5400,false,0.7700,false
221,7,1,0,4,4,1,0.25,960,368,0.5867,0.5400,false,0.7700,false
222,7,1,0,4,4,1,0.50,60,60,0.5867,0.5333,false,0.7667,false
223,7,1,0,4,4,1,0.50,60,60,0.5867,0.5333,false,0.7667,false
224,7,1,0,4,4,1,0.50,240,240,0.5867,0.5467,false,0.7733,false
225,7,1,0,4,4,1,0.50,240,240,0.5867,0.5400,false,0.7700,false
226,7,1,0,4,4,1,0.50,960,368,0.5867,0.5400,false,0.7700,false
227,7,1,0,4,4,1,0.50,960,368,0.5867,0.5400,false,0.7700,false
228,7,1,0,4,4,1,0.75,60,60,0.5867,0.5333,false,0.7667,false
229,7,1,0,4,4,1,0.75,60,60,0.5867,0.5400,false,0.7700,false
230,7,1,0,4,4,1,0.75,240,240,0.5867,0.5400,false,0.7700,false
