arm,seed,round,depth_budget,lib_before,lib_after,archive,n_clean,n_checked,n_irreducible,promoted,promoted_len,f_reachable,f_total,e_reachable,e_total,new_f_flips,new_e_flips,new_self,new_composed,round_ms
unaimed,0xA70F,0,3,5,5,0,0,0,0,0,0,0,9,3,9,0,0,0,0,0
unaimed,0xA70F,1,3,5,6,97,81,80,77,1,2,0,9,3,9,0,0,0,0,423
unaimed,0xA70F,2,3,6,7,81,69,69,62,1,4,0,9,3,9,0,0,0,0,536
unaimed,0xA70F,3,3,7,8,63,55,55,53,1,2,0,9,4,9,0,1,0,1,740
unaimed,0xA70F,4,3,8,9,106,95,80,74,1,6,0,9,4,9,0,0,0,0,1582
unaimed,0xA70F,5,3,9,10,65,55,55,46,1,4,0,9,4,9,0,0,0,0,1320
unaimed,0xA70F,6,3,10,11,90,81,80,72,1,5,0,9,6,9,0,2,2,0,2802
unaimed,0xA70F,7,3,11,12,124,105,80,68,1,5,0,9,7,9,0,1,1,0,3464
unaimed,0xA70F,8,3,12,13,106,96,80,64,1,3,0,9,7,9,0,0,0,0,4221
unaimed,0xA70F,9,3,13,14,57,46,46,23,1,5,0,9,7,9,0,0,0,0,2437
unaimed,0xA70F,10,3,14,15,122,110,80,62,1,4,0,9,7,9,0,0,0,0,6291
unaimed,0x5EED2,0,3,5,5,0,0,0,0,0,0,0,9,3,9,0,0,0,0,0
unaimed,0x5EED2,1,3,5,6,102,87,80,77,1,5,0,9,4,9,0,1,0,1,413
unaimed,0x5EED2,2,3,6,7,146,136,80,78,1,4,0,9,4,9,0,0,0,0,686
unaimed,0x5EED2,3,3,7,8,96,86,80,76,1,3,0,9,6,9,0,2,2,0,994
unaimed,0x5EED2,4,3,8,9,125,108,80,67,1,3,0,9,6,9,0,0,0,0,1207
unaimed,0x5EED2,5,3,9,10,105,95,80,72,1,4,0,9,6,9,0,0,0,0,1708
unaimed,0x5EED2,6,3,10,11,123,100,80,73,1,3,0,9,6,9,0,0,0,0,2759
unaimed,0x5EED2,7,3,11,12,119,102,80,75,1,5,0,9,6,9,0,0,0,0,3203
unaimed,0x5EED2,8,3,12,13,97,89,80,71,1,2,0,9,6,9,0,0,0,0,4212
unaimed,0x5EED2,9,3,13,14,76,61,61,48,1,6,0,9,7,9,0,1,1,0,3774
unaimed,0x5EED2,10,3,14,15,84,73,73,52,1,7,0,9,7,9,0,0,0,0,5345
aimed_flat,0xA70F,0,3,5,5,0,0,0,0,0,0,0,9,3,9,0,0,0,0,0
aimed_flat,0xA70F,1,3,5,6,51,36,36,35,1,2,0,9,3,9,0,0,0,0,1027
aimed_flat,0xA70F,2,3,6,7,48,38,38,35,1,4,0,9,5,9,0,2,0,2,1146
aimed_flat,0xA70F,3,3,7,8,51,44,44,39,1,5,0,9,7,9,0,2,0,2,1337
aimed_flat,0xA70F,4,3,8,9,42,35,35,26,1,5,0,9,7,9,0,0,0,0,1432
aimed_flat,0xA70F,5,3,9,10,45,40,40,16,1,4,0,9,7,9,0,0,0,0,1286
aimed_flat,0xA70F,6,3,10,11,56,47,47,31,1,5,0,9,7,9,0,0,0,0,2115
aimed_flat,0xA70F,7,3,11,12,56,43,43,33,1,3,0,9,7,9,0,0,0,0,2537
aimed_flat,0xA70F,8,3,12,13,42,34,34,25,1,3,0,9,7,9,0,0,0,0,2596
aimed_flat,0xA70F,9,3,13,14,49,40,40,18,1,3,0,9,7,9,0,0,0,0,2883
aimed_flat,0xA70F,10,3,14,15,33,26,26,17,1,4,0,9,7,9,0,0,0,0,2764
aimed_flat,0x5EED2,0,3,5,5,0,0,0,0,0,0,0,9,3,9,0,0,0,0,0
aimed_flat,0x5EED2,1,3,5,6,40,32,32,30,1,1,0,9,3,9,0,0,0,0,875
aimed_flat,0x5EED2,2,3,6,7,43,31,31,28,1,3,0,9,3,9,0,0,0,0,1081
aimed_flat,0x5EED2,3,3,7,8,50,41,41,38,1,4,0,9,5,9,0,2,0,2,1307
aimed_flat,0x5EED2,4,3,8,9,63,48,48,41,1,1,0,9,6,9,0,1,1,0,1394
aimed_flat,0x5EED2,5,3,9,10,49,39,39,25,1,2,0,9,6,9,0,0,0,0,1506
aimed_flat,0x5EED2,6,3,10,11,54,49,49,29,1,3,0,9,6,9,0,0,0,0,1816
