trial,min_dist,nearest,closure,mean_dist,max_dist,past_envelope
0,291,HARDWARE,15659166,300.4000,329,1
1,291,HARDWARE,16042529,300.4000,329,1
2,291,HARDWARE,15344384,300.4000,329,1
3,291,HARDWARE,15711626,300.4000,329,1
4,291,HARDWARE,15296492,300.4000,329,1
5,291,HARDWARE,15212437,300.4000,329,1
6,291,HARDWARE,15100488,300.4000,329,1
7,291,HARDWARE,15238472,300.4000,329,1
8,291,HARDWARE,15095178,300.4000,329,1
9,291,HARDWARE,16771442,300.4000,329,1
10,291,HARDWARE,15235148,300.4000,329,1
11,291,HARDWARE,15570561,300.4000,329,1
12,291,HARDWARE,15812096,300.4000,329,1
13,291,HARDWARE,14506931,300.4000,329,1
14,291,HARDWARE,17055018,300.4000,329,1
15,291,HARDWARE,15290121,300.4000,329,1
16,291,HARDWARE,15231557,300.4000,329,1
17,291,HARDWARE,14486650,300.4000,329,1
18,291,HARDWARE,15905370,300.4000,329,1
19,291,HARDWARE,15948547,300.4000,329,1
20,291,HARDWARE,16910488,300.4000,329,1
21,291,HARDWARE,16104719,300.4000,329,1
22,291,HARDWARE,16409021,300.4000,329,1
23,291,HARDWARE,15722530,300.4000,329,1
24,291,HARDWARE,14988112,300.4000,329,1
25,291,HARDWARE,15477548,300.4000,329,1
26,291,HARDWARE,14695469,300.4000,329,1
27,291,HARDWARE,15131852,300.4000,329,1
28,291,HARDWARE,18288130,300.4000,329,1
29,291,HARDWARE,17380127,300.4000,329,1
30,291,HARDWARE,15133361,300.4000,329,1
31,291,HARDWARE,15953954,300.4000,329,1
