seed,target,base_rate,off_solved,off_cov,off_src,off_blocked,on_solved,on_cov,on_src,class
0xF0235A11CE0FF1CE,"D01 sum%2",0.5064,0,0.4794,base,1,1,1.0000,world,DECISIVE
0xF0235A11CE0FF1CE,"D02 sum%3",0.3299,0,0.6720,base,1,1,1.0000,world,DECISIVE
0xF0235A11CE0FF1CE,"D03 sum%5",0.1881,0,0.8074,base,1,1,1.0000,world,DECISIVE
0xF0235A11CE0FF1CE,"D04 sum%7",0.1446,0,0.8594,base,1,1,1.0000,world,DECISIVE
0xF0235A11CE0FF1CE,"D05 sum%11",0.0993,1,0.9040,base,0,1,0.9040,base,TOO_EASY
0xF0235A11CE0FF1CE,"D06 sum%13",0.0660,1,0.9269,base,0,1,0.9269,base,TOO_EASY
0xF0235A11CE0FF1CE,"D07 count3%3",0.3349,0,0.6554,base,1,1,1.0000,menu,DECISIVE
0xF0235A11CE0FF1CE,"D08 count3%4",0.2811,0,0.7131,base,0,0,0.7154,base,TOO_HARD
0xF0235A11CE0FF1CE,"D09 count3%5",0.2199,0,0.7829,base,1,1,1.0000,menu,DECISIVE
0xF0235A11CE0FF1CE,"D10 count3%6",0.1173,0,0.8794,base,1,1,1.0000,menu,DECISIVE
0xF0235A11CE0FF1CE,"D11 subset-parity{0-3}",0.4991,0,0.5029,base,3,1,1.0000,forge,DECISIVE
