arm,seed,cap_idx,feature,raw_verdict,survivor_live,post_revision,test_acc_l1,ladder_novel
aimed_norev,0xF0235A11CE0FF1CE,0,monomial(0x0C),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,1,pair(2;3),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,2,walsh(S=0x0C),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,3,walsh(S=0x0C),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,4,monomial(0x83),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,5,walsh(S=0x83),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,6,walsh(S=0x83),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,7,sum%7,remix,0,0,0.8554,1
aimed_norev,0xF0235A11CE0FF1CE,8,monomial(0x11),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,9,pair(0;4),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,10,walsh(S=0x11),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,11,walsh(S=0x11),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,12,monomial(0xA4),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,13,walsh(S=0xA4),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,14,walsh(S=0xA4),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,15,monomial(0x0A),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,16,pair(1;3),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,17,walsh(S=0x0A),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,18,walsh(S=0x0A),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,19,walsh(S=0xFF),remix,0,0,0.7316,1
aimed_norev,0xF0235A11CE0FF1CE,20,spectral(w=3.1416),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,21,walsh(S=0xFF),remix,0,0,0.7316,1
aimed_norev,0xF0235A11CE0FF1CE,22,spectral(w=3.1416),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,23,sum%2,remix,0,0,0.6164,1
aimed_norev,0xF0235A11CE0FF1CE,24,spectral(w=2.0735),remix,0,0,0.8091,1
aimed_norev,0xF0235A11CE0FF1CE,25,monomial(0x0F),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,26,walsh(S=0x0F),remix,0,0,1.0000,0
aimed_norev,0xF0235A11CE0FF1CE,27,walsh(S=0x0F),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,0,monomial(0x0C),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,1,pair(2;3),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,2,walsh(S=0x0C),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,3,walsh(S=0x0C),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,4,monomial(0x83),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,5,walsh(S=0x83),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,6,walsh(S=0x83),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,7,sum%7,remix,0,0,0.8623,1
aimed_norev,0x00C1B10D20260706,8,monomial(0x11),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,9,pair(0;4),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,10,walsh(S=0x11),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,11,walsh(S=0x11),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,12,monomial(0xA4),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,13,walsh(S=0xA4),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,14,walsh(S=0xA4),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,15,monomial(0x0A),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,16,pair(1;3),remix,0,0,1.0000,0
aimed_norev,0x00C1B10D20260706,17,walsh(S=0x0A),remix,0,0,1.0000,0
