source_id,adapter,request_digest,content_digest,retrieval_time,policy,license_status,relevance,reputation,contradiction,decision,reason,lineage
RKS-1,local_public_repository_adapter,2a18b830f84a2c04,1061876b3a96eb3d,1780065482435651835,read_only_general_policy,unknown_local_public,65,50,0,QUARANTINE,PRIVATE_OR_ANSWER_SURFACE,path:CLAUDE.md;sha:1061876b3a96eb3d
RKS-2,local_public_repository_adapter,2a18b830f84a2c04,980ddf6f4dafa3f8,1783671660979638806,read_only_general_policy,unknown_local_public,65,80,0,QUARANTINE,PRIVATE_OR_ANSWER_SURFACE,path:CLOSURE_PRINCIPLE.md;sha:980ddf6f4dafa3f8
RKS-3,local_public_repository_adapter,2a18b830f84a2c04,a4ba3608eeed5aa2,1784092231080337616,read_only_general_policy,unknown_local_public,100,50,30,QUARANTINE,PRIVATE_OR_ANSWER_SURFACE,path:INDEX.md;sha:a4ba3608eeed5aa2
RKS-4,local_public_repository_adapter,2a18b830f84a2c04,1f00d956ca3da306,1781160935301181394,read_only_general_policy,unknown_local_public,85,80,30,QUARANTINE,PRIVATE_OR_ANSWER_SURFACE,path:README.md;sha:1f00d956ca3da306
RKS-5,local_public_repository_adapter,2a18b830f84a2c04,1404459ca569e723,1780099710057819601,read_only_general_policy,unknown_local_public,85,50,30,ADMIT,PROVENANCE_SAFE_RELEVANT,path:RESEARCH_INDEX.md;sha:1404459ca569e723
RKS-6,local_public_repository_adapter,2a18b830f84a2c04,3f7b947a298e94cc,1783790143087045619,read_only_general_policy,unknown_local_public,50,50,0,QUARANTINE,PRIVATE_OR_ANSWER_SURFACE,path:RESEARCH_QUESTIONS.md;sha:3f7b947a298e94cc
RKS-7,local_public_repository_adapter,2a18b830f84a2c04,28aa87532cb89de1,1781160935301181394,read_only_general_policy,unknown_local_public,50,50,0,QUARANTINE,PRIVATE_OR_ANSWER_SURFACE,path:RESEARCH_ROUND_2026_06_03.md;sha:28aa87532cb89de1
RKS-8,local_public_repository_adapter,2a18b830f84a2c04,e3655c1e755784b1,1780257328187187365,read_only_general_policy,unknown_local_public,65,50,0,ADMIT,PROVENANCE_SAFE_RELEVANT,path:RESEARCH_SUMMARY.md;sha:e3655c1e755784b1
RKS-9,local_public_repository_adapter,2a18b830f84a2c04,31ed23428cf795c7,1784094556058320243,read_only_general_policy,unknown_local_public,100,50,30,QUARANTINE,PRIVATE_OR_ANSWER_SURFACE,path:RESEARCH_TOC.md;sha:31ed23428cf795c7
RKS-10,local_public_repository_adapter,2a18b830f84a2c04,702828a07ad94bf7,1780118197504762938,read_only_general_policy,unknown_local_public,0,50,0,RETIRE,LOW_REQUEST_RELEVANCE,path:STRATEGIC_PLAN.md;sha:702828a07ad94bf7
campaign_closure,local_public_repository_adapter,2a18b830f84a2c04,na,aggregate,score_private,unknown_local_public,2,7,1,SEALED,ADMITTED_2_QUARANTINED_7_RETIRED_1,live_network_adapter=NOT_AVAILABLE
