artifact,experiment,policy,charged_ticks,pre_perturb_persistence,total_persistence,post_perturb_recovery,cohorts_with_loop,host_repairs,lineage_hash,verdict
round_ag_ag1,autopoietic_loop_birth,seeded,5376,64,128,64,32,32,0x935bd3b576ceb071,LIMITED_RESULT:host_seeded_and_host_repaired_four_cell_cycle
round_ag_ag1,autopoietic_loop_birth,ablated,5120,0,0,0,0,0,0xe5e150761a28a261,CONTROL_PASS:cycle_material_ablation
round_ag_ag1,autopoietic_loop_birth,random,5248,0,0,0,0,0,0xe5e150761a28a261,CONTROL:equal_material_random
round_ag_ag1,autopoietic_loop_birth,replay,5248,0,0,0,0,0,0xe5e150761a28a261,CONTROL:equal_material_replay
round_ag_ag1,autopoietic_loop_birth,static,5120,0,0,0,0,0,0xe5e150761a28a261,CONTROL:static_matter
round_ag_ag1,autopoietic_loop_birth,fixed_loop,5376,64,128,64,32,32,0x935bd3b576ceb071,CONTROL_FAIL:equally_expressive_host_fixed_loop_exact_tie
round_ag_ag1,autopoietic_loop_birth,shuffled_lineage,5248,0,0,0,0,0,0xe5e150761a28a261,CONTROL:shuffled_lineage
round_ag_ag1,autopoietic_loop_birth,false_lineage,5248,0,0,0,0,0,0xe5e150761a28a261,CONTROL:false_lineage
round_ag_ag1,autopoietic_loop_birth,relocated,5376,64,128,64,32,32,0x935bd3b576ceb071,ATTACK:relocation
round_ag_ag1,autopoietic_loop_birth,recoded,26240,0,0,0,0,32,0xe5e150761a28a261,ATTACK:value_recode
round_ag_ag1,autopoietic_loop_birth,resegmented,5376,64,128,64,32,32,0x935bd3b576ceb071,ATTACK:resegmentation
round_ag_ag1,autopoietic_loop_birth,changed_physics,5376,64,128,64,32,32,0x935bd3b576ceb071,ATTACK:reversed_medium_physics
round_ag_ag1,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_PASS:organism_receives_no_score_sensor_action_api_or_controller
round_ag_ag1,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_PASS:all_persistence_measurement_is_external_after_run
round_ag_ag1,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_PASS:transport_conserves_total_raw_material
round_ag_ag1,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_FAIL:initial_host_seed_is_a_four_cell_loop_template
round_ag_ag1,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_FAIL:externalLoop_is_host_loop_grammar_and_boundary
round_ag_ag1,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_FAIL:perturbation_repair_is_host_template_reinstatement
round_ag_ag1,attack,hostile,0,0,0,0,0,0,0x0,CONTROL_FAIL:fixed_loop_exactly_ties_seeded_condition
round_ag_ag1,attack,hostile,0,0,0,0,0,0,0x0,VALID_NEGATIVE:no_self_assembly_or_organism_owned_repair_or_open_ended_criterion
