task,worker,claimed_kind,accepted,reason
0,0,declarations,accepted,canonical_witness_matches
1,0,csv_width,rejected,no_or_malformed_typed_witness
2,0,sleep_loop,rejected,no_or_malformed_typed_witness
3,0,missing_arg,accepted,canonical_witness_matches
0,1,declarations,accepted,canonical_witness_matches
1,1,csv_width,rejected,no_or_malformed_typed_witness
2,1,sleep_loop,rejected,no_or_malformed_typed_witness
3,1,missing_arg,accepted,canonical_witness_matches
0,2,declarations,accepted,canonical_witness_matches
1,2,csv_width,rejected,no_or_malformed_typed_witness
2,2,sleep_loop,rejected,no_or_malformed_typed_witness
3,2,missing_arg,accepted,canonical_witness_matches
0,3,declarations,accepted,canonical_witness_matches
1,3,csv_width,rejected,no_or_malformed_typed_witness
2,3,sleep_loop,rejected,no_or_malformed_typed_witness
3,3,missing_arg,accepted,canonical_witness_matches
0,4,declarations,accepted,canonical_witness_matches
1,4,csv_width,rejected,no_or_malformed_typed_witness
2,4,sleep_loop,rejected,no_or_malformed_typed_witness
3,4,missing_arg,accepted,canonical_witness_matches
0,5,declarations,accepted,canonical_witness_matches
1,5,csv_width,rejected,no_or_malformed_typed_witness
2,5,sleep_loop,rejected,no_or_malformed_typed_witness
3,5,missing_arg,accepted,canonical_witness_matches
0,6,declarations,accepted,canonical_witness_matches
1,6,csv_width,rejected,no_or_malformed_typed_witness
2,6,sleep_loop,rejected,no_or_malformed_typed_witness
3,6,missing_arg,accepted,canonical_witness_matches
0,7,declarations,accepted,canonical_witness_matches
1,7,csv_width,rejected,no_or_malformed_typed_witness
2,7,sleep_loop,rejected,no_or_malformed_typed_witness
3,7,missing_arg,accepted,canonical_witness_matches
0,8,declarations,accepted,canonical_witness_matches
1,8,csv_width,rejected,no_or_malformed_typed_witness
2,8,sleep_loop,rejected,no_or_malformed_typed_witness
3,8,missing_arg,accepted,canonical_witness_matches
0,9,declarations,rejected,no_or_malformed_typed_witness
1,9,csv_width,accepted,canonical_witness_matches
2,9,sleep_loop,rejected,no_or_malformed_typed_witness
3,9,missing_arg,rejected,no_or_malformed_typed_witness
0,10,declarations,rejected,no_or_malformed_typed_witness
1,10,csv_width,accepted,canonical_witness_matches
2,10,sleep_loop,rejected,no_or_malformed_typed_witness
3,10,missing_arg,rejected,no_or_malformed_typed_witness
0,11,declarations,rejected,no_or_malformed_typed_witness
1,11,csv_width,accepted,canonical_witness_matches
2,11,sleep_loop,rejected,no_or_malformed_typed_witness
3,11,missing_arg,rejected,no_or_malformed_typed_witness
0,12,declarations,rejected,no_or_malformed_typed_witness
1,12,csv_width,accepted,canonical_witness_matches
2,12,sleep_loop,rejected,no_or_malformed_typed_witness
3,12,missing_arg,rejected,no_or_malformed_typed_witness
0,13,declarations,rejected,no_or_malformed_typed_witness
1,13,csv_width,accepted,canonical_witness_matches
2,13,sleep_loop,rejected,no_or_malformed_typed_witness
3,13,missing_arg,rejected,no_or_malformed_typed_witness
0,14,declarations,rejected,no_or_malformed_typed_witness
1,14,csv_width,accepted,canonical_witness_matches
2,14,sleep_loop,rejected,no_or_malformed_typed_witness
3,14,missing_arg,rejected,no_or_malformed_typed_witness
0,15,declarations,rejected,no_or_malformed_typed_witness
1,15,csv_width,accepted,canonical_witness_matches
2,15,sleep_loop,rejected,no_or_malformed_typed_witness
3,15,missing_arg,rejected,no_or_malformed_typed_witness
0,16,declarations,rejected,no_or_malformed_typed_witness
1,16,csv_width,accepted,canonical_witness_matches
2,16,sleep_loop,rejected,no_or_malformed_typed_witness
3,16,missing_arg,rejected,no_or_malformed_typed_witness
0,17,declarations,rejected,no_or_malformed_typed_witness
1,17,csv_width,accepted,canonical_witness_matches
2,17,sleep_loop,rejected,no_or_malformed_typed_witness
3,17,missing_arg,rejected,no_or_malformed_typed_witness
0,18,declarations,rejected,no_or_malformed_typed_witness
1,18,csv_width,rejected,no_or_malformed_typed_witness
2,18,sleep_loop,accepted,canonical_witness_matches
3,18,missing_arg,rejected,no_or_malformed_typed_witness
0,19,declarations,rejected,no_or_malformed_typed_witness
1,19,csv_width,rejected,no_or_malformed_typed_witness
2,19,sleep_loop,accepted,canonical_witness_matches
3,19,missing_arg,rejected,no_or_malformed_typed_witness
0,20,declarations,rejected,no_or_malformed_typed_witness
1,20,csv_width,rejected,no_or_malformed_typed_witness
2,20,sleep_loop,accepted,canonical_witness_matches
3,20,missing_arg,rejected,no_or_malformed_typed_witness
0,21,declarations,rejected,no_or_malformed_typed_witness
1,21,csv_width,rejected,no_or_malformed_typed_witness
2,21,sleep_loop,accepted,canonical_witness_matches
3,21,missing_arg,rejected,no_or_malformed_typed_witness
0,22,declarations,rejected,no_or_malformed_typed_witness
1,22,csv_width,rejected,no_or_malformed_typed_witness
2,22,sleep_loop,accepted,canonical_witness_matches
3,22,missing_arg,rejected,no_or_malformed_typed_witness
0,23,declarations,rejected,no_or_malformed_typed_witness
1,23,csv_width,rejected,no_or_malformed_typed_witness
2,23,sleep_loop,accepted,canonical_witness_matches
3,23,missing_arg,rejected,no_or_malformed_typed_witness
0,24,declarations,rejected,no_or_malformed_typed_witness
1,24,csv_width,rejected,no_or_malformed_typed_witness
2,24,sleep_loop,accepted,canonical_witness_matches
3,24,missing_arg,rejected,no_or_malformed_typed_witness
0,25,declarations,rejected,no_or_malformed_typed_witness
1,25,csv_width,rejected,no_or_malformed_typed_witness
2,25,sleep_loop,accepted,canonical_witness_matches
3,25,missing_arg,rejected,no_or_malformed_typed_witness
0,26,declarations,rejected,no_or_malformed_typed_witness
1,26,csv_width,rejected,no_or_malformed_typed_witness
2,26,sleep_loop,accepted,canonical_witness_matches
3,26,missing_arg,rejected,no_or_malformed_typed_witness
summary,all,all,36/108,per_task=9|9|9|9; protocol=typed_witness; limitation=local_modes_not_OS_isolated
