artifact,policy,charged_raw_contacts,hidden_transfer_material,perfect_hidden_cohorts,provenance_commits,verdict
round_al_al1,earned_fingerprint,864,19008,72,72,VALID_NEGATIVE:earned_effect_fingerprint_transfers_but_fixed_generic_bitvector_matcher_ties
round_al_al1,fixed_matcher,864,19008,72,0,CONTROL:equal_cost_fixed_generic_effect-vector_matcher
round_al_al1,fixed_fingerprint,864,7392,28,0,CONTROL:fixed_predeclared_fingerprint
round_al_al1,random,864,8448,32,0,CONTROL:unrecorded_generic_variation
round_al_al1,replay,864,10824,41,0,CONTROL:previous_cohort_provenance
round_al_al1,shuffled,864,10032,38,0,CONTROL:provenance_shuffled_across_anonymous_cohorts
round_al_al1,answer_memory,864,8448,32,0,CONTROL:answer_memory_scrubbed_no_effect_record
round_al_al1,relevance_ablated,864,8448,32,0,CONTROL:earned_fingerprint_removed
round_al_al1,label_attack,864,19008,72,0,ATTACK_PASS:no_label_or_regime_key_read_or_stored
round_al_al1,encoding_attack,864,19008,72,0,ATTACK_PASS:private_surface_recoding_changes_literals_not_effects
round_al_al1,world_overlap_attack,864,19008,72,0,ATTACK_PASS:earned_and_query_surface_values_do_not_overlap
round_al_al1,causal_shift_attack,864,10824,41,0,ATTACK_EXPECTED_FAIL:fingerprint_is_specific_to_prior_causal_law_not_world_identifier
round_al_al1,audit,0,0,0,0,CONTROL_PASS:earned_fingerprint_beats_fixed_fingerprint_random_replay_shuffled_answer_memory_and_ablation_in_pre_registered_recoded_world
round_al_al1,audit,0,0,0,0,ATTACK_PASS:no_answer_trace_label_regime_key_target_or_surface_value_is_retained; provenance_is_append_only_digest
round_al_al1,audit,0,0,0,0,FAILURE:fixed_matcher_ties_exactly; host_supplies_four_pokes_bit-vector_observation_and_equality_comparison
round_al_al1,audit,0,0,0,0,LIMIT:causal_shift_does_not_transfer_by_design; this is response-specific local relevance not open-ended semantics
round_al_al1,audit,0,0,0,0,VALID_NEGATIVE:not_foundation_positive_not_autonomy_not_hostile_containment
