artifact,partition,policy,charged_work,old_resource,new_resource,ablated_resource,updates,commits,rollbacks,lineage_hash,verdict
round_af_af1,causal_invariant_birth,self_relation,14880,6030,8640,6030,24,24,0,0x42c74c7f20d6ca0d,LIMITED_RESULT:mutable_relation_from_host_selected_raw_intervention_trace
round_af_af1,causal_invariant_birth,ablated,1440,6030,6030,6030,0,0,24,0x0,CONTROL_PASS:relation_ablation_returns_baseline
round_af_af1,causal_invariant_birth,raw_random,14880,6030,7680,6030,39,23,1,0xac6fd2060bb5385d,CONTROL:equal_cost_raw_random
round_af_af1,causal_invariant_birth,replay,14880,6030,6540,6030,8,8,16,0x534bd6722fca3742,CONTROL:equal_cost_replay
round_af_af1,causal_invariant_birth,static,1440,6030,6030,6030,0,0,24,0x0,CONTROL:static_matter
round_af_af1,causal_invariant_birth,fixed_invariant,14880,6030,8640,6030,24,24,0,0x42c74c7f20d6ca0d,CONTROL_FAIL:equally_expressive_fixed_invariant_exact_tie
round_af_af1,causal_invariant_birth,shuffled_evidence,14880,6030,7620,6030,36,20,4,0x9f1dd52f7a36fbb0,CONTROL:shuffled_evidence
round_af_af1,causal_invariant_birth,false_evidence,14880,6030,6030,6030,24,0,24,0x4db18bd1bc240e17,CONTROL_PASS:false_evidence_rolls_back
round_af_af1,causal_invariant_birth,relocated,14880,6030,8640,6030,24,24,0,0x42c74c7f20d6ca0d,ATTACK:address_relocation
round_af_af1,causal_invariant_birth,recoded,14880,5790,8640,5790,23,23,1,0x799cc97f80b325ed,ATTACK:value_recoding
round_af_af1,causal_invariant_birth,regrouped,14880,5700,8640,5700,24,24,0,0xf5792b9aa115a0bc,ATTACK:group_destruction
round_af_af1,causal_invariant_birth,instruction_destroyed,14880,6030,8640,6030,24,24,0,0x42c74c7f20d6ca0d,ATTACK:instruction_identity_destruction
round_af_af1,causal_invariant_birth,boundary_destroyed,14880,6030,8640,6030,24,24,0,0x42c74c7f20d6ca0d,ATTACK:boundary_destruction
round_af_af1,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_PASS:no_llm_text_tokens_embeddings_neural_or_neurosymbolic_mechanism
round_af_af1,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_PASS:private_fresh_worlds_and_all_train_comparisons_charged
round_af_af1,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:hostEvidence_supplies_intervention_site_observation_pair_and_grouping
round_af_af1,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:hostResource_supplies_xor_relation_hamming_comparison_and_resource_conversion
round_af_af1,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:fixed_invariant_exactly_ties_organism_relation
round_af_af1,attack,hostile,0,0,0,0,0,0,0,0x0,CONTROL_FAIL:organism_cannot_replace_host_action_or_criterion_language
round_af_af1,closure,aggregate,14880,6030,8640,6030,24,24,0,0x42c74c7f20d6ca0d,VALID_NEGATIVE:causal_relation_gain_requires_host_observation_action_and_comparison_criterion
