artifact,policy,charged_raw_contacts,private_transfer_material,perfect_hidden_cohorts,provenance_commits,verdict
round_ak_ak1,earned_binding,768,18432,64,64,VALID_NEGATIVE:earned_equality_shape_binds_relevant_record_but_fixed_generic_matcher_ties
round_ak_ak1,fixed_match,768,18432,64,0,CONTROL:equal_cost_fixed_content_matcher
round_ak_ak1,shuffled_history,768,8064,28,0,CONTROL:provenance_shuffled_across_anonymous_cohorts
round_ak_ak1,replay,768,10656,37,0,CONTROL:previous_cohort_history
round_ak_ak1,random,768,9216,0,0,CONTROL:generic_unrecorded_action_variation
round_ak_ak1,answer_memory,768,9216,0,0,CONTROL:answer_trace_scrubbed_no_causal_shape_record
round_ak_ak1,record_ablated,768,9216,0,0,CONTROL:literal_record_ablation
round_ak_ak1,label_attack,768,18432,64,0,ATTACK_PASS:no_regime_label_is_read_or_stored
round_ak_ak1,encoding_attack,768,18432,64,0,ATTACK_PASS:private_value_bijection_preserves_equality_shape
round_ak_ak1,world_overlap_attack,768,18432,64,0,ATTACK_PASS:query_nonce_and_contacts_do_not_overlap_earned_world
round_ak_ak1,audit,0,0,0,0,CONTROL_PASS:earned_binding_beats_shuffled_replay_random_answer_and_ablation_on_private_recoded_worlds
round_ak_ak1,audit,0,0,0,0,CONTROL_PASS:record_contains_only_equality_shape_law_evidence_provenance_no_regime_key_target_or_answer_trace
round_ak_ak1,audit,0,0,0,0,FAILURE:fixed_generic_content_matcher_ties_exactly_so_binding_is_reducible_to_supplied_matching_algebra
round_ak_ak1,audit,0,0,0,0,LIMIT:synthetic_raw_transition_law_finite_contacts_and_equality_operation_are_trusted_substrate
round_ak_ak1,audit,0,0,0,0,VALID_NEGATIVE:not_foundation_positive_not_autonomy_not_hostile_containment
