artifact,check,turn,frame_bytes,candidate_bytes,evaluator_reply,verdict,detail
round_an_an1,normal_action,0,8,8,none,ACCEPTED,opaque_observation_action_only_no_progress_or_score
round_an_an1,normal_action,1,8,8,none,ACCEPTED,opaque_observation_action_only_no_progress_or_score
round_an_an1,normal_action,2,7,8,none,ACCEPTED,opaque_observation_action_only_no_progress_or_score
round_an_an1,normal_action,3,8,8,none,ACCEPTED,opaque_observation_action_only_no_progress_or_score
round_an_an1,normal_action,4,8,8,none,ACCEPTED,opaque_observation_action_only_no_progress_or_score
round_an_an1,normal_action,5,8,8,none,ACCEPTED,opaque_observation_action_only_no_progress_or_score
round_an_an1,normal_action,6,7,8,none,ACCEPTED,opaque_observation_action_only_no_progress_or_score
round_an_an1,normal_action,7,8,8,none,ACCEPTED,opaque_observation_action_only_no_progress_or_score
round_an_an1,forbidden_data_request,NA,8,8,none,DENIED,score_target_answer_and_feedback_are_not_protocol_fields
round_an_an1,corrupt_protocol,NA,8,33,none,DENIED,strict_nonce_schema_range_and_max_frame_fail_closed
round_an_an1,end_of_run_score,NA,0,0,aggregate_only,WITHHELD,hidden_reward_released_only_after_all_fixed_turns; aggregate=4
round_an_an1,process_boundary,NA,0,0,none,DEMONSTRATED,parent_evaluator_execs_fresh_candidate_children_with_stdout_only_return
round_an_an1,residual,NA,0,0,none,INCONCLUSIVE_FOR_HOSTILE_OS,child_inherits_same_user_OS_rights_no_seccomp_namespace_or_hardware_isolation
