artifact,policy,charged_interactions,hidden_material,correct_actions,context_splits,context_merges,provenance_events,verdict
round_al_al2,learned_segments,1728,17348,1562,83,83,166,VALID_NEGATIVE:earned_consequence_segments_help_but_fixed_router_and_generic_matcher_explain_gain
round_al_al2,fixed_global,1728,13128,1140,0,0,0,CONTROL:single_fixed_context
round_al_al2,fixed_routed,1728,19008,1728,0,0,0,CONTROL:equal_capacity_host_periodic_router
round_al_al2,generic_matcher,1728,17578,1585,0,0,0,CONTROL:generic_last_consequence_matcher_without_segment_lineage
round_al_al2,random,1728,10038,831,0,0,0,CONTROL:generic_unrecorded_variation
round_al_al2,replay,1728,11928,1020,0,0,0,CONTROL:previous_cohort_law
round_al_al2,shuffled_history,1728,10728,900,0,0,0,CONTROL:provenance_shuffled_across_cohorts
round_al_al2,answer_memory,1728,10038,831,0,0,0,CONTROL:answer_memory_scrubbed
round_al_al2,segment_ablated,1728,10038,831,0,0,0,CONTROL:all_learned_segment_records_removed
round_al_al2,recoding_attack,1728,17348,1562,83,83,166,ATTACK_PASS:private_raw_value_recoding_not_read_by_policy
round_al_al2,overlap_attack,1728,17348,1562,83,83,166,ATTACK_PASS:earned_and_eval_raw_nonices_do_not_overlap
round_al_al2,causal_shift_attack,1728,17348,1562,83,83,166,ATTACK_PASS:three_hidden_law_epochs_force_response_revision
round_al_al2,audit,0,0,0,0,0,0,CONTROL_PASS:learned_segments_beats_global_random_replay_shuffled_answer_and_ablation
round_al_al2,audit,0,0,0,0,0,0,FAILURE:fixed_periodic_router_and_generic_last_consequence_matcher_are_stronger
round_al_al2,audit,0,0,0,0,0,0,FAILURE:binary_alternate_law_inference_and_two_context_container_are_trusted_fixture_algebra
round_al_al2,audit,0,0,0,0,0,0,PROVENANCE:records_contain_law_witness_count_and_lineage_only_no_regime_key_target_or_answer_trace
round_al_al2,audit,0,0,0,0,0,0,VALID_NEGATIVE:not_foundation_positive_not_autonomy_not_security
