trial,min_dist,nearest,closure,mean_dist,max_dist,past_envelope
0,291,VOID,17477660,300.2000,331,1
1,291,VOID,15457087,300.2000,331,1
2,291,VOID,16642878,300.2000,331,1
3,291,VOID,15329757,300.2000,331,1
4,291,VOID,18093152,300.2000,331,1
5,291,VOID,15916690,300.2000,331,1
6,291,VOID,15683567,300.2000,331,1
7,291,VOID,16381732,300.2000,331,1
8,291,VOID,16331249,300.2000,331,1
9,291,VOID,16797291,300.2000,331,1
10,291,VOID,17089999,300.2000,331,1
11,291,VOID,15378625,300.2000,331,1
12,291,VOID,16220354,300.2000,331,1
13,291,VOID,17165849,300.2000,331,1
14,291,VOID,16281961,300.2000,331,1
15,291,VOID,16640560,300.2000,331,1
