generation,best_composite,best_avalanche,best_balance,best_period,best_chisq,best_min_pb,best_max_pb,best_used,mean_composite
1,-171.555625,0.7813,29.9219,1024,1371.5000,0.000000,0.031250,161,-225.287549
2,-157.257813,0.8281,30.6484,1024,305.0000,0.000000,0.031250,161,-187.052373
3,-155.937500,0.7344,30.8125,1024,245.0000,0.000000,0.015625,161,-174.145396
4,-155.937500,0.7344,30.8125,1024,245.0000,0.000000,0.015625,161,-166.909277
5,-151.760625,0.8750,31.6719,1024,267.0000,0.000000,0.031250,161,-160.585249
6,-150.656250,0.8594,31.9688,1024,305.0000,0.000000,0.031250,161,-158.136270
7,-150.656250,0.8594,31.9688,1024,305.0000,0.000000,0.031250,161,-155.048662
8,-150.656250,0.8594,31.9688,1024,305.0000,0.000000,0.031250,161,-152.316685
9,-150.313125,0.8594,32.0156,1024,278.5000,0.000000,0.031250,163,-152.118599
10,-150.313125,0.8594,32.0156,1024,278.5000,0.000000,0.031250,163,-151.305366
11,-150.235000,0.8594,32.0000,1024,278.5000,0.000000,0.031250,164,-151.290200
12,-150.235000,0.8594,32.0000,1024,278.5000,0.000000,0.031250,164,-150.884058
13,-150.235000,0.8594,32.0000,1024,278.5000,0.000000,0.031250,164,-150.943262
14,-150.235000,0.8594,32.0000,1024,278.5000,0.000000,0.031250,164,-151.102310
15,-150.235000,0.8594,32.0000,1024,278.5000,0.000000,0.031250,164,-150.885249
16,-150.235000,0.8594,32.0000,1024,278.5000,0.000000,0.031250,164,-150.716558
17,-150.235000,0.8594,32.0000,1024,278.5000,0.000000,0.031250,164,-150.607305
18,-150.235000,0.8594,32.0000,1024,278.5000,0.000000,0.031250,164,-150.622778
19,-150.195313,0.8594,31.9609,1024,228.5000,0.000000,0.031250,165,-151.187998
20,-150.195313,0.8594,31.9609,1024,228.5000,0.000000,0.031250,165,-150.551841
21,-150.195313,0.8594,31.9609,1024,228.5000,0.000000,0.031250,165,-150.749961
22,-150.078125,0.8594,31.9844,1024,244.0000,0.000000,0.031250,165,-151.126689
23,-150.078125,0.8594,31.9844,1024,244.0000,0.000000,0.031250,165,-151.139980
24,-150.078125,0.8594,31.9844,1024,244.0000,0.000000,0.031250,165,-151.081318
25,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.791626
26,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.929341
27,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.668955
28,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.022944
29,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.671240
30,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.511475
31,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.242920
32,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.922886
33,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.133955
34,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.728286
35,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.647041
36,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.542603
37,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.901284
38,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.737251
39,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.647656
40,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.646362
41,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.620254
42,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.638428
43,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.932041
44,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.436831
45,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.294189
46,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.423584
47,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-151.044722
48,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.134897
49,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.901797
50,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.853325
51,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.948301
52,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.591431
53,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.685322
54,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.659937
55,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.396729
56,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.864893
57,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.350952
58,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.577910
59,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.792910
60,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.328979
61,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.728682
62,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.390015
63,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.460815
64,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.583433
65,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.911162
66,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.511475
67,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.766016
68,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.929775
69,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.732432
70,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.969756
71,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.698877
72,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.477295
73,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.473633
74,-150.000000,0.8594,32.0000,1024,228.5000,0.000000,0.031250,166,-150.791646
