idx,op_id,op_name,dst,src1,src2
0,0,XOR,106,16,235
1,2,NOT,255,60,122
2,0,XOR,55,40,8
3,2,NOT,173,245,3
4,0,XOR,107,162,108
5,0,XOR,227,104,80
6,2,NOT,180,33,72
7,2,NOT,75,54,65
8,0,XOR,62,55,56
9,0,XOR,254,44,52
10,2,NOT,168,9,36
11,1,AND,66,52,160
12,1,AND,102,178,119
13,2,NOT,102,1,80
14,2,NOT,239,21,161
15,0,XOR,5,13,48
16,1,AND,220,32,96
17,2,NOT,16,201,206
18,0,XOR,240,25,28
19,0,XOR,81,106,62
20,0,XOR,253,35,45
21,0,XOR,9,140,249
22,0,XOR,19,255,254
23,0,XOR,234,30,248
24,0,XOR,73,168,43
25,0,XOR,54,20,253
26,0,XOR,153,239,0
27,2,NOT,50,94,83
28,0,XOR,148,54,73
29,0,XOR,93,126,186
30,2,NOT,101,76,205
31,0,XOR,122,90,2
32,2,NOT,151,15,97
33,0,XOR,121,102,151
34,2,NOT,66,3,8
35,2,NOT,228,246,168
36,0,XOR,247,225,237
37,2,NOT,58,31,8
38,0,XOR,2,49,59
39,0,XOR,175,81,6
40,0,XOR,213,15,0
41,1,AND,217,62,130
42,0,XOR,9,148,41
43,0,XOR,9,148,41
44,2,NOT,138,39,77
45,0,XOR,46,139,50
46,2,NOT,239,154,81
47,2,NOT,8,30,94
48,2,NOT,46,172,248
49,0,XOR,181,47,38
50,0,XOR,148,234,175
51,2,NOT,235,36,163
52,1,AND,35,24,34
53,0,XOR,35,61,22
54,0,XOR,166,19,148
55,0,XOR,16,47,66
56,0,XOR,146,208,194
57,0,XOR,49,22,2
58,0,XOR,225,57,138
59,2,NOT,52,107,100
60,0,XOR,46,166,9
61,2,NOT,126,226,152
62,0,XOR,222,5,180
63,0,XOR,100,113,27
64,0,XOR,206,124,134
65,0,XOR,239,107,105
66,0,XOR,70,24,240
67,0,XOR,163,200,102
68,1,AND,130,114,226
69,1,AND,131,126,101
70,2,NOT,85,170,149
71,2,NOT,166,45,209
72,0,XOR,228,221,217
73,2,NOT,103,5,4
74,0,XOR,136,182,32
75,2,NOT,14,29,164
76,0,XOR,55,43,130
77,2,NOT,52,7,115
78,0,XOR,147,26,35
79,0,XOR,152,37,16
80,2,NOT,70,150,137
81,2,NOT,154,180,149
82,1,AND,63,15,78
83,2,NOT,92,201,136
84,1,AND,63,15,78
85,2,NOT,92,201,136
86,0,XOR,24,23,17
87,0,XOR,24,23,17
88,0,XOR,165,181,225
89,2,NOT,0,234,84
90,0,XOR,0,147,46
91,0,XOR,83,253,166
92,0,XOR,240,4,240
93,0,XOR,89,28,180
94,2,NOT,146,104,75
95,1,AND,62,39,154
96,0,XOR,16,61,234
97,1,AND,198,140,208
98,0,XOR,87,31,152
99,0,XOR,60,18,73
100,0,XOR,145,153,3
101,2,NOT,96,154,143
102,2,NOT,156,121,60
103,2,NOT,23,115,134
104,2,NOT,78,213,34
105,1,AND,56,181,248
106,1,AND,39,72,145
107,2,NOT,174,73,17
108,0,XOR,131,53,35
109,0,XOR,243,8,125
110,2,NOT,66,238,73
111,2,NOT,164,63,214
112,2,NOT,201,14,144
113,1,AND,139,207,224
114,0,XOR,67,110,171
115,0,XOR,217,48,63
116,2,NOT,139,24,176
117,0,XOR,133,35,136
118,0,XOR,133,35,136
119,0,XOR,249,139,240
120,1,AND,128,161,182
121,0,XOR,217,213,225
122,0,XOR,62,70,119
123,0,XOR,217,213,225
124,0,XOR,62,70,119
125,0,XOR,195,179,152
126,0,XOR,107,3,43
127,1,AND,59,235,168
128,0,XOR,33,240,53
129,2,NOT,219,151,77
130,2,NOT,219,151,77
131,1,AND,132,194,109
132,2,NOT,10,160,8
133,2,NOT,3,246,167
134,2,NOT,8,45,239
135,0,XOR,74,231,158
136,0,XOR,174,202,3
137,0,XOR,216,217,249
138,1,AND,99,240,151
139,2,NOT,253,213,79
140,0,XOR,171,1,122
141,0,XOR,181,241,91
142,1,AND,54,169,66
143,0,XOR,182,136,30
144,1,AND,54,169,66
145,0,XOR,182,136,30
146,0,XOR,6,48,217
147,1,AND,247,86,73
148,1,AND,73,147,198
149,2,NOT,128,144,177
150,0,XOR,22,86,49
151,0,XOR,212,107,107
152,2,NOT,25,49,95
153,0,XOR,111,18,214
154,0,XOR,255,233,100
155,0,XOR,91,87,92
156,1,AND,251,68,200
157,0,XOR,139,46,148
158,1,AND,190,204,67
159,2,NOT,53,122,123
160,2,NOT,223,128,16
161,0,XOR,81,237,170
162,2,NOT,70,196,192
163,2,NOT,71,81,53
164,2,NOT,118,115,91
165,2,NOT,203,129,138
166,1,AND,251,133,22
167,2,NOT,55,31,37
168,0,XOR,3,6,249
169,1,AND,125,219,96
170,0,XOR,26,157,31
171,0,XOR,244,91,147
172,2,NOT,54,58,223
173,1,AND,37,246,153
174,1,AND,254,87,66
175,0,XOR,220,227,10
176,2,NOT,240,202,134
177,1,AND,61,20,158
178,0,XOR,48,25,53
179,0,XOR,155,73,137
180,0,XOR,48,25,53
181,0,XOR,155,73,137
182,0,XOR,110,165,46
183,1,AND,2,108,4
184,0,XOR,2,156,33
185,1,AND,218,57,93
186,2,NOT,192,171,65
187,0,XOR,117,244,201
188,1,AND,13,94,49
189,1,AND,57,9,75
190,1,AND,65,183,49
191,0,XOR,67,222,110
192,1,AND,32,27,16
193,2,NOT,131,105,92
194,0,XOR,199,152,253
195,2,NOT,59,25,12
196,2,NOT,73,48,159
197,1,AND,24,217,72
198,2,NOT,73,48,159
199,1,AND,24,217,72
200,0,XOR,249,3,117
