generation,best_composite,best_avalanche,best_balance,best_period,best_chisq,best_min_pb,best_max_pb,best_bias_pb,best_used,mean_composite
1,-199.277344,0.7656,31.1875,1024,246.5000,0.000000,0.046875,0.488037,157,-254.255275
2,-198.907134,0.8750,31.5469,1024,464.5000,0.000000,0.046875,0.486366,157,-213.352683
3,-196.212769,0.7979,31.7656,1024,246.5000,0.000000,0.046875,0.487602,157,-205.424496
4,-196.212769,0.7979,31.7656,1024,246.5000,0.000000,0.046875,0.487602,157,-200.753684
5,-195.169220,0.8154,31.9531,1024,246.5000,0.000000,0.046875,0.487337,158,-200.284683
6,-195.130157,0.8154,31.9609,1024,246.5000,0.000000,0.046875,0.487337,158,-196.717329
7,-194.965314,0.8311,31.9844,1024,260.0000,0.000000,0.046875,0.487093,158,-196.895568
8,-194.965314,0.8311,31.9844,1024,260.0000,0.000000,0.046875,0.487093,158,-196.305362
9,-194.837189,0.8311,32.0000,1024,246.5000,0.000000,0.046875,0.487093,158,-195.576403
10,-194.837189,0.8311,32.0000,1024,246.5000,0.000000,0.046875,0.487093,158,-195.622578
11,-194.837189,0.8311,32.0000,1024,246.5000,0.000000,0.046875,0.487093,158,-195.316357
12,-194.837189,0.8311,32.0000,1024,246.5000,0.000000,0.046875,0.487093,158,-195.563628
13,-194.837189,0.8311,32.0000,1024,246.5000,0.000000,0.046875,0.487093,158,-195.421290
14,-194.837189,0.8311,32.0000,1024,246.5000,0.000000,0.046875,0.487093,158,-195.573195
15,-194.837189,0.8311,32.0000,1024,246.5000,0.000000,0.046875,0.487093,158,-195.369848
16,-194.837189,0.8311,32.0000,1024,246.5000,0.000000,0.046875,0.487093,158,-195.538749
17,-194.837189,0.8311,32.0000,1024,246.5000,0.000000,0.046875,0.487093,158,-195.513282
18,-194.837189,0.8311,32.0000,1024,246.5000,0.000000,0.046875,0.487093,158,-195.949973
19,-194.816895,0.8486,31.9844,1024,246.5000,0.000000,0.046875,0.486847,159,-195.447611
20,-194.816895,0.8486,31.9844,1024,246.5000,0.000000,0.046875,0.486847,159,-195.422595
21,-194.777832,0.8486,31.9922,1024,241.0000,0.000000,0.046875,0.486847,159,-195.448165
22,-194.777832,0.8486,31.9922,1024,241.0000,0.000000,0.046875,0.486847,159,-195.194016
23,-194.777832,0.8486,31.9922,1024,241.0000,0.000000,0.046875,0.486847,159,-195.439173
24,-194.777832,0.8486,31.9922,1024,241.0000,0.000000,0.046875,0.486847,159,-195.333158
25,-194.777832,0.8486,31.9922,1024,241.0000,0.000000,0.046875,0.486847,159,-195.322755
26,-194.777832,0.8486,31.9922,1024,241.0000,0.000000,0.046875,0.486847,159,-195.631067
27,-194.777832,0.8486,31.9922,1024,241.0000,0.000000,0.046875,0.486847,159,-195.645755
28,-194.777832,0.8486,31.9922,1024,241.0000,0.000000,0.046875,0.486847,159,-195.349657
29,-194.641113,0.8955,31.9609,1024,241.0000,0.000000,0.046875,0.486115,161,-195.303926
30,-194.641113,0.8955,31.9609,1024,241.0000,0.000000,0.046875,0.486115,161,-195.674932
