iter,accepted,best_updated,anchor_mean,holdout_mean,current_holdout,best_holdout
0,true,true,-117.832993,-225.179063,-225.179063,-225.179063
1,false,false,-139.954453,-235.263972,-225.179063,-225.179063
2,true,true,-137.645752,-219.556501,-219.556501,-219.556501
3,false,false,-137.645752,-219.556501,-219.556501,-219.556501
4,false,false,-102.919590,-233.375981,-219.556501,-219.556501
5,false,false,-170.455376,-233.375981,-219.556501,-219.556501
6,false,false,-140.273774,-233.375981,-219.556501,-219.556501
7,false,false,-137.645752,-219.556501,-219.556501,-219.556501
8,false,false,-137.645752,-219.556501,-219.556501,-219.556501
9,false,false,-137.645752,-219.556501,-219.556501,-219.556501
10,false,false,-190.882881,-225.179063,-219.556501,-219.556501
11,false,false,-137.645752,-219.556501,-219.556501,-219.556501
12,false,false,-137.645752,-219.556501,-219.556501,-219.556501
13,false,false,-137.645752,-219.556501,-219.556501,-219.556501
14,false,false,-147.670610,-233.375981,-219.556501,-219.556501
15,false,false,-137.645752,-219.556501,-219.556501,-219.556501
16,false,false,-130.096777,-233.375981,-219.556501,-219.556501
17,false,false,-117.832993,-225.179063,-219.556501,-219.556501
18,false,false,-137.645752,-219.556501,-219.556501,-219.556501
19,true,true,-134.303379,-162.108289,-162.108289,-162.108289
20,true,false,-127.133433,-162.108289,-162.108289,-162.108289
21,false,false,-127.133433,-162.108289,-162.108289,-162.108289
22,false,false,-127.133433,-162.108289,-162.108289,-162.108289
23,false,false,-151.440464,-221.791685,-162.108289,-162.108289
24,true,false,-122.648154,-162.108289,-162.108289,-162.108289
