iter,accepted,best_updated,anchor_mean,holdout_mean,current_holdout,best_holdout
0,true,true,30.429470,-751.112697,-751.112697,-751.112697
1,false,false,30.429470,-751.112697,-751.112697,-751.112697
2,true,true,26.024038,-76.519019,-76.519019,-76.519019
3,false,false,38.241677,-147.299254,-76.519019,-76.519019
4,false,false,28.831213,-171.093568,-76.519019,-76.519019
5,false,false,24.683633,-138.598127,-76.519019,-76.519019
6,false,false,34.535771,-171.093568,-76.519019,-76.519019
7,false,false,26.024038,-76.519019,-76.519019,-76.519019
8,true,true,38.441216,-0.251577,-0.251577,-0.251577
9,false,false,38.441216,-0.251577,-0.251577,-0.251577
10,false,false,38.441216,-0.251577,-0.251577,-0.251577
11,false,false,38.441216,-0.251577,-0.251577,-0.251577
12,false,false,20.418696,-53.134976,-0.251577,-0.251577
13,false,false,-4.208420,-147.299254,-0.251577,-0.251577
14,false,false,38.441216,-0.251577,-0.251577,-0.251577
15,false,false,41.080903,-98.702075,-0.251577,-0.251577
16,false,false,18.434788,-144.410378,-0.251577,-0.251577
17,false,false,38.191179,-128.632267,-0.251577,-0.251577
18,false,false,38.191179,-128.632267,-0.251577,-0.251577
19,false,false,20.418696,-53.134976,-0.251577,-0.251577
20,false,false,-4.208420,-147.299254,-0.251577,-0.251577
21,false,false,37.421782,-127.284757,-0.251577,-0.251577
22,false,false,37.421782,-127.284757,-0.251577,-0.251577
23,false,false,41.012136,-144.410378,-0.251577,-0.251577
24,false,false,-4.208420,-147.299254,-0.251577,-0.251577
