iter,accepted,best_updated,anchor_mean,holdout_mean,current_holdout,best_holdout
0,true,true,-10729.950000,-10752.700000,-10752.700000,-10752.700000
1,false,false,-10729.950000,-10752.700000,-10752.700000,-10752.700000
2,false,false,-10730.075000,-10752.700000,-10752.700000,-10752.700000
3,false,false,-10729.950000,-10752.700000,-10752.700000,-10752.700000
4,false,false,-10730.200000,-10752.700000,-10752.700000,-10752.700000
5,false,false,-10729.950000,-10752.700000,-10752.700000,-10752.700000
6,false,false,-10730.200000,-10752.700000,-10752.700000,-10752.700000
7,false,false,-10729.950000,-10752.700000,-10752.700000,-10752.700000
8,false,false,-10729.950000,-10752.700000,-10752.700000,-10752.700000
9,false,false,-10730.050000,-10752.700000,-10752.700000,-10752.700000
10,false,false,-10729.950000,-10752.700000,-10752.700000,-10752.700000
11,false,false,-10730.050000,-10752.700000,-10752.700000,-10752.700000
12,false,false,-10729.950000,-10752.700000,-10752.700000,-10752.700000
13,false,false,-10730.050000,-10752.700000,-10752.700000,-10752.700000
14,false,false,-10729.950000,-10752.700000,-10752.700000,-10752.700000
15,false,false,-10730.000000,-10752.700000,-10752.700000,-10752.700000
16,false,false,-10729.950000,-10752.700000,-10752.700000,-10752.700000
17,false,false,-10730.075000,-10765.075000,-10752.700000,-10752.700000
18,false,false,-10729.950000,-10752.700000,-10752.700000,-10752.700000
19,false,false,-10730.075000,-10752.700000,-10752.700000,-10752.700000
20,false,false,-10729.950000,-10752.700000,-10752.700000,-10752.700000
21,false,false,-10730.075000,-10752.700000,-10752.700000,-10752.700000
22,false,false,-10729.975000,-10752.700000,-10752.700000,-10752.700000
23,false,false,-10730.050000,-10752.700000,-10752.700000,-10752.700000
24,false,false,-10730.075000,-10752.700000,-10752.700000,-10752.700000
