row,split,hist0,hist1,hist2,hist3,cluster,predict_solve,actual_solve,order_invariant
0,train,0,6,16,42,rapid,yes,yes,pass
1,train,0,15,37,12,slow,yes,yes,pass
2,train,39,20,5,0,flat,no,no,pass
3,train,0,6,16,42,rapid,yes,yes,pass
4,train,0,15,37,12,slow,yes,yes,pass
5,train,39,20,5,0,flat,no,no,pass
6,train,0,6,16,42,rapid,yes,yes,pass
7,train,0,15,37,12,slow,yes,yes,pass
8,train,39,20,5,0,flat,no,no,pass
9,train,0,6,16,42,rapid,yes,yes,pass
10,train,0,15,37,12,slow,yes,yes,pass
11,train,39,20,5,0,flat,no,no,pass
12,train,0,6,16,42,rapid,yes,yes,pass
13,train,0,15,37,12,slow,yes,yes,pass
14,train,39,20,5,0,flat,no,no,pass
15,train,0,6,16,42,rapid,yes,yes,pass
16,train,0,15,37,12,slow,yes,yes,pass
17,train,39,20,5,0,flat,no,no,pass
18,heldout,0,6,16,42,rapid,yes,yes,pass
19,heldout,0,15,37,12,slow,yes,yes,pass
20,heldout,39,20,5,0,flat,no,no,pass
21,heldout,0,6,16,42,rapid,yes,yes,pass
22,heldout,0,15,37,12,slow,yes,yes,pass
23,heldout,39,20,5,0,flat,no,no,pass
24,heldout,0,6,16,42,rapid,yes,yes,pass
25,heldout,0,15,37,12,slow,yes,yes,pass
26,heldout,39,20,5,0,flat,no,no,pass
27,heldout,0,6,16,42,rapid,yes,yes,pass
28,heldout,0,15,37,12,slow,yes,yes,pass
29,heldout,39,20,5,0,flat,no,no,pass
SUMMARY,heldout=12,atlas_correct=12,majority_baseline=8,mask_fields=absent,label_fields=absent,duplicates=0
