idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,7,ADD_CONST,1,0,1,0x31F43045192E4EDB,16
1,5,SHR_XOR,3,1,4,0x652776E0DFE2A7AF,16
2,12,BSWAP,2,6,6,0x79CA1261A6ECF105,16
3,14,ADD_ROT,1,7,1,0x0AD42C60C0CD4630,16
4,8,AND_NOT,5,5,7,0xC7DAD8822220A2A8,16
5,14,ADD_ROT,1,3,3,0x9D4B8E76D59C59B3,16
6,5,SHR_XOR,4,7,2,0xE3E8BC18B8A57D17,16
7,5,SHR_XOR,7,5,3,0x29EB691513AD4A68,16
8,5,SHR_XOR,7,3,6,0x873A67DD8F289BAF,16
9,7,ADD_CONST,5,3,7,0x0F01880B46548A18,16
10,12,BSWAP,4,3,4,0x3DD348243AE988CA,16
11,1,ADD,4,3,3,0x89A0455F347AEE4C,16
12,3,ROTL,1,2,4,0x3E5533BBA00F3F9A,16
13,0,XOR,2,7,7,0xEA10F02C1B63843A,16
14,7,ADD_CONST,1,3,1,0xBA74084E3F363FF8,16
15,7,ADD_CONST,7,3,1,0xB15689DC3D3E3027,16
