idx,op_id,op_name,dst,src1,src2,imm_hex,used_len
0,1,ADD,0,0,1,0x36960D011FE66BDF,21
1,12,BSWAP,7,6,4,0x906613596679463D,21
2,9,OR_SHIFT,1,2,3,0x12BBC56EEDDBACBA,21
3,9,OR_SHIFT,6,0,4,0xCF052AA0CD8E45A7,21
4,0,XOR,7,1,1,0x83DA66A7B7CB0A5A,21
5,0,XOR,2,5,1,0xC276A800AFFA32CA,21
6,12,BSWAP,2,0,1,0x4F68E2ECE73AD2B4,21
7,14,ADD_ROT,1,2,6,0xA4370B142EEDE86A,21
8,12,BSWAP,3,1,4,0xD67A43FF35E0CDFB,21
9,0,XOR,7,0,3,0xC7E4E81E143CC307,21
10,14,ADD_ROT,4,3,6,0x38AC118A8A759FA6,21
11,14,ADD_ROT,5,4,2,0x1145A7DB088DD32C,21
12,5,SHR_XOR,2,1,5,0xCA558A271D741775,21
13,11,ROTR,5,1,4,0xEC68AE0E478F4762,21
14,0,XOR,3,5,3,0xCA69473CDD765B0A,21
15,5,SHR_XOR,3,5,2,0xEF9228EED02929C8,21
16,3,ROTL,4,1,0,0x7FF61672AFF1B08E,21
17,7,ADD_CONST,2,0,0,0x1635F04D1DBDFE50,21
18,8,AND_NOT,4,7,7,0x5B21CA8C17B29F5A,21
19,4,SHL_XOR,1,7,0,0xCB120223B6B008BA,21
20,14,ADD_ROT,7,3,5,0xADED075F225C7BE1,21
