iter,accepted,best_updated,anchor_mean,holdout_mean,current_holdout,best_holdout
0,true,true,-750060.022705,-1000000.000000,-1000000.000000,-1000000.000000
1,true,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
2,false,false,-750060.022705,-1000000.000000,-1000000.000000,-1000000.000000
3,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
4,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
5,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
6,false,false,-752696.937500,-1000000.000000,-1000000.000000,-1000000.000000
7,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
8,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
9,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
10,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
11,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
12,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
13,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
14,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
15,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
16,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
17,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
18,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
19,false,false,-750066.296143,-1000000.000000,-1000000.000000,-1000000.000000
20,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
21,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
22,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
23,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
24,false,false,-750055.046050,-1000000.000000,-1000000.000000,-1000000.000000
25,true,true,-5499.073169,-227.935701,-227.935701,-227.935701
26,false,false,-1000000.000000,-1000000.000000,-227.935701,-227.935701
27,false,false,-5499.073169,-227.935701,-227.935701,-227.935701
28,false,false,-5499.073169,-227.935701,-227.935701,-227.935701
29,false,false,-2885.717700,-1000000.000000,-227.935701,-227.935701
30,false,false,-5499.073169,-227.935701,-227.935701,-227.935701
31,true,true,-505365.250000,-225.014741,-225.014741,-225.014741
32,false,false,-1000000.000000,-1000000.000000,-225.014741,-225.014741
33,false,false,-1000000.000000,-1000000.000000,-225.014741,-225.014741
34,false,false,-505365.250000,-225.014741,-225.014741,-225.014741
35,false,false,-505365.250000,-225.014741,-225.014741,-225.014741
36,false,false,-505365.250000,-225.014741,-225.014741,-225.014741
37,false,false,-505365.250000,-225.014741,-225.014741,-225.014741
38,false,false,-1000000.000000,-1000000.000000,-225.014741,-225.014741
39,false,false,-752720.187500,-10765.812500,-225.014741,-225.014741
40,false,false,-752720.187500,-10765.812500,-225.014741,-225.014741
41,false,false,-1000000.000000,-1000000.000000,-225.014741,-225.014741
42,false,false,-505365.250000,-225.014741,-225.014741,-225.014741
43,false,false,-5499.073169,-227.935701,-225.014741,-225.014741
44,false,false,-505365.250000,-225.014741,-225.014741,-225.014741
45,false,false,-505365.250000,-225.014741,-225.014741,-225.014741
46,false,false,-505365.250000,-225.014741,-225.014741,-225.014741
47,false,false,-752692.312500,-1000000.000000,-225.014741,-225.014741
48,false,false,-505365.250000,-225.014741,-225.014741,-225.014741
49,false,false,-752720.187500,-10765.812500,-225.014741,-225.014741
50,false,false,-1000000.000000,-1000000.000000,-225.014741,-225.014741
51,false,false,-2882.824067,-227.935701,-225.014741,-225.014741
52,false,false,-752696.937500,-1000000.000000,-225.014741,-225.014741
53,false,false,-505365.250000,-225.014741,-225.014741,-225.014741
54,false,false,-505365.250000,-225.014741,-225.014741,-225.014741
55,true,true,-252822.773560,-215.811938,-215.811938,-215.811938
56,false,false,-252822.773560,-215.811938,-215.811938,-215.811938
57,false,false,-252822.773560,-215.811938,-215.811938,-215.811938
58,false,false,-261.652031,-1000000.000000,-215.811938,-215.811938
59,false,false,-261.652031,-1000000.000000,-215.811938,-215.811938
60,false,false,-252822.773560,-215.811938,-215.811938,-215.811938
61,false,false,-252822.773560,-215.811938,-215.811938,-215.811938
62,false,false,-261.652031,-1000000.000000,-215.811938,-215.811938
63,false,false,-252822.773560,-215.811938,-215.811938,-215.811938
64,false,false,-252822.773560,-215.811938,-215.811938,-215.811938
