iter,accepted,best_updated,anchor_mean,holdout_mean,current_holdout,best_holdout
0,true,true,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
1,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
2,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
3,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
4,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
5,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
6,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
7,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
8,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
9,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
10,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
11,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
12,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
13,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
14,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
15,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
16,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
17,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
18,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
19,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
20,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
21,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
22,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
23,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
24,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
25,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
26,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
27,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
28,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
29,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
30,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
31,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
32,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
33,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
34,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
35,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
36,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
37,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
38,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
39,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
40,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
41,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
42,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
43,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
44,false,false,-1000000.000000,-1000000.000000,-1000000.000000,-1000000.000000
45,true,false,-247.872495,-1000000.000000,-1000000.000000,-1000000.000000
46,false,false,-258085.437500,-1000000.000000,-1000000.000000,-1000000.000000
47,true,true,-5550.682021,-10765.812500,-10765.812500,-10765.812500
48,true,true,-2872.477344,-227.935701,-227.935701,-227.935701
49,false,false,-2872.477344,-227.935701,-227.935701,-227.935701
50,false,false,-1000000.000000,-1000000.000000,-227.935701,-227.935701
51,false,false,-252775.483037,-268.909380,-227.935701,-227.935701
52,false,false,-255423.534668,-1000000.000000,-227.935701,-227.935701
53,false,false,-255440.426152,-227.935701,-227.935701,-227.935701
54,false,false,-2872.477344,-227.935701,-227.935701,-227.935701
55,false,false,-2872.477344,-227.935701,-227.935701,-227.935701
56,false,false,-2872.477344,-227.935701,-227.935701,-227.935701
57,false,false,-5524.968921,-1000000.000000,-227.935701,-227.935701
58,false,false,-2872.477344,-227.935701,-227.935701,-227.935701
59,false,false,-2872.477344,-227.935701,-227.935701,-227.935701
60,false,false,-2872.477344,-227.935701,-227.935701,-227.935701
61,false,false,-2872.477344,-227.935701,-227.935701,-227.935701
62,false,false,-252793.000840,-233.960940,-227.935701,-227.935701
63,false,false,-255399.801152,-227.935701,-227.935701,-227.935701
64,false,false,-255440.426152,-227.935701,-227.935701,-227.935701
