outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
0,mul_free,0x123456789ABCDEF,100000,24,41641,32.036621,32.015625,4096,240.125000,45.055664,32.036621,32.015625,4096,240.125000,45.055664,9,0x3BBCC44C74B15194,18342,100002,40582
1,mul_free,0x123456789ABCDEF,100000,24,53593,31.966064,31.988281,4096,250.625000,45.102051,31.966064,31.988281,4096,250.625000,45.102051,9,0xE27D44C927F33745,37478,200003,86142
2,mul_free,0x123456789ABCDEF,100000,24,73828,32.024170,32.019531,4096,244.125000,45.160645,32.024170,32.019531,4096,244.125000,45.160645,9,0x9A4718AB728DC856,55994,300004,117500
3,mul_free,0x123456789ABCDEF,100000,24,4260,32.003174,31.726563,4096,212.750000,44.601074,32.024170,32.019531,4096,244.125000,45.160645,9,0x9A4718AB728DC856,75325,400005,152572
4,mul_free,0x123456789ABCDEF,100000,24,35204,31.964355,32.003906,4096,240.875000,44.624023,32.024170,32.019531,4096,244.125000,45.160645,9,0x9A4718AB728DC856,95093,500006,188603
5,mul_free,0x123456789ABCDEF,100000,24,65482,32.000244,31.968750,4096,263.000000,44.761309,32.024170,32.019531,4096,244.125000,45.160645,9,0x9A4718AB728DC856,113104,600007,220830
6,mul_free,0x123456789ABCDEF,100000,24,59836,31.986572,32.003906,4096,249.500000,45.346191,31.986572,32.003906,4096,249.500000,45.346191,9,0xCCF2A7EF8C1534C0,132633,700008,251857
7,mul_free,0x123456789ABCDEF,100000,24,27167,32.042725,32.070313,4096,206.375000,44.721191,31.986572,32.003906,4096,249.500000,45.346191,9,0xCCF2A7EF8C1534C0,150559,800009,285729
8,mul_free,0x123456789ABCDEF,100000,24,28897,31.990723,31.929688,4096,262.125000,44.484414,31.986572,32.003906,4096,249.500000,45.346191,9,0xCCF2A7EF8C1534C0,168731,900010,336743
9,mul_free,0x123456789ABCDEF,100000,24,36590,32.023926,31.957031,4096,252.125000,45.545898,32.023926,31.957031,4096,252.125000,45.545898,8,0x48EC399CD87B788A,189010,1000011,383275
10,mul_free,0x123456789ABCDEF,100000,24,29478,32.007568,32.058594,4096,255.000000,44.631348,32.023926,31.957031,4096,252.125000,45.545898,8,0x48EC399CD87B788A,207525,1100012,436940
11,mul_free,0x123456789ABCDEF,100000,24,75896,32.001709,32.085938,4096,220.750000,45.553223,32.001709,32.085938,4096,220.750000,45.553223,8,0x8CB44C7C814515FF,226806,1200013,485633
12,mul_free,0x123456789ABCDEF,100000,24,0,32.001709,32.085938,4096,220.750000,45.053223,32.001709,32.085938,4096,220.750000,45.553223,8,0x8CB44C7C814515FF,246779,1300014,540038
13,mul_free,0x123456789ABCDEF,100000,24,35628,32.000732,32.007813,4096,238.875000,45.953613,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,265609,1400015,588295
14,mul_free,0x123456789ABCDEF,100000,24,0,32.000732,32.007813,4096,238.875000,45.453613,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,284095,1500016,644017
15,mul_free,0x123456789ABCDEF,100000,24,98921,31.950684,31.968750,4096,273.500000,44.665586,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,303117,1600017,694439
16,mul_free,0x123456789ABCDEF,100000,24,75149,32.005859,31.976563,4096,279.125000,45.082969,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,324136,1700018,741431
17,mul_free,0x123456789ABCDEF,100000,24,43862,31.985352,31.992188,4096,232.375000,44.814453,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,342498,1800019,785446
18,mul_free,0x123456789ABCDEF,100000,24,56495,32.015381,31.917969,4096,237.125000,44.936035,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,360533,1900020,817620
19,mul_free,0x123456789ABCDEF,100000,24,85828,31.985840,32.015625,4096,230.875000,45.280273,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,378347,2000021,852860
20,mul_free,0x123456789ABCDEF,100000,24,58652,32.015381,31.988281,4096,257.500000,44.262598,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,396001,2100022,903014
21,mul_free,0x123456789ABCDEF,100000,24,44786,31.994873,31.984375,4096,240.375000,44.870605,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,414165,2200023,955134
22,mul_free,0x123456789ABCDEF,100000,24,87404,32.028564,31.984375,4096,225.125000,45.636230,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,434417,2300024,1001820
23,mul_free,0x123456789ABCDEF,100000,24,42626,32.003174,31.972656,4096,253.375000,43.831543,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,451492,2400025,1041233
24,mul_free,0x123456789ABCDEF,100000,24,46574,31.988525,32.054688,4096,258.875000,44.573066,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,469557,2500026,1074819
25,mul_free,0x123456789ABCDEF,100000,24,61757,31.983154,31.953125,4096,219.750000,45.597168,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,489108,2600027,1113273
26,mul_free,0x123456789ABCDEF,100000,24,73256,31.998779,32.000000,4096,264.250000,44.395293,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,507641,2700028,1148551
27,mul_free,0x123456789ABCDEF,100000,24,94733,32.008789,31.984375,4096,249.625000,43.833984,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,525437,2800029,1195406
28,mul_free,0x123456789ABCDEF,100000,24,61510,32.011719,32.011719,4096,247.250000,44.824219,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,543194,2900030,1242997
29,mul_free,0x123456789ABCDEF,100000,24,64554,31.996826,31.949219,4096,238.750000,44.214355,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,560680,3000031,1280418
30,mul_free,0x123456789ABCDEF,100000,24,39416,31.999756,32.078125,4096,246.500000,44.606934,32.000732,32.007813,4096,238.875000,45.953613,8,0x4BCC9CA9493DC645,579019,3100032,1329176
