outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
0,mul_free,0x1111222233334444,100000,24,59701,32.038818,32.023438,4096,202.875000,44.994629,32.038818,32.023438,4096,202.875000,44.994629,9,0xA2C1A36D183E20BD,19444,100002,32124
1,mul_free,0x1111222233334444,100000,24,59151,31.982910,32.011719,4096,233.625000,45.270508,31.982910,32.011719,4096,233.625000,45.270508,9,0x73CF085B83184018,37849,200003,63435
2,mul_free,0x1111222233334444,100000,24,69792,31.985352,32.003906,4096,241.625000,44.833984,31.982910,32.011719,4096,233.625000,45.270508,9,0x73CF085B83184018,56904,300004,98364
3,mul_free,0x1111222233334444,100000,24,11951,32.046875,32.128906,4096,257.375000,44.362969,31.982910,32.011719,4096,233.625000,45.270508,9,0x73CF085B83184018,74083,400005,139577
4,mul_free,0x1111222233334444,100000,24,34875,31.968750,31.968750,4096,237.375000,43.531250,31.982910,32.011719,4096,233.625000,45.270508,9,0x73CF085B83184018,91885,500006,178372
5,mul_free,0x1111222233334444,100000,24,88691,32.031250,31.984375,4096,242.750000,45.609375,32.031250,31.984375,4096,242.750000,45.609375,8,0xF48B6F09AB9B8E82,112759,600007,209270
6,mul_free,0x1111222233334444,100000,24,95419,31.967285,32.046875,4096,201.375000,44.438477,32.031250,31.984375,4096,242.750000,45.609375,8,0xF48B6F09AB9B8E82,129904,700008,242533
7,mul_free,0x1111222233334444,100000,24,99701,32.036133,32.031250,4096,238.625000,43.982422,32.031250,31.984375,4096,242.750000,45.609375,8,0xF48B6F09AB9B8E82,148000,800009,285612
8,mul_free,0x1111222233334444,100000,24,0,32.031250,31.984375,4096,242.750000,45.109375,32.031250,31.984375,4096,242.750000,45.609375,8,0xF48B6F09AB9B8E82,166982,900010,323543
9,mul_free,0x1111222233334444,100000,24,0,32.031250,31.984375,4096,242.750000,45.109375,32.031250,31.984375,4096,242.750000,45.609375,8,0xF48B6F09AB9B8E82,185783,1000011,357657
10,mul_free,0x1111222233334444,100000,24,0,32.031250,31.984375,4096,242.750000,45.109375,32.031250,31.984375,4096,242.750000,45.609375,8,0xF48B6F09AB9B8E82,204255,1100012,390929
11,mul_free,0x1111222233334444,100000,24,94402,32.000000,31.988281,4096,233.000000,45.941406,32.000000,31.988281,4096,233.000000,45.941406,8,0xA3EE4E62A0A4EF68,226781,1200013,419245
12,mul_free,0x1111222233334444,100000,24,82291,31.969727,31.984375,4096,257.250000,46.096641,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,246614,1300014,447991
13,mul_free,0x1111222233334444,100000,24,42404,32.017090,31.921875,4096,261.500000,45.373477,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,265463,1400015,478375
14,mul_free,0x1111222233334444,100000,24,88526,32.011475,31.933594,4096,240.250000,44.053223,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,284298,1500016,529839
15,mul_free,0x1111222233334444,100000,24,53038,32.042725,31.988281,4096,216.500000,44.514160,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,302433,1600017,583277
16,mul_free,0x1111222233334444,100000,24,40925,31.958984,32.023438,4096,224.750000,44.972656,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,321498,1700018,634757
17,mul_free,0x1111222233334444,100000,24,40908,32.011963,32.015625,4096,248.750000,44.802246,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,339881,1800019,678785
18,mul_free,0x1111222233334444,100000,24,51927,31.990234,31.996094,4096,261.500000,45.317813,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,358163,1900020,710370
19,mul_free,0x1111222233334444,100000,24,63302,31.991699,31.996094,4096,255.625000,43.391211,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,376256,2000021,747758
20,mul_free,0x1111222233334444,100000,24,49380,31.999268,32.003906,4096,244.875000,45.473145,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,394874,2100022,779706
21,mul_free,0x1111222233334444,100000,24,34807,31.990723,31.972656,4096,259.250000,45.228008,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,415266,2200023,811560
22,mul_free,0x1111222233334444,100000,24,70083,32.018555,31.957031,4096,224.250000,44.599609,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,433671,2300024,845861
23,mul_free,0x1111222233334444,100000,24,91636,32.025879,31.996094,4096,237.000000,44.721680,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,452708,2400025,878345
24,mul_free,0x1111222233334444,100000,24,41192,31.990967,32.019531,4096,252.125000,45.312012,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,471782,2500026,917878
25,mul_free,0x1111222233334444,100000,24,86838,32.005859,31.972656,4096,254.500000,45.304688,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,490507,2600027,962562
26,mul_free,0x1111222233334444,100000,24,91197,31.996826,32.023438,4096,247.250000,45.351074,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,509127,2700028,996622
27,mul_free,0x1111222233334444,100000,24,26930,32.039551,32.042969,4096,247.250000,43.389648,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,526887,2800029,1034535
28,mul_free,0x1111222233334444,100000,24,12,31.969727,31.984375,4096,257.250000,46.096641,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,545058,2900030,1069421
29,mul_free,0x1111222233334444,100000,24,99597,32.015137,31.968750,4096,212.375000,44.692383,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,562125,3000031,1103982
30,mul_free,0x1111222233334444,100000,24,57222,31.980469,32.031250,4096,253.875000,44.648438,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,580575,3100032,1137187
31,mul_free,0x1111222233334444,100000,24,68391,32.013184,31.968750,4096,238.125000,45.211914,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,597877,3200033,1170236
32,mul_free,0x1111222233334444,100000,24,94234,32.000488,32.105469,4096,245.375000,45.467773,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,617055,3300034,1219077
33,mul_free,0x1111222233334444,100000,24,69729,32.001465,31.980469,4096,222.000000,45.387695,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,635329,3400035,1268560
34,mul_free,0x1111222233334444,100000,24,72782,32.005371,32.019531,4096,239.875000,44.348633,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,654645,3500036,1319639
35,mul_free,0x1111222233334444,100000,24,78990,32.001709,32.007813,4096,274.250000,44.751348,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,672247,3600037,1371858
36,mul_free,0x1111222233334444,100000,24,55871,32.005127,31.964844,4096,226.750000,44.272949,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,689706,3700038,1411699
37,mul_free,0x1111222233334444,100000,24,7,31.969727,31.984375,4096,257.250000,46.096641,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,708208,3800039,1460378
38,mul_free,0x1111222233334444,100000,24,50009,31.993896,31.984375,4096,216.125000,45.360840,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,727132,3900040,1491869
39,mul_free,0x1111222233334444,100000,24,54884,32.008789,31.949219,4096,225.000000,44.658203,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,746262,4000041,1525128
40,mul_free,0x1111222233334444,100000,24,83890,32.002930,31.988281,4096,255.500000,45.907109,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,764295,4100042,1554325
41,mul_free,0x1111222233334444,100000,24,78811,31.971191,32.007813,4096,242.500000,44.172852,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,782372,4200043,1589640
42,mul_free,0x1111222233334444,100000,24,77451,32.031250,32.000000,4096,224.875000,44.687500,31.969727,31.984375,4096,257.250000,46.096641,7,0xCE5666B9FB30B71B,800305,4300044,1638184
43,mul_free,0x1111222233334444,100000,24,56630,32.000000,32.003906,4096,260.125000,46.429219,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,823314,4400045,1679999
44,mul_free,0x1111222233334444,100000,24,62448,31.996582,32.000000,4096,244.625000,45.965820,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,842208,4500046,1727399
45,mul_free,0x1111222233334444,100000,24,83535,31.982910,32.003906,4096,258.375000,45.775820,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,860555,4600047,1776693
46,mul_free,0x1111222233334444,100000,24,73426,31.991943,32.011719,4096,237.000000,45.360840,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,880784,4700048,1825578
47,mul_free,0x1111222233334444,100000,24,60499,31.996582,31.988281,4096,246.500000,45.407227,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,899745,4800049,1876967
48,mul_free,0x1111222233334444,100000,24,65813,32.019775,31.996094,4096,238.875000,45.282715,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,920571,4900050,1926307
49,mul_free,0x1111222233334444,100000,24,48834,32.002441,31.960938,4096,238.250000,44.280273,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,938255,5000051,1982047
50,mul_free,0x1111222233334444,100000,24,95598,31.995850,32.003906,4096,225.250000,45.438965,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,956568,5100052,2027860
51,mul_free,0x1111222233334444,100000,24,88394,32.035645,32.000000,4096,254.125000,45.643555,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,975718,5200053,2066039
52,mul_free,0x1111222233334444,100000,24,80183,32.000000,32.085938,4096,256.250000,44.557813,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,996168,5300054,2116181
53,mul_free,0x1111222233334444,100000,24,36699,32.005127,31.984375,4096,236.875000,44.370605,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1013548,5400055,2171045
54,mul_free,0x1111222233334444,100000,24,47347,31.985596,31.996094,4096,242.375000,44.336426,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1031270,5500056,2228046
55,mul_free,0x1111222233334444,100000,24,65742,32.009766,31.980469,4096,247.375000,43.804688,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1049037,5600057,2277277
56,mul_free,0x1111222233334444,100000,24,0,32.000000,32.003906,4096,260.125000,45.929219,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1067902,5700058,2323540
57,mul_free,0x1111222233334444,100000,24,66926,32.000000,32.003906,4096,249.875000,45.980469,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1091158,5800059,2357387
58,mul_free,0x1111222233334444,100000,24,1,32.000000,32.003906,4096,260.125000,45.929219,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1110681,5900060,2400354
59,mul_free,0x1111222233334444,100000,24,94979,32.020752,31.980469,4096,244.125000,45.194824,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1128025,6000061,2450711
60,mul_free,0x1111222233334444,100000,24,42641,31.978027,32.011719,4096,263.625000,44.135430,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1147076,6100062,2503656
61,mul_free,0x1111222233334444,100000,24,0,32.000000,32.003906,4096,260.125000,45.929219,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1166608,6200063,2551196
62,mul_free,0x1111222233334444,100000,24,38892,31.992920,31.996094,4096,237.250000,45.409668,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1185490,6300064,2583211
63,mul_free,0x1111222233334444,100000,24,58498,31.994873,32.003906,4096,253.750000,44.429199,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1204516,6400065,2620037
64,mul_free,0x1111222233334444,100000,24,55060,31.998535,31.988281,4096,236.000000,44.926758,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1224351,6500066,2655820
65,mul_free,0x1111222233334444,100000,24,76071,32.006592,32.093750,4096,255.875000,45.456582,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1243408,6600067,2686646
66,mul_free,0x1111222233334444,100000,24,0,32.000000,32.003906,4096,260.125000,45.929219,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1263888,6700068,2732192
67,mul_free,0x1111222233334444,100000,24,85369,31.979492,31.960938,4096,243.250000,44.599609,32.000000,32.003906,4096,260.125000,46.429219,7,0xA3DE33000A4BB15F,1282335,6800069,2784893
