artifact,transform,policy,charged_trials,old_resource,new_resource,ablated_resource,commits,rollbacks,verdict
round_ac_ac3,native,evidence,110592,91534,143894,91534,24,0,BOUNDED_POSITIVE:fresh_causal_relearning_after_identity_destruction
round_ac_ac3,relocated,evidence,110592,91534,145114,91534,24,0,BOUNDED_POSITIVE:fresh_causal_relearning_after_identity_destruction
round_ac_ac3,recoded,evidence,110592,91534,144334,91534,24,0,BOUNDED_POSITIVE:fresh_causal_relearning_after_identity_destruction
round_ac_ac3,resegmented,evidence,110592,91534,143894,91534,24,0,BOUNDED_POSITIVE:fresh_causal_relearning_after_identity_destruction
round_ac_ac3,combined,evidence,110592,91534,144574,91534,24,0,BOUNDED_POSITIVE:fresh_causal_relearning_after_identity_destruction
round_ac_ac3,combined,copied,0,91534,91534,91534,0,24,CONTROL
round_ac_ac3,combined,address,110592,91534,98194,91534,24,0,CONTROL
round_ac_ac3,combined,static,0,91534,91534,91534,0,24,CONTROL
round_ac_ac3,combined,random,110592,91534,92874,91534,13,11,CONTROL
round_ac_ac3,combined,replay,0,91534,94334,91534,15,9,CONTROL
round_ac_ac3,combined,shuffled,110592,91534,144094,91534,24,0,CONTROL
round_ac_ac3,combined,false_evidence,110592,91534,91534,91534,0,24,CONTROL
round_ac_ac3,combined,oracle,0,91534,184314,91534,24,0,INVALID_ORACLE:evaluator_private_ceiling
round_ac_ac3,attack,hostile,0,0,0,0,0,0,CONTROL_PASS:private_relocation_value_recode_and_resegmentation_combined
round_ac_ac3,attack,hostile,0,0,0,0,0,0,CONTROL_PASS:no_inverse_map_fixed_decoder_answer_trace_semantic_target_or_intermediate_score_exposed
round_ac_ac3,attack,hostile,0,0,0,0,0,0,CONTROL_PASS:equal_budget_cost_accounting_freeze_fresh_test_and_exact_ablation
round_ac_ac3,attack,hostile,0,0,0,0,0,0,CONTROL_PASS:deterministic_replay_and_no_llm_neural_embedding_or_text_path
round_ac_ac3,attack,hostile,0,0,0,0,0,0,CONTROL_FAIL:host_supplies_raw_byte_atom_and_candidate_proposal_procedure
round_ac_ac3,attack,hostile,0,0,0,0,0,0,CONTROL_FAIL:host_supplies_intervention_iteration_and_resegmentation_geometry
round_ac_ac3,attack,hostile,0,0,0,0,0,0,VALID_NEGATIVE:function_relearns_but_mutation_ontology_and_proposer_are_not_organism_owned
