n,label,bits,seed_hex,hybrid_length,strong_fixed_length,inherited_length,fixed_simplification_length,equality_saturation_length,brute_force_length,random_length,replay_length,no_memory_length,no_probe_length,hybrid_delta_strong_fixed,hybrid_delta_inherited,hybrid_delta_replay,hybrid_grammar,hybrid_radix,hybrid_builds,strong_fixed_builds,equality_work,equality_unit,brute_work,brute_unit,random_work,random_unit,replay_work,inherited_replay_equal,crossover_replay_equal,equivalence_valid,reuse_calls,hybrid_reuse_multiplications,strong_fixed_reuse_multiplications
362244575,HELDOUT,29,0xBCEA89CD24082AD0,36,36,36,46,38,46,46,39,36,36,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1512,1512
3369688347,HELDOUT,32,0x3EE43839FA8A8A93,39,39,39,47,43,47,47,43,39,39,0,0,4,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1638,1638
8435639328,HELDOUT,33,0x10501E81B2B9F4B1,40,40,40,47,43,47,47,43,40,40,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1680,1680
126046205,HELDOUT,27,0x29888F32D543248C,33,33,33,43,37,43,43,37,33,33,0,0,4,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1386,1386
430085150808,HELDOUT,39,0x69A162837970D92C,47,47,47,51,50,51,51,49,47,47,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1974,1974
322292947926,HELDOUT,39,0xB2DD7FFA19A65C90,47,47,47,54,52,54,54,49,47,47,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1974,1974
1225728717,HELDOUT,31,0x700E0EBD6CAB2B3E,37,38,38,43,40,43,43,40,38,38,1,1,3,CROSSOVER_EXACT_ALL_RADIX,128,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1554,1596
1901450859,HELDOUT,31,0x4AE8AB20EEDB4D93,40,40,40,47,42,47,47,41,40,40,0,0,1,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1680,1680
12495028122,HELDOUT,34,0x6D82CD4571D4F950,42,42,42,52,44,52,52,44,42,42,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1764,1764
1793441444,HELDOUT,31,0x0BED4B03C2FEB6ED,39,40,40,47,42,47,47,43,40,40,1,1,4,CROSSOVER_EXACT_ALL_RADIX,33,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1638,1680
8485717242,HELDOUT,33,0xD496AE3436A035DE,42,42,42,51,45,51,51,46,42,42,0,0,4,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1764,1764
193325656716,HELDOUT,38,0x0624FA0D1890F829,46,46,46,53,50,53,53,49,46,46,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1932,1932
151913234752,HELDOUT,38,0xEF2E34895EFE6A6D,44,45,45,51,48,51,51,46,45,45,1,1,2,CROSSOVER_EXACT_ALL_RADIX,68,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1848,1890
1362963011,HELDOUT,31,0x77419B901AABDC69,39,39,39,43,40,43,43,39,39,39,0,0,0,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1638,1638
843174841,HELDOUT,30,0x2D330EB53C5AB9C3,38,38,38,43,40,43,43,40,38,38,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1596,1596
44291981,HELDOUT,26,0xACFFB62235D36DAD,32,32,32,39,36,39,39,35,32,32,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1344,1344
116435988549,HELDOUT,37,0x267881B2B65BBC47,44,44,44,48,45,48,48,47,44,44,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1848,1848
10738960,HELDOUT,24,0x59DA872ED4D2B4DC,29,29,29,33,31,33,33,32,29,29,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1218,1218
6293594499,HELDOUT,33,0x21159A75AB208C15,40,40,40,45,42,45,45,42,40,40,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1680,1680
211134300808,HELDOUT,38,0x56E3D83955E4CE65,46,46,46,50,49,50,50,48,46,46,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1932,1932
38408046045,HELDOUT,36,0x62F853E3A8885718,45,45,45,52,48,52,52,48,45,45,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1890,1890
29300864,HELDOUT,25,0xEA22B90DCECF6F60,29,29,29,34,31,34,34,32,29,29,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1218,1218
88089509841,HELDOUT,37,0x3ACC615549ABC18B,45,45,45,53,48,53,53,47,45,45,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1890,1890
46746822043,HELDOUT,36,0xC5FA1309FE845A15,45,45,45,54,49,54,54,47,45,45,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1890,1890
988803185974,HELDOUT,40,0xF568B0A71E37FB6C,49,49,49,59,52,59,59,52,49,49,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,2058,2058
1716480167,HELDOUT,31,0x8D1D322E6BEE1001,38,39,39,46,42,46,46,41,39,39,1,1,3,CROSSOVER_EXACT_ALL_RADIX,96,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1596,1638
831896849,HELDOUT,30,0x5A0DC8B0FB52B360,38,38,38,43,41,43,43,42,38,38,0,0,4,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1596,1596
16462826,HELDOUT,24,0x798B81E25460C6A1,31,31,31,38,33,38,38,34,31,31,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1302,1302
637304066,HELDOUT,30,0x97BC0DFD86F75BF5,37,37,37,44,40,44,44,38,37,37,0,0,1,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1554,1554
519760275713,HELDOUT,39,0xF5044BC601330EC4,46,46,46,49,49,49,49,47,46,46,0,0,1,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1932,1932
10789791,HELDOUT,24,0x3430DC1108DBF6EB,30,30,30,35,33,35,35,30,30,30,0,0,0,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1260,1260
3954793830,HELDOUT,32,0xD9A6BE1D42A47DD9,41,41,41,50,44,50,50,43,41,41,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1722,1722
156533965,HELDOUT,28,0x6098883242B874B5,32,33,33,38,37,38,38,36,33,33,1,1,4,CROSSOVER_EXACT_ALL_RADIX,128,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1344,1386
21972514,HELDOUT,25,0x71EE7A4DD1D16835,31,31,31,34,32,34,34,33,31,31,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1302,1302
111937965,HELDOUT,27,0x52A544487D1E1017,33,33,33,38,35,38,38,35,33,33,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1386,1386
10774021151,HELDOUT,34,0x62268E5A1C0B7491,41,42,42,46,44,46,46,42,42,42,1,1,1,CROSSOVER_EXACT_ALL_RADIX,64,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1722,1764
452665179,HELDOUT,29,0x5986F210E9B5AB1B,37,37,37,47,40,47,47,38,37,37,0,0,1,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1554,1554
681406436,HELDOUT,30,0x0CEF424581F7BFA9,37,37,37,45,39,45,45,40,37,37,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1554,1554
13703581,HELDOUT,24,0x080F2DB05F4F8C5C,30,30,30,34,33,34,34,33,30,30,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1260,1260
438281853454,HELDOUT,39,0x44FD4CBF8DA0E163,48,48,48,54,50,54,54,51,48,48,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,2016,2016
54408275,HELDOUT,26,0xA0276FE9701C3728,33,33,33,38,34,38,38,35,33,33,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1386,1386
21101197,HELDOUT,25,0xFB67DFDAA336E3AB,30,30,30,36,33,36,36,34,30,30,0,0,4,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1260,1260
415317922999,HELDOUT,39,0x2FD8B72D93504B53,48,48,48,55,50,55,55,51,48,48,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,2016,2016
26175871,HELDOUT,25,0xF25361FF53E2162D,32,32,32,40,35,40,40,32,32,32,0,0,0,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1344,1344
236075203659,HELDOUT,38,0x4C498E63B925043A,48,48,48,60,51,60,60,50,48,48,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,2016,2016
2431870987,HELDOUT,32,0xEDE41954CC046DAF,39,39,39,44,41,44,44,43,39,39,0,0,4,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1638,1638
49198134385,HELDOUT,36,0x6D92A97102B359F4,45,45,45,56,50,56,56,49,45,45,0,0,4,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1890,1890
382295210111,HELDOUT,39,0xD4380CDAF5A76606,48,48,48,57,52,57,57,51,48,48,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,2016,2016
476833866251,HELDOUT,39,0x8C37BDC4CBBD097D,46,47,47,54,50,54,54,53,47,47,1,1,7,CROSSOVER_EXACT_ALL_RADIX,256,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1932,1974
199973977,HELDOUT,28,0x765C802C72C75EB6,35,35,35,43,40,43,43,39,35,35,0,0,4,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1470,1470
267348025951,HELDOUT,38,0xE2B12D090CD7312F,48,48,48,60,50,60,60,51,48,48,0,0,3,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,2016,2016
3637319699,HELDOUT,32,0x01529A6FBE19D236,39,39,39,44,41,44,44,41,39,39,0,0,2,CROSSOVER_EXACT_ALL_RADIX,0,48000,96000,4000,program_constructions,4000,node_expansions,4000,program_constructions,1,true,true,true,42,1638,1638
