protocol,record_type,token,candidate_cut,examples,correct,charged_call,charged_calls
round_m,baseline,M1-T0,8,16,16,1,1
round_m,diagnostic,M1-T0,6,16,13,2,1
round_m,query,M1-T0,8,16,16,3,1
round_m,query,M1-T1,11,16,0,4,1
round_m,restart_query,M1-T0,7,16,15,5,1
round_m,fresh_test,M1-T0,8,16,16,6,1
round_m,fresh_test,M1-T1,11,16,0,7,1
round_m,padding,M1-T1,0,16,9,8,1
round_m,padding,M1-T1,0,16,9,9,1
round_m,padding,M1-T1,0,16,9,10,1
round_m,padding,M1-T1,0,16,9,11,1
round_m,padding,M1-T1,0,16,9,12,1
