actor,operation,response,charged_call,visibility,detail
policy,calibration,allowed_calibration_reply,1,policy_visible,anonymous_context
policy,commit,commitment_accepted,2,policy_visible,commit_before_private_test
evaluator,private_test,withheld,3,evaluator_private,score_not_exported_per_session
policy,calibration,allowed_calibration_reply,1,policy_visible,anonymous_context
policy,commit,commitment_accepted,2,policy_visible,commit_before_private_test
evaluator,private_test,withheld,3,evaluator_private,score_not_exported_per_session
policy,calibration,allowed_calibration_reply,1,policy_visible,anonymous_context
policy,commit,commitment_accepted,2,policy_visible,commit_before_private_test
evaluator,private_test,withheld,3,evaluator_private,score_not_exported_per_session
policy,calibration,allowed_calibration_reply,1,policy_visible,anonymous_context
policy,commit,commitment_accepted,2,policy_visible,commit_before_private_test
evaluator,private_test,withheld,3,evaluator_private,score_not_exported_per_session
policy,calibration,allowed_calibration_reply,1,policy_visible,anonymous_context
policy,commit,commitment_accepted,2,policy_visible,commit_before_private_test
evaluator,private_test,withheld,3,evaluator_private,score_not_exported_per_session
policy,calibration,allowed_calibration_reply,1,policy_visible,anonymous_context
policy,commit,commitment_accepted,2,policy_visible,commit_before_private_test
evaluator,private_test,withheld,3,evaluator_private,score_not_exported_per_session
evaluator,closure,aggregate_exact_6_of_6,0,policy_visible,all_sessions_closed
evaluator,closure,aggregate_calls_18,0,policy_visible,persistent_budget
policy,forbidden_manifest,denied,0,policy_visible,capability_api_denial
policy,forbidden_score,denied,0,policy_visible,capability_api_denial
policy,forbidden_state,denied,0,policy_visible,capability_api_denial
policy,forbidden_path,denied,0,policy_visible,capability_api_denial
policy,forbidden_restart,denied,0,policy_visible,capability_api_denial
policy,forbidden_join,denied,0,policy_visible,capability_api_denial
audit,replay,canonical_pass,0,audit_visible,reverse_traversal_canonicalized
