artifact,policy,transfer_encoding,charged_raw_interactions,hidden_future_material,causal_commits,record_commits,note
round_ak_ak2,earned_value,native,8640,44149,960,48,CANDIDATE_FOUNDATION:earned_consequence_record_allocates_raw_perturbation
round_ak_ak2,earned_value,wholesale_recode,8640,44153,960,48,CANDIDATE_FOUNDATION:allocation_survives_private_action_relocation_and_value_recode
round_ak_ak2,random,wholesale_recode,8640,27193,112,0,CONTROL
round_ak_ak2,replay,wholesale_recode,8640,35353,520,48,CONTROL
round_ak_ak2,shuffled_history,wholesale_recode,8640,33753,440,48,CONTROL
round_ak_ak2,fixed_value,wholesale_recode,8640,32953,400,48,CONTROL
round_ak_ak2,ablated_record,wholesale_recode,8640,32953,400,48,CONTROL
round_ak_ak2,false_evidence,wholesale_recode,8640,24953,0,48,CONTROL
round_ak_ak2,answer_memory,wholesale_recode,8640,27373,121,0,CONTROL
round_ak_ak2,retained_answer,wholesale_recode,8640,27373,121,0,CONTROL
round_ak_ak2,oracle,wholesale_recode,8640,44153,960,0,INVALID_ORACLE:evaluator_private_ceiling
round_ak_ak2,audit,hostile,0,0,0,0,CONTROL_PASS:all_policies_pay_eight_generic_scan_contacts_plus_one_allocated_contact_per_hidden_world
round_ak_ak2,audit,hostile,0,0,0,0,CONTROL_PASS:hidden_transfer_seed_domain_is_disjoint_from_training_and_world_ids_are_not_organism_visible
round_ak_ak2,audit,hostile,0,0,0,0,CONTROL_PASS:random_replay_shuffled_fixed_value_ablation_false_evidence_answer_and_retained_answer_controls_pre_registered
round_ak_ak2,audit,hostile,0,0,0,0,COUNTERFACTUAL:inverting_only_earned_direction_loses_future_causal_control
round_ak_ak2,audit,hostile,0,0,0,0,ATTACK_PASS:private_action_address_relocation_and_wholesale_value_recode_preserve_earned_repeat_relation_but_break_retained_answers
round_ak_ak2,audit,hostile,0,0,0,0,ATTACK_PASS:no_target_label_world_family_id_answer_trace_uncertainty_novelty_reward_scalar_or_evaluator_feedback_reaches_policy
round_ak_ak2,audit,hostile,0,0,0,0,PROVENANCE:record=direction,support,append_only_digest;all_other_policy_state_is_current_raw_scan
round_ak_ak2,audit,hostile,0,0,0,0,LIMIT:host_supplies_finite_raw_perturbation_arity_uniform_transport_and_external_post_run_material_measurement;not_full_autonomy_or_hostile_containment
round_ak_ak2,audit,hostile,0,0,0,0,FOUNDATION_POSITIVE:earned_consequence_value_is_necessary_and_beats_all_equal_cost_strong_controls_in_pre_registered_hidden_worlds
