phase,seed,lens_or_arm,target,family,deg,attempt,hit,accepted,false_accept,alias,ev_lb,ev_tb,ev_cmp,ev_k0,stat,true_stat,val_stat,consistent,rank,cov_before,cov_after,r2,tax,tax_corr,evals,note
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,0,0,0,0,0,0x00,0x63,0x0000000,0,0.0623,0.0069,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,0,0,0,0,0,0x80,0x7C,0x0000000,0,0.0663,0.0337,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,0,1,0,0,0,0x09,0x06,0x0000000,0,0.1269,0.1034,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,0,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,0,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,0,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,1,0,0,0,0,0x00,0x32,0x0000000,0,0.0531,0.0120,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,1,0,0,0,0,0x80,0x7C,0x0000000,0,0.0629,0.0253,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,1,1,0,0,0,0x09,0x06,0x0000000,0,0.1269,0.1022,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,1,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,1,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,1,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
