attack,item,detail,depth,n_streams,L,threshold,trials,m1,m2,m3,m4,witness,note
repro,0xA70F,promotion_loop,3,8,28,0.950,10,10.000000,1.000000,0.000000,705.000000,"","lengths_match_a1a6=true;census_selfcheck_mismatch=0/705"
repro,0x5EED2,promotion_loop,3,8,28,0.950,10,10.000000,1.000000,0.000000,774.000000,"","lengths_match_a1a6=true;census_selfcheck_mismatch=0/774"
A1_constructed,dev_k2,vs_gxor_chain0,1,8,28,0.950,500,1.000000,0.690000,0.953552,0.953476,"syms=33;pos=1;exp=0;got=1;sseed=0x0","clean=true;reducibleLib_d3=true;prodB_pass=true"
A1_constructed,dev_k2or3,vs_gxor_chain0,1,8,28,0.950,500,1.000000,0.378000,0.941640,0.941711,"syms=33;pos=1;exp=0;got=1;sseed=0x0","clean=true;reducibleLib_d3=true;prodB_pass=true"
A1_constructed,dev_k3,vs_gxor_chain0,1,8,28,0.950,500,1.000000,1.000000,0.988088,0.988235,"syms=333;pos=2;exp=3;got=0;sseed=0x0","clean=true;reducibleLib_d3=true;prodB_pass=true"
A1_constructed,dev_k4,vs_gxor_chain0,1,8,28,0.950,500,1.000000,1.000000,0.996989,0.997131,"syms=3333;pos=3;exp=0;got=1;sseed=0x0","clean=true;reducibleLib_d3=true;prodB_pass=true"
A1_constructed,dev_k5,vs_gxor_chain0,1,8,28,0.950,500,1.000000,1.000000,0.999288,0.999161,"syms=33333;pos=4;exp=3;got=0;sseed=0x0","clean=true;reducibleLib_d3=true;prodB_pass=true"
A1_constructed,dev_k6,vs_gxor_chain0,1,8,28,0.950,500,1.000000,1.000000,0.999776,0.999817,"syms=333333;pos=5;exp=0;got=1;sseed=0x0","clean=true;reducibleLib_d3=true;prodB_pass=true"
A1_constructed,dev_k7,vs_gxor_chain0,1,8,28,0.950,500,1.000000,1.000000,0.999959,0.999939,"syms=3333333;pos=6;exp=3;got=0;sseed=0x0","clean=true;reducibleLib_d3=true;prodB_pass=true"
A1_constructed,dev_k8,vs_gxor_chain0,1,8,28,0.950,500,1.000000,1.000000,0.999990,0.999985,"syms=33333333;pos=7;exp=0;got=1;sseed=0x0","clean=true;reducibleLib_d3=true;prodB_pass=true"
A1_constructed,horizon_bomb,vs_gxor_chain0,1,8,28,0.950,500,1.000000,1.000000,0.291667,0.109375,"syms=00000000000000000000000000000;pos=28;exp=0;got=1;sseed=0x0","clean=true;reducibleLib_d3=true;prodB_pass=true"
A1_random,aggregate,mutant_pairs,0,8,28,0.950,120000,5803.000000,2.000000,21.000000,5780.000000,"","alive=7658;identical=313;exactish(0mm@4096)=5780"
A1_random,fe_pair_0,false_equal,0,8,28,0.950,1,1.000000,0.333333,0.000000,0.000000,"syms=123211000122120222312012302012223;pos=32;exp=3;got=0;sseed=0xD00D2","prod>=0.95 but true<0.95; witness independently generated"
A1_random,fe_pair_1,false_equal,0,8,28,0.950,1,0.968750,0.926717,0.000000,0.000000,"syms=123211000122120222312012;pos=23;exp=0;got=1;sseed=0xD00D2","prod>=0.95 but true<0.95; witness independently generated"
A1_census_fe,0xA70F_r6_c52,[7,7],3,8,28,0.950,1,0.887858,11024.000000,10.000000,0.000000,"syms=2201121002312313201233003302133321032213000;pos=42;exp=0;got=3;sseed=0xD00D3","production census said reducible; true agreement < 0.95"
A1_census_fe,0xA70F_r6_c60,[7,7],3,8,28,0.950,1,0.910329,8815.000000,10.000000,0.000000,"syms=2201121002312313201233003302133321032213000;pos=42;exp=0;got=3;sseed=0xD00D3","production census said reducible; true agreement < 0.95"
A1_census_fe,0xA70F_r8_c50,[11,5],3,8,28,0.950,1,0.428457,56185.000000,12.000000,0.000000,"syms=22011210023123132012330033021333;pos=31;exp=0;got=2;sseed=0xD00D3","production census said reducible; true agreement < 0.95"
A1_census_fe,0xA70F_r8_c51,[11,5],3,8,28,0.950,1,0.428457,56185.000000,12.000000,0.000000,"syms=22011210023123132012330033021333;pos=31;exp=0;got=2;sseed=0xD00D3","production census said reducible; true agreement < 0.95"
A1_census_fe,0xA70F_r8_c58,[11,5],3,8,28,0.950,1,0.428457,56185.000000,12.000000,0.000000,"syms=22011210023123132012330033021333;pos=31;exp=0;got=2;sseed=0xD00D3","production census said reducible; true agreement < 0.95"
A1_census_fe,0xA70F_r8_c60,[11,5],3,8,28,0.950,1,0.428457,56185.000000,12.000000,0.000000,"syms=22011210023123132012330033021333;pos=31;exp=0;got=2;sseed=0xD00D3","production census said reducible; true agreement < 0.95"
A1_census_fe,0x5EED2_r5_c65,[7],3,8,28,0.950,1,0.663849,33045.000000,9.000000,0.000000,"syms=2201121002312313201233003302133321032213000301;pos=45;exp=1;got=3;sseed=0xD00D3","production census said reducible; true agreement < 0.95"
A1_census_fe,0x5EED2_r9_c34,[5,9,6],3,8,28,0.950,1,0.322917,66560.000000,13.000000,0.000000,"syms=22011210023123132012330033021333;pos=31;exp=3;got=0;sseed=0xD00D3","production census said reducible; true agreement < 0.95"
A1_census,aggregate,all_production_reducible_verdicts,3,8,28,0.950,189,176.000000,5.000000,8.000000,1.000000,"","min_true=0.322917;median_true=1.000000"
A2_equal,aggregate,syntactic_variants_100seeds,0,8,28,0.950,90000,0.000000,1.000000,0.000000,0.000000,"","variant_construction_failures=0;min_frac_over_all=1.000000"
A2_nearband,dev_k2_trueabove,vs_gxor_chain0,1,8,28,0.950,2000,0.953552,0.679500,0.320500,0.000000,"","true agreement straddles the threshold; verdict is stream-seed noise"
A2_nearband,dev_k2or3_truebelow,vs_gxor_chain0,1,8,28,0.950,2000,0.941640,0.387000,0.613000,0.000000,"","true agreement straddles the threshold; verdict is stream-seed noise"
A3_seedflip,0xA70F_inv0_d3,prefix,3,8,28,0.950,100,0.000000,0.392857,0.468750,0.522321,"",""
A3_seedflip,0xA70F_inv0_d4,prefix,4,8,28,0.950,16,0.000000,0.459821,0.482143,0.526786,"",""
A3_seedflip,0xA70F_inv1_d3,prefix,3,8,28,0.950,100,0.000000,0.540179,0.593750,0.638393,"",""
A3_seedflip,0xA70F_inv1_d4,prefix,4,8,28,0.950,16,0.000000,0.562500,0.616071,0.660714,"",""
A3_seedflip,0xA70F_inv2_d3,prefix,3,8,28,0.950,100,0.000000,0.566964,0.620536,0.718750,"",""
A3_seedflip,0xA70F_inv2_d4,prefix,4,8,28,0.950,16,0.000000,0.580357,0.629464,0.683036,"",""
A3_seedflip,0xA70F_inv3_d3,prefix,3,8,28,0.950,100,0.000000,0.602679,0.656250,0.732143,"",""
A3_seedflip,0xA70F_inv3_d4,prefix,4,8,28,0.950,16,0.000000,0.607143,0.651786,0.732143,"",""
A3_seedflip,0xA70F_inv4_d3,prefix,3,8,28,0.950,100,0.000000,0.589286,0.665179,0.718750,"",""
A3_seedflip,0xA70F_inv4_d4,prefix,4,8,28,0.950,16,0.000000,0.616071,0.687500,0.732143,"",""
A3_seedflip,0xA70F_inv5_d3,prefix,3,8,28,0.950,100,0.000000,0.669643,0.750000,0.816964,"",""
A3_seedflip,0xA70F_inv5_d4,prefix,4,8,28,0.950,16,0.000000,0.678571,0.763393,0.803571,"",""
A3_seedflip,0xA70F_inv6_d3,prefix,3,8,28,0.950,100,0.000000,0.500000,0.508929,0.566964,"",""
A3_seedflip,0xA70F_inv6_d4,prefix,4,8,28,0.950,16,0.000000,0.750000,0.750000,0.750000,"",""
A3_seedflip,0xA70F_inv7_d3,prefix,3,8,28,0.950,100,0.000000,0.669643,0.750000,0.816964,"",""
A3_seedflip,0xA70F_inv7_d4,prefix,4,8,28,0.950,16,0.000000,0.678571,0.763393,0.803571,"",""
A3_seedflip,0xA70F_inv8_d3,prefix,3,8,28,0.950,100,0.000000,0.468750,0.531250,0.602679,"",""
A3_seedflip,0xA70F_inv8_d4,prefix,4,8,28,0.950,16,0.000000,0.486607,0.535714,0.589286,"",""
A3_seedflip,0xA70F_inv9_d3,prefix,3,8,28,0.950,100,0.000000,0.339286,0.366071,0.415179,"",""
A3_seedflip,0xA70F_inv9_d4,prefix,4,8,28,0.950,16,0.000000,0.375000,0.383929,0.406250,"",""
A3_seedflip,0x5EED2_inv0_d3,prefix,3,8,28,0.950,100,0.000000,0.383929,0.468750,0.540179,"",""
A3_seedflip,0x5EED2_inv0_d4,prefix,4,8,28,0.950,16,0.000000,0.437500,0.495536,0.549107,"",""
A3_seedflip,0x5EED2_inv1_d3,prefix,3,8,28,0.950,100,0.000000,0.308036,0.339286,0.397321,"",""
A3_seedflip,0x5EED2_inv1_d4,prefix,4,8,28,0.950,16,0.000000,0.352679,0.361607,0.379464,"",""
A3_seedflip,0x5EED2_inv2_d3,prefix,3,8,28,0.950,100,0.000000,0.620536,0.656250,0.691964,"",""
A3_seedflip,0x5EED2_inv2_d4,prefix,4,8,28,0.950,16,0.000000,0.629464,0.656250,0.687500,"",""
A3_seedflip,0x5EED2_inv3_d3,prefix,3,8,28,0.950,100,0.000000,0.316964,0.352679,0.437500,"",""
A3_seedflip,0x5EED2_inv3_d4,prefix,4,8,28,0.950,16,0.000000,0.339286,0.370536,0.388393,"",""
A3_seedflip,0x5EED2_inv4_d3,prefix,3,8,28,0.950,100,0.000000,0.308036,0.330357,0.401786,"",""
A3_seedflip,0x5EED2_inv4_d4,prefix,4,8,28,0.950,16,0.000000,0.334821,0.392857,0.473214,"",""
