iter,candidate_fit,best_fit,accepted,len
0,-8690.6855,26.8183,0,11
1,-8710.8771,-0.4548,0,11
2,-13.3369,-13.3369,0,10
3,-9.6752,15.9602,0,11
4,22.5067,38.5889,0,10
5,10.9223,39.0155,0,10
6,-10801.6500,32.5235,0,11
7,12.3499,12.3499,0,12
8,-8940.8875,37.3341,0,11
9,3.8651,3.8651,0,11
10,35.3734,35.3734,0,10
11,17.1936,17.1936,0,11
12,6.9263,6.9263,0,10
13,-10763.9500,23.4971,0,10
14,7.4117,29.4326,0,11
15,15.9490,2.9034,1,11
16,32.5276,32.5276,0,10
17,-10774.1500,15.6179,0,10
18,12.5101,12.5101,0,10
19,4.8269,40.5840,0,11
20,18.7112,18.7112,0,11
21,15.3868,15.3868,0,12
22,-8697.6884,14.0281,0,10
23,-6501.5581,31.9756,0,11
24,37.3708,37.3708,0,12
25,12.1676,12.1676,0,11
26,16.7252,9.4766,1,11
27,18.5285,40.6864,0,11
28,38.6217,38.6217,0,11
29,-10763.7500,32.4883,0,11
30,-10847.2500,-5.2843,0,10
31,14.0373,14.0373,0,11
32,-1.7864,22.4428,0,12
33,42.6920,24.2649,1,12
34,-0.9106,20.4656,0,12
35,12.5602,12.5602,0,11
36,17.5870,13.5861,1,12
37,-8740.5923,9.4956,0,12
38,15.0823,15.0823,0,12
39,5.5167,5.5167,0,11
40,13.1435,13.1435,0,13
41,6.2554,8.7353,0,11
42,2.5633,-8.5000,1,12
43,0.8396,30.1559,0,12
44,18.4784,-0.9472,1,12
45,-10749.9500,-10.9565,0,12
46,18.4833,18.4833,0,12
47,3.6886,-0.9363,1,12
48,34.3036,0.6587,1,12
49,14.6160,14.6160,0,12
50,-8763.2319,-2.7526,0,12
51,25.6486,-6.1680,1,12
52,-8708.8471,-3.6077,0,12
53,-11.2626,-11.2626,0,11
54,11.2919,11.2919,0,11
55,-3.9379,-3.9379,0,12
56,-8675.4471,4.8547,0,12
57,-4.2940,-4.2940,0,11
58,18.3016,18.3016,0,11
59,-14.9302,-15.7794,1,12
