iter,candidate_fit,best_fit,accepted,len
0,36.6270,36.6270,0,13
1,26.1881,35.1995,0,13
2,-6529.4061,45.2089,0,13
3,38.1658,38.1658,0,13
4,47.3984,30.1871,1,14
5,47.5795,43.5386,1,14
6,43.1647,45.2889,0,15
7,45.4090,47.4246,0,15
8,44.2677,46.5494,0,14
9,31.2896,31.2896,0,14
10,35.7362,44.3294,0,14
11,-14.1474,42.6276,0,13
12,47.2267,47.4526,0,14
13,42.1226,47.5135,0,14
14,44.8605,44.8605,0,14
15,47.5788,43.3699,1,14
16,46.6866,47.4795,0,14
17,47.1036,47.4480,0,14
18,47.5498,47.5498,0,15
19,47.6973,47.7515,0,13
20,32.5572,30.6086,1,14
21,38.1715,13.1805,1,14
22,-16.0926,-16.0926,0,14
23,45.9529,45.9529,0,15
24,46.9459,43.2017,1,14
25,32.1470,37.2370,0,14
26,8.6850,-9.3373,1,15
27,20.9607,27.3398,0,14
28,37.6791,47.6809,0,14
29,3.6849,3.6849,0,16
30,44.3969,34.9230,1,15
31,11.2458,27.3845,0,15
32,36.1886,36.1886,0,16
33,44.1677,36.2559,1,15
34,15.4125,15.4125,0,14
35,21.3418,21.3418,0,16
36,-8.8977,-8.8977,0,14
37,30.7737,-4.0459,1,14
38,36.8617,36.8617,0,14
39,31.8848,31.8848,0,13
40,30.0662,-2115.7235,1,14
41,39.2206,34.4163,1,14
42,-2117.2762,44.2495,0,14
43,46.0287,39.9631,1,14
44,-8697.1306,47.4656,0,13
45,47.2678,47.2678,0,14
46,6.2791,6.2791,0,14
47,18.5278,18.5278,0,14
48,28.4100,28.4100,0,15
49,28.3242,28.3242,0,14
50,19.3159,19.3159,0,15
51,21.6745,21.6745,0,14
52,26.2035,26.2035,0,14
53,-10763.4500,26.3720,0,14
54,-6570.2809,-20.7864,0,13
55,29.9960,29.9960,0,14
56,35.2833,35.2833,0,14
57,4.2943,4.2943,0,15
58,-8722.4769,19.8230,0,14
59,34.4479,-27.2000,1,14
60,11.6943,43.9785,0,14
61,-8607.2311,43.5749,0,13
62,-6.9394,46.5193,0,14
63,12.4228,34.1043,0,14
64,-10815.6500,45.2731,0,15
65,9.0494,47.1693,0,14
66,-10785.5500,14.1724,0,15
67,33.3564,46.8850,0,14
68,-8661.0363,-2116.3548,0,14
69,28.9851,28.9851,0,15
70,43.7064,43.9544,0,14
71,-8665.8648,26.6030,0,14
72,-45.4361,38.2135,0,14
73,-38.9582,14.6787,0,14
74,34.7466,34.7466,0,14
75,7.0368,7.0368,0,14
76,-10802.4500,4.7299,0,13
77,15.8379,15.8379,0,14
78,41.8305,38.0064,1,13
79,36.9309,46.7954,0,13
80,44.8386,28.0834,1,13
81,23.1001,23.1001,0,12
82,46.5527,46.5527,0,12
83,10.3083,18.5465,0,14
84,13.4335,13.4335,0,14
85,-6.9237,30.0335,0,13
86,19.3856,29.2339,0,13
87,-10827.3500,41.8298,0,13
88,-34.5764,7.8161,0,12
89,44.1895,44.1895,0,13
90,33.3418,33.7194,0,12
91,21.2822,31.4624,0,12
92,-11.1939,-11.1939,0,13
93,28.1702,24.3290,1,13
94,31.2463,31.2463,0,13
95,39.3066,39.3066,0,14
96,18.5411,38.4963,0,14
97,46.2830,46.2830,0,13
98,14.4627,14.4627,0,14
99,45.2233,-2115.4576,1,13
100,17.3841,17.3841,0,13
101,41.0358,39.7848,1,13
102,31.8464,31.8464,0,14
103,2.9259,0.2919,1,14
104,45.1352,28.7400,1,13
105,-9157.4439,40.4446,0,13
106,42.2418,42.2418,0,12
107,37.3392,41.0017,0,13
108,16.5239,10.9026,1,13
109,-8698.8778,34.9707,0,12
110,46.5244,46.5244,0,14
111,-2142.9672,29.3697,0,12
112,14.6304,14.6304,0,12
113,-0.6952,-0.6952,0,12
114,42.7020,42.7020,0,14
115,-8699.0823,9.4973,0,13
116,34.2720,44.3041,0,13
117,18.4545,18.4545,0,13
118,-20.8580,10.5036,0,13
119,-19.3833,-19.3833,0,13
120,-22.0669,-22.0669,0,13
121,47.1712,47.1712,0,13
122,46.8003,33.8319,1,13
123,-4.5581,-4.5581,0,14
124,40.0090,-3.1552,1,13
125,36.6975,36.6975,0,13
126,13.9248,47.2011,0,12
127,24.3514,24.3514,0,12
128,26.6750,26.6750,0,12
129,11.6835,12.5185,0,14
130,29.0410,37.1751,0,13
131,28.1488,-2134.4257,1,13
132,-10804.7500,33.8692,0,13
133,37.5116,26.6229,1,13
134,8.7747,8.7747,0,13
135,-2142.8946,-22.5500,0,13
136,-22.5543,15.9775,0,12
137,-2.7032,28.7022,0,13
138,-67.2164,-67.2164,0,12
139,4.1412,4.1412,0,13
140,-20.1433,2.8116,0,13
141,-54.4851,-54.4851,0,14
142,10.1668,10.1668,0,13
143,7.2404,29.4215,0,13
144,20.2861,20.2861,0,14
145,-2157.4044,-2157.4044,0,13
146,-10804.3500,11.7404,0,13
147,-2188.6112,-2188.6112,0,13
148,-10808.4500,28.7457,0,13
149,29.9117,36.3376,0,13
150,24.9870,24.9870,0,13
151,-8620.6559,7.4493,0,12
152,42.0781,42.0781,0,12
153,45.2877,-38.5230,1,13
154,41.7028,41.7172,0,14
155,39.7660,39.7660,0,14
156,43.6938,43.6938,0,14
157,42.3324,42.3324,0,13
158,44.3758,43.8956,1,13
159,-2105.2851,-2105.2851,0,13
160,36.1538,16.0554,1,13
161,0.8088,0.8088,0,13
162,35.7449,35.7449,0,13
163,33.2755,6.8906,1,13
164,40.4817,37.1933,1,13
165,3.2303,3.2303,0,13
166,42.5595,12.0264,1,13
167,44.5133,36.4301,1,14
168,29.3574,19.9682,1,14
169,-2110.1153,-2110.1153,0,14
170,-2142.9949,44.7766,0,14
171,-8746.9334,40.3621,0,14
172,44.2366,22.6471,1,14
173,-2117.1969,-2117.1969,0,14
174,45.8330,-28.8023,1,13
175,40.4356,34.2551,1,13
176,20.6498,20.6498,0,12
177,-10820.8500,-34.5775,0,13
178,37.6080,37.6080,0,12
179,28.3601,28.3601,0,14
180,46.8827,44.1758,1,13
181,41.5313,-31.6875,1,13
182,27.4289,17.7340,1,13
183,46.5512,46.5512,0,13
184,-14.0771,26.1452,0,13
185,-23.9097,-23.9097,0,12
186,39.6596,25.3225,1,13
187,-8708.0547,47.0439,0,12
188,19.1557,11.3541,1,13
189,32.6679,21.1412,1,14
190,32.1326,32.1326,0,13
191,43.3762,45.1530,0,14
192,-2105.1592,37.8903,0,15
193,34.1464,34.1464,0,13
194,39.8831,39.8831,0,13
195,38.6347,35.2130,1,14
196,35.3000,22.6489,1,15
197,44.0445,-2132.0228,1,16
198,-0.6497,41.0026,0,16
199,38.1941,23.3235,1,15
200,33.6080,33.6080,0,15
201,19.4442,34.5389,0,15
202,15.0590,15.0590,0,15
203,35.9473,6.1645,1,15
204,15.4474,25.0181,0,15
205,20.4485,20.4485,0,14
206,-8703.5253,36.2258,0,15
207,-2126.7374,17.3279,0,15
208,-12.1491,45.8013,0,14
209,1.5367,38.4739,0,16
210,-15.1554,29.7946,0,15
211,22.9335,-6.8507,1,15
212,39.3784,-2109.0293,1,14
213,-8671.3471,33.0914,0,14
214,22.6044,-9.6663,1,14
215,39.2395,39.2873,0,14
216,22.6421,36.1016,0,13
217,36.7677,-4.0493,1,14
218,47.6138,15.5432,1,14
219,11.2482,9.4521,1,14
220,3.5867,32.0788,0,14
221,3.9418,3.9418,0,14
222,31.6711,31.6711,0,14
223,44.6829,44.6829,0,13
224,39.9044,46.9808,0,14
225,-2.9724,-2.9724,0,13
226,-16.5184,-25.2031,1,14
227,19.5207,-0.8241,1,13
228,29.5754,40.3548,0,13
229,34.5039,34.5039,0,13
230,14.5622,14.5622,0,12
231,34.6831,34.6831,0,14
232,-4.2102,38.0214,0,13
233,-8.2822,-7.4166,0,12
234,38.7204,27.5504,1,13
235,-6577.5718,37.6586,0,13
236,46.4787,46.4787,0,13
237,35.2138,35.2138,0,14
238,8.6358,11.2769,0,13
239,38.3423,10.3102,1,13
240,37.4230,46.9752,0,12
241,18.4286,26.4584,0,13
242,37.5447,14.3861,1,13
243,45.5727,45.5727,0,14
244,6.9671,6.9671,0,12
245,-2118.9075,-2118.9075,0,14
246,47.2687,47.2687,0,14
247,28.8410,38.7606,0,13
248,33.9735,-4.5890,1,13
249,36.7006,36.7006,0,12
250,-6754.4299,22.2728,0,14
251,-6582.1566,25.1123,0,13
252,31.3890,46.9925,0,12
253,5.2437,38.6464,0,13
254,21.7811,21.7811,0,14
255,41.1807,-13.9452,1,12
256,22.8129,21.7584,1,12
257,17.5069,17.5069,0,13
258,39.6497,39.6497,0,11
259,14.6856,31.6276,0,11
260,2.8505,2.8505,0,13
261,36.1577,33.6200,1,13
262,32.7339,32.7339,0,13
263,-10782.9500,-42.6356,0,13
264,34.7688,35.7270,0,13
265,-5.1621,-2156.5027,1,13
266,-10818.7500,-2136.9869,0,12
267,34.8612,34.8612,0,13
268,32.2091,38.7511,0,13
269,-10816.5500,12.9769,0,13
270,37.4585,37.4585,0,14
271,-1000000.0000,42.6845,0,13
272,46.4799,21.0650,1,13
273,20.3883,-44.3828,1,13
274,16.6777,13.0480,1,13
275,-1000000.0000,4.3906,0,13
276,4.7428,4.7428,0,12
277,17.6260,26.9963,0,13
278,-10778.6500,14.9264,0,13
279,9.2717,14.3410,0,14
280,-6619.7375,-5.0678,0,12
281,14.8587,14.8587,0,13
282,-5.0898,-5.0898,0,14
283,-4495.6636,8.8518,0,13
284,-8629.1983,9.3833,0,13
285,11.7316,21.4677,0,12
286,8.2015,-3.6071,1,13
287,0.2170,-2.6958,1,14
288,7.6589,18.5220,0,14
289,22.1209,22.1209,0,15
290,20.4394,29.3697,0,14
291,24.9327,34.4604,0,15
292,15.4177,15.4177,0,14
293,13.4280,13.4280,0,13
294,18.8025,18.8025,0,14
295,-9.6835,28.8020,0,14
296,-2830.8062,19.2968,0,14
297,26.9515,40.2356,0,14
298,16.5322,16.7814,0,14
299,6.5274,6.5274,0,13
