meta-engine outer search: outer_iters=300 inner_steps=400 eval_seeds=5 seed=0x44444444DDDDDDDD
init pool=32: fitness=17.5724 anchor=22.4211 used=5
  iter 0: cand=-4921.158 best(epoch)=27.125 rejected
  iter 25: cand=20.151 best(epoch)=20.151 rejected
  iter 36: cand=29.016 best(epoch)=27.434 ACCEPTED+ANCHOR
  iter 50: cand=44.700 best(epoch)=32.608 ACCEPTED
  iter 53: cand=41.428 best(epoch)=39.138 ACCEPTED
  iter 66: cand=46.407 best(epoch)=37.807 ACCEPTED
  iter 67: cand=46.665 best(epoch)=32.956 ACCEPTED
  iter 72: cand=45.733 best(epoch)=36.201 ACCEPTED
  iter 75: cand=19.671 best(epoch)=35.278 rejected
  iter 78: cand=40.987 best(epoch)=33.432 ACCEPTED
  iter 85: cand=47.002 best(epoch)=43.434 ACCEPTED
  iter 94: cand=47.463 best(epoch)=30.846 ACCEPTED
  iter 100: cand=-2.852 best(epoch)=16.078 rejected
  iter 111: cand=24.074 best(epoch)=22.116 ACCEPTED
  iter 112: cand=16.877 best(epoch)=13.222 ACCEPTED
  iter 121: cand=16.065 best(epoch)=10.822 ACCEPTED
  iter 125: cand=-6753.972 best(epoch)=11.500 rejected
  iter 126: cand=24.063 best(epoch)=22.209 ACCEPTED
  iter 127: cand=31.616 best(epoch)=22.712 ACCEPTED
  iter 133: cand=15.883 best(epoch)=12.095 ACCEPTED
  iter 138: cand=25.245 best(epoch)=20.589 ACCEPTED
  iter 143: cand=22.468 best(epoch)=8.308 ACCEPTED
  iter 144: cand=25.761 best(epoch)=-0.277 ACCEPTED
  iter 150: cand=13.823 best(epoch)=13.823 rejected
  iter 158: cand=38.466 best(epoch)=5.168 ACCEPTED
  iter 160: cand=33.897 best(epoch)=-2120.159 ACCEPTED
  iter 163: cand=35.519 best(epoch)=21.066 ACCEPTED
  iter 170: cand=28.465 best(epoch)=4.910 ACCEPTED
  iter 172: cand=47.554 best(epoch)=46.815 ACCEPTED
  iter 173: cand=30.832 best(epoch)=16.777 ACCEPTED
  iter 175: cand=-10845.450 best(epoch)=-11.468 rejected
  iter 180: cand=32.195 best(epoch)=16.085 ACCEPTED
  iter 183: cand=45.775 best(epoch)=36.985 ACCEPTED
  iter 185: cand=22.719 best(epoch)=21.930 ACCEPTED
  iter 191: cand=38.013 best(epoch)=22.043 ACCEPTED
  iter 192: cand=36.742 best(epoch)=-22.899 ACCEPTED
  iter 193: cand=33.263 best(epoch)=25.656 ACCEPTED
  iter 194: cand=32.350 best(epoch)=32.167 ACCEPTED
  iter 200: cand=23.613 best(epoch)=23.613 rejected
  iter 202: cand=25.854 best(epoch)=13.262 ACCEPTED
  iter 206: cand=23.835 best(epoch)=8.553 ACCEPTED
  iter 216: cand=19.688 best(epoch)=-28.375 ACCEPTED
  iter 225: cand=31.724 best(epoch)=31.724 rejected
  iter 230: cand=5.500 best(epoch)=-9.124 ACCEPTED
  iter 235: cand=36.983 best(epoch)=21.600 ACCEPTED
  iter 238: cand=41.544 best(epoch)=40.001 ACCEPTED
  iter 249: cand=39.056 best(epoch)=37.467 ACCEPTED
  iter 250: cand=-0.919 best(epoch)=-0.919 rejected
  iter 254: cand=38.780 best(epoch)=21.613 ACCEPTED
  iter 257: cand=37.105 best(epoch)=-2170.519 ACCEPTED
  iter 263: cand=18.485 best(epoch)=16.908 ACCEPTED
  iter 264: cand=40.726 best(epoch)=24.608 ACCEPTED
  iter 272: cand=46.502 best(epoch)=45.846 ACCEPTED
  iter 275: cand=47.314 best(epoch)=-0.655 ACCEPTED+ANCHOR
  iter 282: cand=28.520 best(epoch)=21.108 ACCEPTED
  iter 288: cand=45.810 best(epoch)=-15.440 ACCEPTED
  iter 289: cand=41.447 best(epoch)=-3.314 ACCEPTED

rejected_by_holdout=0 rejected_by_catastrophe=0

final: best_fit=41.4466 accepted=47/300 best_ever_anchor=44.6270

best meta-program (anchor-protected, 10 ops):
  [0] MUTATE_BEST_TO_CUR dst=r3 src1=r3 src2=r1
  [1] EVAL_CUR dst=r0 src1=r0 src2=r2
  [2] REG_XOR dst=r1 src1=r0 src2=r1
  [3] NOP dst=r3 src1=r1 src2=r0
  [4] ACCEPT_IF_BETTER dst=r0 src1=r3 src2=r3
  [5] MUTATE_BEST_TO_CUR dst=r2 src1=r2 src2=r1
  [6] REG_SHR dst=r1 src1=r2 src2=r0
  [7] REG_XOR dst=r2 src1=r1 src2=r0
  [8] EVAL_CUR dst=r3 src1=r1 src2=r2
  [9] ACCEPT_SA dst=r2 src1=r1 src2=r1

VALIDATION on 20 held-out seeds: mean=43.5313 min=10.9248 max=47.9605
wrote results/meta_engine_repro/r3/outer_log.csv and results/meta_engine_repro/r3/best_meta.csv
