iter,candidate_fit,best_fit,accepted,len
0,155.2938,155.2938,0,9
1,-1000000.0000,153.5563,0,8
2,175.6000,175.6000,0,8
3,-1000000.0000,157.7875,0,9
4,-1000000.0000,170.4688,0,9
5,177.4000,159.4875,1,10
6,143.8000,143.8000,0,11
7,165.9125,157.1063,1,9
8,-23.8438,151.7625,0,8
9,175.7750,175.9375,0,9
10,-19.8750,171.1938,0,9
11,149.8375,177.1000,0,9
12,171.2250,163.2063,1,8
13,-1000000.0000,170.3375,0,8
14,164.1250,164.1250,0,8
15,114.2875,114.2875,0,9
16,-22.9188,170.1438,0,8
17,170.7000,170.7000,0,9
18,-17.1188,172.0813,0,8
19,171.3313,171.3313,0,9
20,169.4875,168.7938,1,9
21,-20.4313,174.6313,0,9
22,161.9250,158.6063,1,9
23,-17.3938,172.3625,0,8
24,156.8125,168.5688,0,9
25,-24.3625,153.6750,0,9
26,25.0063,163.3500,0,9
27,166.7500,166.7500,0,8
28,169.3938,173.2875,0,9
29,175.4313,175.4313,0,8
30,173.8938,161.2625,1,9
31,18.5250,175.0000,0,10
32,-1000000.0000,175.5000,0,8
33,156.6625,156.6625,0,8
34,-1000000.0000,170.5000,0,8
35,174.3063,174.3063,0,10
36,166.4250,176.9000,0,10
37,173.1688,173.1688,0,9
38,175.8875,175.8875,0,9
39,173.6313,173.6313,0,9
40,-19.2188,175.1188,0,9
41,175.2938,175.2938,0,8
42,172.6625,176.4438,0,9
43,174.2625,174.2625,0,9
44,-21.0188,175.3750,0,9
45,164.2063,164.2063,0,10
46,-1000000.0000,172.1500,0,9
47,177.5000,177.5000,0,10
48,173.2938,173.2938,0,10
49,176.5000,176.5000,0,9
50,163.7125,163.7125,0,8
51,174.1000,174.1000,0,8
52,176.7000,141.2000,1,8
53,-1000000.0000,165.8188,0,7
54,168.7875,168.7875,0,8
55,176.5000,169.4313,1,8
56,-1000000.0000,176.4000,0,7
57,-25.1250,175.8813,0,8
58,158.8563,137.5875,1,9
59,175.4000,174.7500,1,9
60,167.8438,166.5250,1,9
61,167.5688,175.4875,0,9
62,174.3313,175.5063,0,10
63,174.8000,174.0563,1,10
64,175.6125,176.0750,0,9
65,146.6813,146.0313,1,11
66,-17.5938,171.1125,0,12
67,175.8500,156.8438,1,10
68,174.4250,174.4250,0,11
69,176.0750,153.5938,1,10
70,170.5750,167.6625,1,11
71,161.4938,161.4938,0,12
72,-19.9000,174.2125,0,11
73,158.6813,176.3625,0,11
74,156.7063,156.7063,0,10
75,164.8250,151.1250,1,11
76,151.6438,151.6438,0,11
77,170.7750,170.7750,0,12
78,-23.4688,176.7438,0,11
79,176.7000,150.7063,1,11
80,130.6875,168.9125,0,11
81,-22.8188,162.5750,0,11
82,172.8500,168.0000,1,12
83,175.4875,175.4875,0,13
84,171.3313,171.3313,0,13
85,175.1000,175.1000,0,12
86,156.7250,167.4125,0,13
87,137.0688,169.6563,0,12
88,169.2750,157.2875,1,12
89,175.0000,169.9313,1,13
90,176.6000,176.0000,1,13
91,176.4000,147.3750,1,13
92,176.3875,175.1375,1,12
93,149.3188,150.7000,0,13
94,150.3938,150.3938,0,13
95,-24.6750,166.3250,0,12
96,-18.6875,173.5000,0,12
97,-18.8125,134.0625,0,13
98,170.1563,173.6125,0,12
99,160.5625,177.5000,0,13
100,152.1125,152.1125,0,13
101,171.6375,157.3625,1,12
102,143.7313,143.7313,0,12
103,173.4688,173.4688,0,13
104,171.8438,171.8438,0,11
105,166.6625,166.6625,0,12
106,177.4875,177.4875,0,13
107,177.6000,177.6000,0,11
108,156.0125,156.0125,0,13
109,177.1000,177.1000,0,12
110,-19.1125,174.0563,0,12
111,170.8563,176.9000,0,12
112,174.2438,160.5750,1,12
113,-23.1250,175.7188,0,11
114,-22.4250,173.2813,0,11
115,-15.6500,149.8250,0,12
116,141.1688,141.1688,0,12
117,-20.5500,172.5500,0,11
118,175.9000,156.7375,1,12
119,78.7125,170.3125,0,12
120,160.7188,160.7188,0,13
121,175.4250,175.4250,0,13
122,165.8438,173.9625,0,11
123,172.3500,173.2375,0,12
124,-18.9250,154.8625,0,12
125,127.2625,127.2625,0,13
126,-20.9625,160.7813,0,12
127,154.6125,154.6125,0,12
128,162.7938,147.1563,1,11
129,-17.6375,174.6625,0,10
