meta-engine outer search: outer_iters=300 inner_steps=400 eval_seeds=5 seed=0x66666666FFFFFFFF
init pool=32: fitness=175.5000 anchor=174.9961 used=9
  iter 0: cand=155.294 best(epoch)=155.294 rejected
  iter 5: cand=177.400 best(epoch)=159.488 ACCEPTED
  iter 7: cand=165.913 best(epoch)=157.106 ACCEPTED
  iter 12: cand=171.225 best(epoch)=163.206 ACCEPTED+ANCHOR
  iter 20: cand=169.488 best(epoch)=168.794 ACCEPTED+ANCHOR
  iter 22: cand=161.925 best(epoch)=158.606 ACCEPTED
  iter 25: cand=-24.363 best(epoch)=153.675 rejected
  iter 30: cand=173.894 best(epoch)=161.263 ACCEPTED
  iter 50: cand=163.713 best(epoch)=163.713 rejected
  iter 52: cand=176.700 best(epoch)=141.200 ACCEPTED
  iter 55: cand=176.500 best(epoch)=169.431 ACCEPTED
  iter 58: cand=158.856 best(epoch)=137.588 ACCEPTED
  iter 59: cand=175.400 best(epoch)=174.750 ACCEPTED
  iter 60: cand=167.844 best(epoch)=166.525 ACCEPTED
  iter 63: cand=174.800 best(epoch)=174.056 ACCEPTED
  iter 65: cand=146.681 best(epoch)=146.031 ACCEPTED
  iter 67: cand=175.850 best(epoch)=156.844 ACCEPTED
  iter 69: cand=176.075 best(epoch)=153.594 ACCEPTED
  iter 70: cand=170.575 best(epoch)=167.663 ACCEPTED
  iter 75: cand=164.825 best(epoch)=151.125 ACCEPTED
  iter 79: cand=176.700 best(epoch)=150.706 ACCEPTED
  iter 82: cand=172.850 best(epoch)=168.000 ACCEPTED
  iter 88: cand=169.275 best(epoch)=157.288 ACCEPTED
  iter 89: cand=175.000 best(epoch)=169.931 ACCEPTED
  iter 90: cand=176.600 best(epoch)=176.000 ACCEPTED
  iter 91: cand=176.400 best(epoch)=147.375 ACCEPTED
  iter 92: cand=176.388 best(epoch)=175.138 ACCEPTED
  iter 100: cand=152.113 best(epoch)=152.113 rejected
  iter 101: cand=171.638 best(epoch)=157.363 ACCEPTED
  iter 112: cand=174.244 best(epoch)=160.575 ACCEPTED
  iter 118: cand=175.900 best(epoch)=156.738 ACCEPTED
  iter 125: cand=127.263 best(epoch)=127.263 rejected
  iter 128: cand=162.794 best(epoch)=147.156 ACCEPTED
  iter 130: cand=175.400 best(epoch)=147.406 ACCEPTED
  iter 131: cand=163.206 best(epoch)=160.788 ACCEPTED
  iter 132: cand=172.794 best(epoch)=169.206 ACCEPTED
  iter 141: cand=177.400 best(epoch)=159.606 ACCEPTED
  iter 142: cand=172.969 best(epoch)=157.813 ACCEPTED
  iter 146: cand=175.900 best(epoch)=152.963 ACCEPTED
  iter 149: cand=174.200 best(epoch)=159.038 ACCEPTED
  iter 150: cand=-16.688 best(epoch)=175.388 rejected
  iter 152: cand=177.500 best(epoch)=174.700 ACCEPTED
  iter 155: cand=174.800 best(epoch)=173.100 ACCEPTED
  iter 159: cand=175.600 best(epoch)=175.400 ACCEPTED
  iter 165: cand=174.344 best(epoch)=173.988 ACCEPTED
  iter 168: cand=166.963 best(epoch)=152.994 ACCEPTED
  iter 175: cand=38.713 best(epoch)=167.475 rejected
  iter 182: cand=168.488 best(epoch)=145.688 ACCEPTED
  iter 196: cand=168.688 best(epoch)=165.919 ACCEPTED
  iter 200: cand=-24.713 best(epoch)=170.244 rejected
  iter 206: cand=176.394 best(epoch)=164.363 ACCEPTED
  iter 212: cand=176.500 best(epoch)=160.869 ACCEPTED
  iter 216: cand=174.319 best(epoch)=161.913 ACCEPTED
  iter 219: cand=176.900 best(epoch)=176.500 ACCEPTED
  iter 223: cand=176.700 best(epoch)=166.400 ACCEPTED
  iter 225: cand=162.925 best(epoch)=162.925 rejected
  iter 231: cand=172.938 best(epoch)=167.963 ACCEPTED
  iter 235: cand=174.900 best(epoch)=174.269 ACCEPTED
  iter 247: cand=173.488 best(epoch)=151.819 ACCEPTED
  iter 249: cand=178.219 best(epoch)=176.700 ACCEPTED
  iter 250: cand=176.331 best(epoch)=176.231 ACCEPTED
  iter 253: cand=175.900 best(epoch)=158.256 ACCEPTED
  iter 265: cand=174.800 best(epoch)=167.094 ACCEPTED
  iter 266: cand=176.563 best(epoch)=175.100 ACCEPTED
  iter 270: cand=176.900 best(epoch)=163.475 ACCEPTED
  iter 271: cand=175.831 best(epoch)=175.181 ACCEPTED
  iter 275: cand=139.075 best(epoch)=177.000 rejected
  iter 281: cand=176.294 best(epoch)=158.444 ACCEPTED
  iter 285: cand=176.200 best(epoch)=160.175 ACCEPTED+ANCHOR
  iter 292: cand=175.900 best(epoch)=173.869 ACCEPTED
  iter 295: cand=174.800 best(epoch)=174.688 ACCEPTED
  iter 299: cand=169.431 best(epoch)=155.138 ACCEPTED

rejected_by_holdout=0 rejected_by_catastrophe=0

final: best_fit=169.4313 accepted=62/300 best_ever_anchor=177.3516

best meta-program (anchor-protected, 12 ops):
  [0] MUTATE_CUR dst=r3 src1=r3 src2=r0
  [1] EVAL_CUR dst=r1 src1=r0 src2=r0
  [2] ACCEPT_IF_BETTER dst=r0 src1=r1 src2=r0
  [3] RAND_REG dst=r0 src1=r1 src2=r2
  [4] MUTATE_CUR dst=r3 src1=r0 src2=r3
  [5] TEMP_DECAY dst=r1 src1=r0 src2=r2
  [6] MUTATE_BEST_TO_CUR dst=r1 src1=r3 src2=r1
  [7] EVAL_CUR dst=r2 src1=r0 src2=r1
  [8] RAND_REG dst=r0 src1=r0 src2=r1
  [9] ACCEPT_IF_BETTER dst=r1 src1=r2 src2=r3
  [10] RESET_CUR_TO_BEST dst=r0 src1=r2 src2=r1
  [11] ACCEPT_SA dst=r3 src1=r1 src2=r1

VALIDATION on 20 held-out seeds: mean=176.7594 min=166.6875 max=179.5000
wrote results/meta_engine_sort_repro/r1/outer_log.csv and results/meta_engine_sort_repro/r1/best_meta.csv
