iter,candidate_fit,best_fit,accepted,len
0,0.0000,0.0000,0,9
1,0.0000,0.0000,0,10
2,0.0000,0.0000,0,9
3,0.0000,0.0000,0,9
4,-8650.3269,0.0000,0,9
5,0.0000,0.0000,0,9
6,0.0000,0.0000,0,9
7,0.0000,0.0000,0,10
8,-4494.2146,0.0000,0,9
9,0.0000,0.0000,0,9
10,0.0000,0.0000,0,9
11,0.0000,0.0000,0,9
12,0.0000,0.0000,0,9
13,0.0000,0.0000,0,8
14,44.6489,0.0000,1,9
15,44.4592,44.4592,0,9
16,39.1762,9.6974,1,10
17,-2118.6849,38.6221,0,11
18,24.9649,36.0894,0,10
19,40.5221,40.5221,0,9
20,-7.7364,-7.7364,0,10
21,8.8893,8.7952,1,11
22,18.9454,18.9454,0,11
23,24.8391,6.2455,1,11
24,41.3131,9.5026,1,11
25,40.0949,40.0949,0,12
26,32.4905,32.4905,0,12
27,38.0153,45.7415,0,11
28,24.3383,9.2703,1,12
29,36.7931,32.3737,1,12
30,15.7269,15.7269,0,12
31,14.2123,41.1020,0,12
32,-2113.5016,0.4173,0,12
33,-8736.3014,25.3612,0,12
34,36.4153,36.4153,0,13
35,32.1979,41.3723,0,12
36,36.6491,-22.9210,1,12
37,12.8053,40.2955,0,12
38,17.3182,-10.4285,1,11
39,11.2448,11.2448,0,11
40,47.2684,47.2684,0,11
41,35.6666,44.1035,0,11
42,33.3443,22.5460,1,11
43,23.0218,19.1501,1,11
44,37.4341,28.1399,1,11
45,13.4251,43.0339,0,11
46,-6513.0100,25.9231,0,11
47,34.2241,34.2241,0,11
48,28.1769,27.7297,1,11
49,19.7359,47.1353,0,11
50,-8682.7408,-3.3442,0,11
51,-10818.3500,34.3546,0,11
52,-10771.9500,27.3255,0,11
53,-13.4819,-13.4819,0,12
54,11.1786,-26.1093,1,11
55,7.6550,7.6550,0,10
56,8.7145,1.3728,1,11
57,-14.4333,-14.4333,0,11
58,-0.0627,9.8372,0,11
59,19.5662,19.5662,0,12
60,7.7770,-1.9540,1,11
61,33.2218,35.5749,0,11
62,-8666.9672,42.5938,0,11
63,-8674.3310,3.7303,0,11
64,42.9067,27.1834,1,11
65,43.5332,43.5332,0,11
66,9.9847,36.5489,0,10
67,12.0690,12.0690,0,10
68,35.8227,35.8227,0,11
69,45.4416,22.7526,1,11
70,39.5376,27.1035,1,11
71,32.0684,-2167.5594,1,11
72,28.8856,33.8586,0,11
73,31.2841,46.9343,0,10
74,41.1591,41.1591,0,10
75,-15.7323,29.6423,0,11
76,47.2608,47.2608,0,11
77,28.6202,28.6202,0,12
78,38.8555,38.8555,0,12
79,5.5231,38.0670,0,11
80,17.4370,32.1633,0,11
81,-8639.5499,42.8139,0,10
82,25.9831,-25.9742,1,11
83,37.3314,19.7949,1,11
84,36.2314,36.2314,0,11
85,-10785.7500,-2138.9669,0,11
86,17.4556,17.4556,0,11
87,38.5006,38.5006,0,11
88,36.8494,36.8494,0,12
89,19.1789,19.1789,0,12
90,41.8689,41.8689,0,10
91,46.0939,46.0939,0,10
92,-8932.5388,27.6040,0,12
93,42.5010,47.3982,0,12
94,22.7900,4.9353,1,10
95,47.3247,37.0564,1,10
96,0.0000,38.0465,0,10
97,19.0524,19.0524,0,10
98,30.1592,19.2406,1,10
99,45.3468,45.3468,0,10
100,37.3856,9.3381,1,10
101,-6734.6600,36.1466,0,11
102,33.0900,33.0900,0,10
103,21.4089,21.4089,0,11
104,0.0000,47.1849,0,10
105,7.8748,-33.0765,1,9
106,0.0000,36.4195,0,8
107,36.9269,36.9269,0,8
108,26.5000,-21.4991,1,9
109,-2133.1099,35.2756,0,9
110,21.8895,-2109.5217,1,9
111,34.2622,34.2622,0,9
112,0.0000,31.8053,0,9
113,3.0891,38.0826,0,9
114,0.0000,45.5887,0,9
115,40.3612,9.7961,1,9
116,34.5676,34.5676,0,8
117,0.0000,37.2259,0,8
118,42.8467,34.5117,1,9
119,-47.1886,41.3233,0,8
120,0.0000,33.6550,0,9
121,36.3102,36.3102,0,8
122,0.0000,25.2293,0,9
123,-10738.8500,40.6220,0,9
124,28.5096,28.5096,0,10
125,0.0000,11.7755,0,9
126,11.2835,30.4590,0,9
127,12.4463,12.4463,0,9
128,-8715.1238,45.0687,0,9
129,0.0000,38.7120,0,9
130,15.7024,39.0669,0,9
131,-8705.3992,37.6131,0,9
132,0.0000,34.9914,0,9
133,41.5491,41.5491,0,9
134,24.4646,-12.3891,1,8
135,22.5082,38.1129,0,8
136,12.2985,12.2985,0,9
137,0.0000,41.9745,0,8
138,36.0906,21.2784,1,9
139,-6735.4801,13.0763,0,9
140,-2115.6396,-2115.6396,0,9
141,14.9955,14.9955,0,10
142,35.5116,39.9631,0,10
143,35.9632,32.3982,1,9
144,11.2525,46.0102,0,9
145,18.8736,18.8736,0,8
146,-10811.5500,40.3237,0,9
147,46.9282,-38.6856,1,9
148,22.0997,5.6457,1,8
149,19.5778,19.5778,0,9
150,3.2929,3.2929,0,9
151,0.0000,43.9920,0,8
152,-2.8774,-2.8774,0,9
153,41.6200,-2105.7894,1,8
154,-8702.2123,-7.6070,0,8
155,-1.4833,-1.4833,0,8
156,39.7523,39.7523,0,8
157,-70.1263,-70.1263,0,7
158,45.5443,-14.8643,1,8
159,38.0565,38.0565,0,8
160,-11.0263,-11.0263,0,8
