trial,engine,mode,best_min_dist,nearest,closure,mean_dist,max_dist,past_envelope,score
0,prototype_lock,prototype_lock,293,CODE,21591002,300.1000,319,1,3520.872328
1,prototype_lock,prototype_lock,293,CODE,22241921,300.1000,319,1,3520.854506
2,prototype_lock,prototype_lock,293,CODE,21196889,300.1000,319,1,3520.883381
3,prototype_lock,prototype_lock,293,CODE,22900044,300.1000,319,1,3520.837010
4,prototype_lock,prototype_lock,293,CODE,21650069,300.1000,319,1,3520.870688
5,prototype_lock,prototype_lock,293,CODE,20834068,300.1000,319,1,3520.893740
6,prototype_lock,prototype_lock,293,CODE,21648654,300.1000,319,1,3520.870728
7,prototype_lock,prototype_lock,293,CODE,21241353,300.1000,319,1,3520.882124
8,prototype_lock,prototype_lock,293,CODE,21917077,300.1000,319,1,3520.863334
9,prototype_lock,prototype_lock,293,CODE,22209515,300.1000,319,1,3520.855381
10,prototype_lock,prototype_lock,293,CODE,21937454,300.1000,319,1,3520.862776
11,prototype_lock,prototype_lock,293,CODE,21590239,300.1000,319,1,3520.872349
12,prototype_lock,prototype_lock,293,CODE,20448584,300.1000,319,1,3520.904945
13,prototype_lock,prototype_lock,293,CODE,22367165,300.1000,319,1,3520.851137
14,prototype_lock,prototype_lock,293,CODE,23455573,300.1000,319,1,3520.822629
15,prototype_lock,prototype_lock,293,CODE,23220103,300.1000,319,1,3520.828683
16,prototype_lock,prototype_lock,293,CODE,21001663,300.1000,319,1,3520.888933
17,prototype_lock,prototype_lock,293,CODE,22963601,300.1000,319,1,3520.835347
18,prototype_lock,prototype_lock,293,CODE,21105911,300.1000,319,1,3520.885962
19,prototype_lock,prototype_lock,293,CODE,21193686,300.1000,319,1,3520.883472
20,prototype_lock,prototype_lock,293,CODE,22308631,300.1000,319,1,3520.852709
21,prototype_lock,prototype_lock,293,CODE,21192180,300.1000,319,1,3520.883514
22,prototype_lock,prototype_lock,293,CODE,21119390,300.1000,319,1,3520.885579
23,prototype_lock,prototype_lock,293,CODE,21689962,300.1000,319,1,3520.869584
