artifact,battery,policy,stage,virtual_epochs,heldout_material,heldout_correct_x4096,charged_contacts,forged_instruments,revised_records,generated_world_visits,component_events,verdict
round_ar,AR3,earned_forge,checkpoint,192,20110,2011,18432,4608,2220,18432,663552,curve
round_ar,AR3,earned_forge,checkpoint,384,20160,2016,36864,9216,4500,36864,1327104,curve
round_ar,AR3,earned_forge,checkpoint,576,20480,2048,55296,13824,6768,55296,1990656,curve
round_ar,AR3,earned_forge,checkpoint,768,20690,2069,73728,18432,9061,73728,2654208,curve
round_ar,AR3,earned_forge,checkpoint,960,20060,2006,92160,23040,11355,92160,3317760,curve
round_ar,AR3,earned_forge,checkpoint,1152,20170,2017,110592,27648,13639,110592,3981312,curve
round_ar,AR3,earned_forge,checkpoint,1344,20920,2092,129024,32256,15980,129024,4644864,curve
round_ar,AR3,earned_forge,checkpoint,1536,20670,2067,147456,36864,18280,147456,5308416,curve
round_ar,AR3,earned_forge,checkpoint,1728,20510,2051,165888,41472,20548,165888,5971968,curve
round_ar,AR3,earned_forge,checkpoint,1920,20620,2062,184320,46080,22843,184320,6635520,curve
round_ar,AR3,earned_forge,checkpoint,2112,20130,2013,202752,50688,25171,202752,7299072,curve
round_ar,AR3,earned_forge,checkpoint,2304,20810,2081,221184,55296,27469,221184,7962624,curve
round_ar,AR3,earned_forge,checkpoint,2496,20200,2020,239616,59904,29760,239616,8626176,curve
round_ar,AR3,earned_forge,checkpoint,2688,20310,2031,258048,64512,32121,258048,9289728,curve
round_ar,AR3,earned_forge,checkpoint,2880,20260,2026,276480,69120,34423,276480,9953280,curve
round_ar,AR3,earned_forge,checkpoint,3072,20200,2020,294912,73728,36743,294912,10616832,curve
round_ar,AR3,earned_forge,checkpoint,3264,20770,2077,313344,78336,39044,313344,11280384,curve
round_ar,AR3,earned_forge,checkpoint,3456,20970,2097,331776,82944,41405,331776,11943936,curve
round_ar,AR3,earned_forge,checkpoint,3648,20700,2070,350208,87552,43762,350208,12607488,curve
