iter,accepted,best_updated,anchor_mean,holdout_mean,current_holdout,best_holdout
0,true,true,47.257446,46.858301,46.858301,46.858301
1,false,false,45.558228,42.873938,46.858301,46.858301
2,false,false,47.257446,46.858301,46.858301,46.858301
3,false,false,45.558228,42.873938,46.858301,46.858301
4,false,false,47.358765,34.130564,46.858301,46.858301
5,false,false,47.257446,46.858301,46.858301,46.858301
6,false,false,47.455078,38.285996,46.858301,46.858301
7,false,false,47.591064,19.651733,46.858301,46.858301
8,false,false,47.513672,39.575112,46.858301,46.858301
9,false,false,47.257446,46.858301,46.858301,46.858301
10,false,false,47.580078,38.285996,46.858301,46.858301
11,false,false,47.257446,46.858301,46.858301,46.858301
12,false,false,47.492310,29.129641,46.858301,46.858301
13,false,false,47.354023,42.873938,46.858301,46.858301
14,false,false,47.257446,46.858301,46.858301,46.858301
15,false,false,47.455078,38.285996,46.858301,46.858301
16,false,false,47.480103,38.529922,46.858301,46.858301
17,false,false,47.580078,22.031025,46.858301,46.858301
18,false,false,47.257446,46.858301,46.858301,46.858301
19,false,false,47.257446,46.858301,46.858301,46.858301
20,false,false,47.513672,39.575112,46.858301,46.858301
21,false,false,47.471157,32.935137,46.858301,46.858301
22,false,false,47.545288,39.575112,46.858301,46.858301
23,false,false,47.545288,39.575112,46.858301,46.858301
24,false,false,47.379395,38.529922,46.858301,46.858301
25,false,false,47.379395,38.529922,46.858301,46.858301
26,false,false,47.580078,22.031025,46.858301,46.858301
27,false,false,47.397827,34.130564,46.858301,46.858301
28,false,false,47.412456,42.873938,46.858301,46.858301
29,false,false,47.330078,39.156509,46.858301,46.858301
30,false,false,47.257446,46.858301,46.858301,46.858301
31,false,false,47.397827,34.130564,46.858301,46.858301
32,false,false,47.397827,34.130564,46.858301,46.858301
33,false,false,47.330078,39.156509,46.858301,46.858301
34,false,false,47.513672,39.575112,46.858301,46.858301
35,false,false,47.257446,46.858301,46.858301,46.858301
36,false,false,47.257446,46.858301,46.858301,46.858301
37,false,false,47.330078,39.156509,46.858301,46.858301
