=== MMMP HOLDOUT HILLCLIMB ===
iters=160 seed=0x51515151ABCDEFFF start=results/phaseB_mmm_qd_bootstrap_1111_64/BEST_champion_mmm.csv mmm_outer=6 tier1_outer=8 tier0_inner=120 shaped=true constrained=true constrained_meta=true constrained_mm=true wide_meta=true wide_mm=true restart_every=40
iter 0: anchor=47.2574 holdout=46.8583 BEST
iter 1/160: anchor=45.5582 holdout=42.8739 current=46.8583 best=46.8583 
iter 2/160: anchor=47.2574 holdout=46.8583 current=46.8583 best=46.8583 
iter 3/160: anchor=45.5582 holdout=42.8739 current=46.8583 best=46.8583 
iter 4/160: anchor=47.3588 holdout=34.1306 current=46.8583 best=46.8583 
iter 5/160: anchor=47.2574 holdout=46.8583 current=46.8583 best=46.8583 
iter 6/160: anchor=47.4551 holdout=38.2860 current=46.8583 best=46.8583 
iter 7/160: anchor=47.5911 holdout=19.6517 current=46.8583 best=46.8583 
iter 8/160: anchor=47.5137 holdout=39.5751 current=46.8583 best=46.8583 
iter 9/160: anchor=47.2574 holdout=46.8583 current=46.8583 best=46.8583 
iter 10/160: anchor=47.5801 holdout=38.2860 current=46.8583 best=46.8583 
iter 11/160: anchor=47.2574 holdout=46.8583 current=46.8583 best=46.8583 
iter 12/160: anchor=47.4923 holdout=29.1296 current=46.8583 best=46.8583 
iter 13/160: anchor=47.3540 holdout=42.8739 current=46.8583 best=46.8583 
iter 14/160: anchor=47.2574 holdout=46.8583 current=46.8583 best=46.8583 
iter 15/160: anchor=47.4551 holdout=38.2860 current=46.8583 best=46.8583 
iter 16/160: anchor=47.4801 holdout=38.5299 current=46.8583 best=46.8583 
iter 17/160: anchor=47.5801 holdout=22.0310 current=46.8583 best=46.8583 
iter 18/160: anchor=47.2574 holdout=46.8583 current=46.8583 best=46.8583 
iter 19/160: anchor=47.2574 holdout=46.8583 current=46.8583 best=46.8583 
iter 20/160: anchor=47.5137 holdout=39.5751 current=46.8583 best=46.8583 
iter 21/160: anchor=47.4712 holdout=32.9351 current=46.8583 best=46.8583 
iter 22/160: anchor=47.5453 holdout=39.5751 current=46.8583 best=46.8583 
iter 23/160: anchor=47.5453 holdout=39.5751 current=46.8583 best=46.8583 
iter 24/160: anchor=47.3794 holdout=38.5299 current=46.8583 best=46.8583 
iter 25/160: anchor=47.3794 holdout=38.5299 current=46.8583 best=46.8583 
iter 26/160: anchor=47.5801 holdout=22.0310 current=46.8583 best=46.8583 
iter 27/160: anchor=47.3978 holdout=34.1306 current=46.8583 best=46.8583 
iter 28/160: anchor=47.4125 holdout=42.8739 current=46.8583 best=46.8583 
iter 29/160: anchor=47.3301 holdout=39.1565 current=46.8583 best=46.8583 
iter 30/160: anchor=47.2574 holdout=46.8583 current=46.8583 best=46.8583 
iter 31/160: anchor=47.3978 holdout=34.1306 current=46.8583 best=46.8583 
iter 32/160: anchor=47.3978 holdout=34.1306 current=46.8583 best=46.8583 
iter 33/160: anchor=47.3301 holdout=39.1565 current=46.8583 best=46.8583 
iter 34/160: anchor=47.5137 holdout=39.5751 current=46.8583 best=46.8583 
iter 35/160: anchor=47.2574 holdout=46.8583 current=46.8583 best=46.8583 
iter 36/160: anchor=47.2574 holdout=46.8583 current=46.8583 best=46.8583 
iter 37/160: anchor=47.3301 holdout=39.1565 current=46.8583 best=46.8583 
