=== MMMP HOLDOUT HILLCLIMB ===
iters=100 seed=0xABCDEF0123456789 start=results/phaseB_mmm_qd_bootstrap_ABCD_64/BEST_champion_mmm.csv mmm_outer=6 tier1_outer=8 tier0_inner=150 shaped=true constrained=true constrained_meta=true constrained_mm=true wide_meta=true wide_mm=true restart_every=25
iter 0: anchor=47.4611 holdout=47.2299 BEST
iter 1/100: anchor=47.5911 holdout=42.5146 current=47.2299 best=47.2299 
iter 2/100: anchor=47.5941 holdout=40.5408 current=47.2299 best=47.2299 
iter 3/100: anchor=47.4136 holdout=42.6440 current=47.2299 best=47.2299 
iter 4/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 5/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 6/100: anchor=47.4136 holdout=42.6440 current=47.2299 best=47.2299 
iter 7/100: anchor=47.1056 holdout=11.3852 current=47.2299 best=47.2299 
iter 8/100: anchor=47.6026 holdout=31.8318 current=47.2299 best=47.2299 
iter 9/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 10/100: anchor=47.5386 holdout=42.6440 current=47.2299 best=47.2299 
iter 11/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 12/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 13/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 14/100: anchor=47.5801 holdout=45.9973 current=47.2299 best=47.2299 
iter 15/100: anchor=46.4231 holdout=41.3961 current=47.2299 best=47.2299 
iter 16/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 17/100: anchor=47.4136 holdout=42.6440 current=47.2299 best=47.2299 
iter 18/100: anchor=47.5941 holdout=40.5408 current=47.2299 best=47.2299 
iter 19/100: anchor=47.1056 holdout=11.3852 current=47.2299 best=47.2299 
iter 20/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 21/100: anchor=47.5941 holdout=40.5408 current=47.2299 best=47.2299 
iter 22/100: anchor=47.4838 holdout=34.6731 current=47.2299 best=47.2299 
iter 23/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 24/100: anchor=47.5283 holdout=40.7267 current=47.2299 best=47.2299 
iter 25/100: anchor=47.4575 holdout=40.5408 current=47.2299 best=47.2299 
iter 26/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 27/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 28/100: anchor=47.5941 holdout=40.5408 current=47.2299 best=47.2299 
iter 29/100: anchor=47.4838 holdout=34.6731 current=47.2299 best=47.2299 
iter 30/100: anchor=47.5941 holdout=40.5408 current=47.2299 best=47.2299 
iter 31/100: anchor=47.4838 holdout=34.6731 current=47.2299 best=47.2299 
iter 32/100: anchor=47.4611 holdout=47.2299 current=47.2299 best=47.2299 
iter 33/100: anchor=47.4691 holdout=40.5408 current=47.2299 best=47.2299 
iter 34/100: anchor=47.1056 holdout=11.3852 current=47.2299 best=47.2299 
