gen,attempt,train_anchor_mean,holdout_mean,best_so_far,verdict,accepted,mmm_evals,chain_extras_mm_len
0,1,46.942207,-10764.687500,-inf,STRICT_PROGRESS,0,100,3
0,2,47.429282,-1337.917029,-inf,STRICT_PROGRESS,0,88,3
0,3,47.644775,-2749.774236,-inf,STRICT_PROGRESS,0,92,3
0,4,46.630981,-10764.687500,-inf,STRICT_PROGRESS,0,92,3
0,5,47.391113,19.069729,-inf,STRICT_PROGRESS,0,116,3
0,6,47.429282,-1337.917029,-inf,STRICT_PROGRESS,0,92,3
0,7,47.429282,-1337.917029,-inf,STRICT_PROGRESS,1,96,3
0,8,47.429282,-1337.917029,-inf,STRICT_PROGRESS,1,92,3
0,9,46.630981,-10764.687500,-inf,STRICT_PROGRESS,0,104,3
0,10,45.397529,-61.246245,-inf,STRICT_PROGRESS,0,100,3
0,0,47.391113,19.069729,-inf,ADVANCE + STRICT_PROGRESS,0,116,3
