iter,accepted,best_updated,anchor_mean,holdout_mean,current_holdout,best_holdout
0,true,true,41.820586,10.512791,10.512791,10.512791
1,false,false,41.820586,10.512791,10.512791,10.512791
2,true,true,39.975220,25.422566,25.422566,25.422566
3,false,false,39.975220,25.422566,25.422566,25.422566
4,true,true,42.377476,25.711523,25.711523,25.711523
5,true,true,42.330078,27.408101,27.408101,27.408101
6,false,false,42.330078,27.408101,27.408101,27.408101
7,false,false,42.509888,-1.465898,27.408101,27.408101
8,false,false,42.330078,27.408101,27.408101,27.408101
9,true,true,42.392598,33.137446,33.137446,33.137446
10,false,false,42.392598,33.137446,33.137446,33.137446
11,false,false,42.295654,23.635061,33.137446,33.137446
12,false,false,42.518047,28.219590,33.137446,33.137446
13,false,false,42.330078,27.408101,33.137446,33.137446
14,false,false,42.392598,33.137446,33.137446,33.137446
15,false,false,41.984321,31.028645,33.137446,33.137446
16,false,false,42.085264,31.535405,33.137446,33.137446
17,false,false,42.518047,28.219590,33.137446,33.137446
18,false,false,42.085264,31.535405,33.137446,33.137446
19,true,true,42.355469,38.789988,38.789988,38.789988
20,false,false,42.109985,29.187007,38.789988,38.789988
21,false,false,42.580078,23.635061,38.789988,38.789988
22,false,false,42.355469,38.789988,38.789988,38.789988
23,false,false,41.205078,23.635061,38.789988,38.789988
24,false,false,42.355469,38.789988,38.789988,38.789988
