=== BIT-TAPE INVENTOR ===
generations=10000 seed=0xB17BE17BE17BE17B pop_size=64 tournament=5 elite=2 mut_rate=0.70 xover_rate=0.50
gen 0 init: best_composite=-283.7431 avalanche=0.78 balance=29.92 chisq=1371.50 period=1024 used=161
gen 1/10000: best_composite=-275.6563 av=0.66 bal=31.78 chisq=1367.50 per=1024 used=154 mean_comp=-336.22
gen 10/10000: best_composite=-263.3038 av=0.70 bal=32.00 chisq=288.50 per=1024 used=163 mean_comp=-264.48
gen 20/10000: best_composite=-262.6681 av=0.75 bal=31.98 chisq=264.00 per=1024 used=163 mean_comp=-263.35
gen 30/10000: best_composite=-261.9531 av=0.81 bal=31.98 chisq=244.50 per=1024 used=159 mean_comp=-262.93
gen 40/10000: best_composite=-261.7188 av=0.83 bal=32.00 chisq=232.50 per=1024 used=160 mean_comp=-262.15
gen 50/10000: best_composite=-261.0156 av=0.91 bal=32.02 chisq=232.50 per=1024 used=159 mean_comp=-262.27
gen 60/10000: best_composite=-260.9375 av=0.91 bal=32.00 chisq=232.50 per=1024 used=160 mean_comp=-261.60
gen 70/10000: best_composite=-260.8594 av=0.92 bal=32.02 chisq=232.50 per=1024 used=162 mean_comp=-261.59
gen 80/10000: best_composite=-260.4688 av=0.95 bal=32.00 chisq=232.50 per=1024 used=160 mean_comp=-261.30
gen 90/10000: best_composite=-260.1172 av=1.00 bal=31.98 chisq=232.50 per=1024 used=162 mean_comp=-260.61
gen 100/10000: best_composite=-259.7266 av=1.05 bal=31.96 chisq=232.50 per=1024 used=163 mean_comp=-260.36
gen 110/10000: best_composite=-259.2578 av=1.08 bal=31.99 chisq=232.50 per=1024 used=165 mean_comp=-260.42
gen 120/10000: best_composite=-258.5938 av=1.14 bal=32.00 chisq=235.50 per=1024 used=165 mean_comp=-259.63
gen 130/10000: best_composite=-257.3416 av=1.28 bal=31.99 chisq=266.50 per=1024 used=166 mean_comp=-258.29
gen 140/10000: best_composite=-256.6016 av=1.34 bal=32.01 chisq=238.50 per=1024 used=167 mean_comp=-257.52
gen 150/10000: best_composite=-256.5625 av=1.36 bal=31.97 chisq=238.50 per=1024 used=169 mean_comp=-257.12
gen 160/10000: best_composite=-255.6250 av=1.44 bal=32.00 chisq=253.50 per=1024 used=170 mean_comp=-255.97
gen 170/10000: best_composite=-254.5703 av=1.56 bal=32.04 chisq=253.50 per=1024 used=171 mean_comp=-255.33
gen 180/10000: best_composite=-253.3203 av=1.67 bal=32.01 chisq=245.50 per=1024 used=172 mean_comp=-254.14
gen 190/10000: best_composite=-252.7734 av=1.75 bal=31.95 chisq=245.50 per=1024 used=174 mean_comp=-253.14
gen 200/10000: best_composite=-251.5794 av=1.86 bal=31.98 chisq=264.50 per=1024 used=173 mean_comp=-252.46
gen 210/10000: best_composite=-250.1091 av=2.00 bal=32.01 chisq=262.00 per=1024 used=174 mean_comp=-251.16
gen 220/10000: best_composite=-247.9606 av=2.22 bal=32.02 chisq=262.00 per=1024 used=177 mean_comp=-249.03
gen 230/10000: best_composite=-247.6481 av=2.27 bal=31.95 chisq=262.00 per=1024 used=176 mean_comp=-247.99
gen 240/10000: best_composite=-245.6559 av=2.45 bal=32.02 chisq=262.00 per=1024 used=177 mean_comp=-246.82
gen 250/10000: best_composite=-244.9219 av=2.53 bal=32.05 chisq=246.00 per=1024 used=178 mean_comp=-245.79
gen 260/10000: best_composite=-242.9688 av=2.73 bal=32.06 chisq=246.00 per=1024 used=181 mean_comp=-244.18
gen 270/10000: best_composite=-242.0703 av=2.80 bal=31.99 chisq=246.00 per=1024 used=180 mean_comp=-243.39
gen 280/10000: best_composite=-241.1816 av=2.89 bal=31.98 chisq=246.00 per=1024 used=180 mean_comp=-241.97
gen 290/10000: best_composite=-240.3223 av=2.97 bal=32.00 chisq=243.50 per=1024 used=186 mean_comp=-241.16
gen 300/10000: best_composite=-239.0234 av=3.13 bal=32.05 chisq=243.50 per=1024 used=188 mean_comp=-240.09
gen 310/10000: best_composite=-238.1641 av=3.20 bal=32.04 chisq=217.00 per=1024 used=187 mean_comp=-238.76
gen 320/10000: best_composite=-236.7578 av=3.34 bal=32.04 chisq=217.00 per=1024 used=189 mean_comp=-238.35
gen 330/10000: best_composite=-235.1953 av=3.48 bal=32.01 chisq=243.50 per=1024 used=191 mean_comp=-235.83
gen 340/10000: best_composite=-234.4141 av=3.56 bal=31.99 chisq=243.50 per=1024 used=193 mean_comp=-235.41
gen 350/10000: best_composite=-230.8984 av=3.94 bal=31.95 chisq=243.50 per=1024 used=197 mean_comp=-233.66
gen 360/10000: best_composite=-227.8125 av=4.23 bal=31.98 chisq=252.50 per=1024 used=197 mean_comp=-229.67
gen 370/10000: best_composite=-227.1094 av=4.29 bal=32.01 chisq=252.50 per=1024 used=197 mean_comp=-228.47
gen 380/10000: best_composite=-225.7031 av=4.46 bal=31.93 chisq=252.50 per=1024 used=197 mean_comp=-227.19
gen 390/10000: best_composite=-224.2578 av=4.58 bal=31.99 chisq=239.50 per=1024 used=198 mean_comp=-225.98
gen 400/10000: best_composite=-220.4102 av=4.96 bal=31.99 chisq=239.50 per=1024 used=201 mean_comp=-222.57
gen 410/10000: best_composite=-220.2930 av=4.98 bal=31.98 chisq=239.50 per=1024 used=201 mean_comp=-221.36
gen 420/10000: best_composite=-217.0703 av=5.31 bal=31.96 chisq=232.50 per=1024 used=203 mean_comp=-218.45
gen 430/10000: best_composite=-213.4766 av=5.66 bal=32.02 chisq=232.50 per=1024 used=206 mean_comp=-214.64
gen 440/10000: best_composite=-211.9824 av=5.81 bal=31.98 chisq=227.50 per=1024 used=209 mean_comp=-213.22
gen 450/10000: best_composite=-210.7324 av=5.94 bal=32.02 chisq=227.50 per=1024 used=209 mean_comp=-212.24
gen 460/10000: best_composite=-208.1348 av=6.20 bal=32.02 chisq=227.50 per=1024 used=212 mean_comp=-209.45
gen 470/10000: best_composite=-206.2207 av=6.39 bal=32.02 chisq=227.50 per=1024 used=214 mean_comp=-208.41
gen 480/10000: best_composite=-201.0954 av=6.93 bal=32.07 chisq=262.00 per=1024 used=216 mean_comp=-205.37
gen 490/10000: best_composite=-200.8610 av=6.93 bal=32.02 chisq=262.00 per=1024 used=217 mean_comp=-202.78
gen 500/10000: best_composite=-196.9727 av=7.33 bal=32.05 chisq=246.50 per=1024 used=221 mean_comp=-200.63
gen 510/10000: best_composite=-195.0195 av=7.50 bal=32.01 chisq=246.50 per=1024 used=222 mean_comp=-197.64
gen 520/10000: best_composite=-194.6289 av=7.56 bal=32.05 chisq=246.50 per=1024 used=220 mean_comp=-196.92
gen 530/10000: best_composite=-192.0898 av=7.81 bal=32.05 chisq=243.00 per=1024 used=224 mean_comp=-194.06
gen 540/10000: best_composite=-190.4102 av=8.00 bal=32.09 chisq=243.00 per=1024 used=224 mean_comp=-193.79
gen 550/10000: best_composite=-189.1504 av=8.11 bal=32.05 chisq=243.00 per=1024 used=228 mean_comp=-191.16
gen 560/10000: best_composite=-187.6758 av=8.24 bal=32.01 chisq=224.00 per=1024 used=225 mean_comp=-189.47
gen 570/10000: best_composite=-186.2305 av=8.39 bal=31.97 chisq=251.50 per=1024 used=228 mean_comp=-188.00
gen 580/10000: best_composite=-184.7461 av=8.55 bal=32.05 chisq=251.50 per=1024 used=229 mean_comp=-186.19
gen 590/10000: best_composite=-182.2852 av=8.77 bal=32.00 chisq=251.50 per=1024 used=235 mean_comp=-185.66
gen 600/10000: best_composite=-181.7383 av=8.85 bal=31.96 chisq=246.00 per=1024 used=236 mean_comp=-184.22
gen 610/10000: best_composite=-179.9805 av=9.03 bal=32.06 chisq=246.00 per=1024 used=238 mean_comp=-182.84
gen 620/10000: best_composite=-179.1602 av=9.10 bal=31.98 chisq=246.00 per=1024 used=238 mean_comp=-182.12
gen 630/10000: best_composite=-178.1445 av=9.19 bal=32.01 chisq=246.00 per=1024 used=242 mean_comp=-179.77
gen 640/10000: best_composite=-177.0874 av=9.30 bal=32.00 chisq=265.50 per=1024 used=243 mean_comp=-179.10
gen 650/10000: best_composite=-175.0709 av=9.55 bal=32.05 chisq=286.50 per=1024 used=245 mean_comp=-177.86
gen 660/10000: best_composite=-172.2341 av=9.82 bal=32.03 chisq=287.00 per=1024 used=246 mean_comp=-175.88
gen 670/10000: best_composite=-168.9528 av=10.20 bal=32.13 chisq=287.00 per=1024 used=245 mean_comp=-171.72
gen 680/10000: best_composite=-163.9160 av=10.64 bal=32.05 chisq=253.00 per=1024 used=248 mean_comp=-166.33
gen 690/10000: best_composite=-161.8066 av=10.90 bal=32.16 chisq=254.50 per=1024 used=253 mean_comp=-164.90
gen 700/10000: best_composite=-159.0332 av=11.12 bal=32.05 chisq=255.00 per=1024 used=254 mean_comp=-160.52
gen 710/10000: best_composite=-155.0195 av=11.61 bal=31.77 chisq=215.00 per=1024 used=253 mean_comp=-159.24
gen 720/10000: best_composite=-150.1367 av=12.03 bal=32.09 chisq=207.50 per=1024 used=253 mean_comp=-152.36
gen 730/10000: best_composite=-149.1211 av=12.10 bal=32.02 chisq=202.50 per=1024 used=255 mean_comp=-150.10
gen 740/10000: best_composite=-148.1445 av=12.19 bal=31.98 chisq=222.00 per=1024 used=257 mean_comp=-149.94
gen 750/10000: best_composite=-142.4805 av=12.76 bal=32.01 chisq=226.00 per=1024 used=260 mean_comp=-146.58
gen 760/10000: best_composite=-141.7773 av=12.87 bal=32.09 chisq=199.50 per=1024 used=260 mean_comp=-145.32
gen 770/10000: best_composite=-137.4707 av=13.28 bal=32.05 chisq=222.50 per=1024 used=263 mean_comp=-140.57
gen 780/10000: best_composite=-134.8340 av=13.55 bal=31.94 chisq=222.50 per=1024 used=264 mean_comp=-138.58
gen 790/10000: best_composite=-131.7969 av=13.84 bal=32.03 chisq=248.50 per=1024 used=264 mean_comp=-135.00
gen 800/10000: best_composite=-128.6816 av=14.14 bal=31.99 chisq=254.50 per=1024 used=269 mean_comp=-132.64
gen 810/10000: best_composite=-128.4863 av=14.15 bal=32.00 chisq=254.50 per=1024 used=269 mean_comp=-131.63
gen 820/10000: best_composite=-126.7578 av=14.34 bal=32.04 chisq=242.50 per=1024 used=269 mean_comp=-130.38
gen 830/10000: best_composite=-122.9297 av=14.94 bal=31.54 chisq=242.50 per=1024 used=271 mean_comp=-128.16
gen 840/10000: best_composite=-120.5371 av=14.97 bal=32.04 chisq=253.50 per=1024 used=271 mean_comp=-123.61
gen 850/10000: best_composite=-119.9609 av=15.16 bal=32.31 chisq=253.50 per=1024 used=274 mean_comp=-122.78
gen 860/10000: best_composite=-117.9883 av=15.28 bal=31.84 chisq=253.50 per=1024 used=277 mean_comp=-120.05
gen 870/10000: best_composite=-116.4648 av=15.36 bal=31.98 chisq=253.50 per=1024 used=278 mean_comp=-120.41
gen 880/10000: best_composite=-112.7086 av=15.78 bal=32.08 chisq=270.00 per=1024 used=280 mean_comp=-118.96
gen 890/10000: best_composite=-112.0738 av=15.83 bal=31.95 chisq=270.00 per=1024 used=281 mean_comp=-115.31
gen 900/10000: best_composite=-109.4409 av=16.11 bal=31.91 chisq=265.50 per=1024 used=286 mean_comp=-111.61
gen 910/10000: best_composite=-109.2906 av=16.15 bal=31.87 chisq=270.00 per=1024 used=286 mean_comp=-110.70
gen 920/10000: best_composite=-107.0055 av=16.38 bal=31.87 chisq=270.00 per=1024 used=286 mean_comp=-109.26
gen 930/10000: best_composite=-103.6756 av=16.75 bal=31.80 chisq=271.00 per=1024 used=287 mean_comp=-106.39
gen 940/10000: best_composite=-101.1133 av=16.93 bal=31.92 chisq=251.00 per=1024 used=290 mean_comp=-104.71
gen 950/10000: best_composite=-97.3828 av=17.29 bal=32.05 chisq=251.00 per=1024 used=294 mean_comp=-101.19
gen 960/10000: best_composite=-93.0106 av=17.74 bal=31.95 chisq=267.00 per=1024 used=295 mean_comp=-95.88
gen 970/10000: best_composite=-89.7684 av=18.08 bal=31.91 chisq=267.00 per=1024 used=295 mean_comp=-94.52
gen 980/10000: best_composite=-88.0888 av=18.21 bal=32.01 chisq=267.00 per=1024 used=296 mean_comp=-92.87
gen 990/10000: best_composite=-86.9169 av=18.36 bal=31.91 chisq=267.00 per=1024 used=298 mean_comp=-89.87
