outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
0,mul_free,0x41A78032F20AF906,10000,24,4616,31.982910,32.015625,4096,258.375000,44.717227,31.982910,32.015625,4096,258.375000,44.717227,10,0xEAA4A1BBBF2DB45C,1880,10002,3202
1,mul_free,0x41A78032F20AF906,10000,24,9498,31.991211,32.019531,4096,263.625000,44.728203,31.991211,32.019531,4096,263.625000,44.728203,10,0xB0B40A5F89639A70,3825,20003,6342
2,mul_free,0x41A78032F20AF906,10000,24,0,31.991211,32.019531,4096,263.625000,44.228203,31.991211,32.019531,4096,263.625000,44.728203,10,0xB0B40A5F89639A70,5844,30004,9683
3,mul_free,0x41A78032F20AF906,10000,24,4653,31.982910,31.996094,4096,211.500000,43.309570,31.991211,32.019531,4096,263.625000,44.728203,10,0xB0B40A5F89639A70,7717,40005,13228
4,mul_free,0x41A78032F20AF906,10000,24,5327,31.959717,32.105469,4096,258.000000,42.539824,31.991211,32.019531,4096,263.625000,44.728203,10,0xB0B40A5F89639A70,9621,50006,16755
5,mul_free,0x41A78032F20AF906,10000,24,3250,31.986572,31.960938,4096,235.375000,44.170410,31.991211,32.019531,4096,263.625000,44.728203,10,0xB0B40A5F89639A70,11401,60007,19996
6,mul_free,0x41A78032F20AF906,10000,24,3910,31.983887,32.000000,4096,271.000000,44.178867,31.991211,32.019531,4096,263.625000,44.728203,10,0xB0B40A5F89639A70,13080,70008,23043
7,mul_free,0x41A78032F20AF906,10000,24,7649,31.995605,32.054688,4096,246.000000,44.182617,31.991211,32.019531,4096,263.625000,44.728203,10,0xB0B40A5F89639A70,14989,80009,26273
8,mul_free,0x41A78032F20AF906,10000,24,9963,32.046631,32.003906,4096,221.000000,43.014160,31.991211,32.019531,4096,263.625000,44.728203,10,0xB0B40A5F89639A70,16849,90010,29853
9,mul_free,0x41A78032F20AF906,10000,24,5592,32.028564,31.988281,4096,262.750000,45.078262,32.028564,31.988281,4096,262.750000,45.078262,9,0x9C6C72DEF4C30ABA,18998,100011,32476
10,mul_free,0x41A78032F20AF906,10000,24,4597,31.979004,31.992188,4096,268.000000,42.120977,32.028564,31.988281,4096,262.750000,45.078262,9,0x9C6C72DEF4C30ABA,20674,110012,36271
