outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
0,mul_free,0x85B49F02DE582F3E,100000,24,66694,31.990234,32.015625,4096,270.500000,45.169219,31.990234,32.015625,4096,270.500000,45.169219,9,0xD85D5FEDF136707F,18081,100002,28560
1,mul_free,0x85B49F02DE582F3E,100000,24,53993,31.984375,31.996094,4096,238.125000,45.824219,31.984375,31.996094,4096,238.125000,45.824219,8,0x8E4EAD9CBFB7EC26,37867,200003,55528
2,mul_free,0x85B49F02DE582F3E,100000,24,84699,31.992432,31.976563,4096,241.875000,44.807129,31.984375,31.996094,4096,238.125000,45.824219,8,0x8E4EAD9CBFB7EC26,56768,300004,85402
3,mul_free,0x85B49F02DE582F3E,100000,24,36653,31.986328,32.121094,4096,231.000000,44.757813,31.984375,31.996094,4096,238.125000,45.824219,8,0x8E4EAD9CBFB7EC26,76566,400005,115170
4,mul_free,0x85B49F02DE582F3E,100000,24,88819,32.013184,31.972656,4096,222.375000,45.731445,31.984375,31.996094,4096,238.125000,45.824219,8,0x8E4EAD9CBFB7EC26,95539,500006,142318
5,mul_free,0x85B49F02DE582F3E,100000,24,0,31.984375,31.996094,4096,238.125000,45.324219,31.984375,31.996094,4096,238.125000,45.824219,8,0x8E4EAD9CBFB7EC26,114370,600007,173038
6,mul_free,0x85B49F02DE582F3E,100000,24,53142,31.980469,31.953125,4096,252.250000,45.570313,31.984375,31.996094,4096,238.125000,45.824219,8,0x8E4EAD9CBFB7EC26,134555,700008,199227
7,mul_free,0x85B49F02DE582F3E,100000,24,54751,31.984375,31.976563,4096,245.750000,46.226563,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,156076,800009,223311
8,mul_free,0x85B49F02DE582F3E,100000,24,62351,32.001221,31.980469,4096,240.750000,45.390137,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,176263,900010,250241
9,mul_free,0x85B49F02DE582F3E,100000,24,74011,31.975830,32.070313,4096,242.125000,44.906738,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,194562,1000011,281053
10,mul_free,0x85B49F02DE582F3E,100000,24,99662,32.031250,32.007813,4096,254.375000,46.148438,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,218035,1100012,304018
11,mul_free,0x85B49F02DE582F3E,100000,24,89672,31.978027,32.062500,4096,243.000000,44.467773,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,235856,1200013,334161
12,mul_free,0x85B49F02DE582F3E,100000,24,80863,32.003906,32.050781,4096,236.750000,45.207031,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,254055,1300014,363693
13,mul_free,0x85B49F02DE582F3E,100000,24,71894,32.004883,31.988281,4096,272.250000,45.220078,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,272543,1400015,393809
14,mul_free,0x85B49F02DE582F3E,100000,24,49690,31.989746,32.019531,4096,227.125000,43.799805,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,290590,1500016,426731
15,mul_free,0x85B49F02DE582F3E,100000,24,54470,31.976318,32.007813,4096,234.500000,44.724121,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,311048,1600017,457626
16,mul_free,0x85B49F02DE582F3E,100000,24,0,31.984375,31.976563,4096,245.750000,45.726563,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,331780,1700018,487460
17,mul_free,0x85B49F02DE582F3E,100000,24,33250,31.956787,31.972656,4096,257.750000,44.403652,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,350969,1800019,517832
18,mul_free,0x85B49F02DE582F3E,100000,24,56788,32.015869,32.007813,4096,246.375000,44.302246,31.984375,31.976563,4096,245.750000,46.226563,7,0x92C110A8A9094625,369082,1900020,549675
