outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
0,mul_free,0xC1C1716EC97BD75E,10000,24,4585,32.021973,32.015625,4096,274.250000,44.009648,32.021973,32.015625,4096,274.250000,44.009648,11,0x979023FA9B6C6CD6,1785,10002,3197
1,mul_free,0xC1C1716EC97BD75E,10000,24,6541,32.001709,31.988281,4096,259.250000,44.381816,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,3511,20003,6428
2,mul_free,0xC1C1716EC97BD75E,10000,24,8064,31.950439,31.960938,4096,249.500000,44.309082,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,5407,30004,9338
3,mul_free,0xC1C1716EC97BD75E,10000,24,6743,32.045898,31.980469,4096,247.250000,43.443359,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,7258,40005,12632
4,mul_free,0xC1C1716EC97BD75E,10000,24,8069,31.984131,31.933594,4096,225.875000,43.009277,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,8782,50006,16200
5,mul_free,0xC1C1716EC97BD75E,10000,24,6079,32.033691,31.992188,4096,219.625000,42.624023,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,10540,60007,19853
6,mul_free,0xC1C1716EC97BD75E,10000,24,6534,31.934082,31.953125,4096,257.750000,43.578945,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,12447,70008,23159
7,mul_free,0xC1C1716EC97BD75E,10000,24,4638,31.986328,31.992188,4096,256.875000,43.805469,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,14181,80009,26213
8,mul_free,0xC1C1716EC97BD75E,10000,24,0,32.001709,31.988281,4096,259.250000,43.881816,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,15898,90010,29774
9,mul_free,0xC1C1716EC97BD75E,10000,24,9778,31.971436,31.972656,4096,259.125000,44.036387,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,17625,100011,33001
10,mul_free,0xC1C1716EC97BD75E,10000,24,0,32.001709,31.988281,4096,259.250000,43.881816,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,19495,110012,36189
11,mul_free,0xC1C1716EC97BD75E,10000,24,5658,32.044678,31.898438,4096,271.375000,44.381660,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,21496,120013,39269
12,mul_free,0xC1C1716EC97BD75E,10000,24,5298,31.920166,31.976563,4096,241.750000,43.584473,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,23333,130014,42387
13,mul_free,0xC1C1716EC97BD75E,10000,24,0,32.001709,31.988281,4096,259.250000,43.881816,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,24915,140015,45820
14,mul_free,0xC1C1716EC97BD75E,10000,24,4936,32.062256,32.054688,4096,238.625000,43.604004,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,26595,150016,48881
15,mul_free,0xC1C1716EC97BD75E,10000,24,0,32.001709,31.988281,4096,259.250000,43.881816,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,28276,160017,52399
16,mul_free,0xC1C1716EC97BD75E,10000,24,6657,31.996582,32.101563,4096,242.125000,43.458008,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,30172,170018,55815
17,mul_free,0xC1C1716EC97BD75E,10000,24,7001,32.007813,31.972656,4096,216.375000,43.285156,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,31850,180019,59235
18,mul_free,0xC1C1716EC97BD75E,10000,24,7239,32.012451,32.046875,4096,223.375000,43.641113,32.001709,31.988281,4096,259.250000,44.381816,11,0x73E71F580CE31D02,34004,190020,62738
19,mul_free,0xC1C1716EC97BD75E,10000,24,3906,32.051270,32.000000,4096,251.000000,45.487305,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,35773,200021,65452
20,mul_free,0xC1C1716EC97BD75E,10000,24,4869,31.949951,31.976563,4096,240.500000,42.382324,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,37301,210022,69081
21,mul_free,0xC1C1716EC97BD75E,10000,24,7306,32.004639,31.972656,4096,245.375000,44.316895,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,39110,220023,72566
22,mul_free,0xC1C1716EC97BD75E,10000,24,5491,31.960938,31.992188,4096,238.875000,43.070313,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,40790,230024,75756
23,mul_free,0xC1C1716EC97BD75E,10000,24,6547,31.997314,31.898438,4096,287.000000,43.645332,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,42509,240025,78753
24,mul_free,0xC1C1716EC97BD75E,10000,24,0,32.051270,32.000000,4096,251.000000,44.987305,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,44264,250026,81634
25,mul_free,0xC1C1716EC97BD75E,10000,24,9377,32.008789,31.988281,4096,250.750000,44.353516,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,46232,260027,84890
26,mul_free,0xC1C1716EC97BD75E,10000,24,0,32.051270,32.000000,4096,251.000000,44.987305,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,48115,270028,87720
27,mul_free,0xC1C1716EC97BD75E,10000,24,7241,32.050781,32.050781,4096,230.250000,43.238281,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,50009,280029,90988
28,mul_free,0xC1C1716EC97BD75E,10000,24,6632,31.951172,31.960938,4096,249.375000,44.316406,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,52067,290030,93648
29,mul_free,0xC1C1716EC97BD75E,10000,24,7172,31.962891,32.066406,4096,235.125000,44.296875,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,53720,300031,96818
30,mul_free,0xC1C1716EC97BD75E,10000,24,5181,31.991699,31.968750,4096,253.375000,43.760742,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,55590,310032,99986
31,mul_free,0xC1C1716EC97BD75E,10000,24,55,32.034668,31.972656,4096,251.000000,45.016602,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,57555,320033,102880
32,mul_free,0xC1C1716EC97BD75E,10000,24,4642,31.950928,32.039063,4096,247.500000,42.813965,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,59199,330034,106385
33,mul_free,0xC1C1716EC97BD75E,10000,24,5989,31.967041,31.996094,4096,242.750000,44.650879,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,60934,340035,109662
34,mul_free,0xC1C1716EC97BD75E,10000,24,9427,31.969971,32.000000,4096,251.875000,43.199707,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,62673,350036,113082
35,mul_free,0xC1C1716EC97BD75E,10000,24,5171,32.003418,32.031250,4096,231.750000,43.809570,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,64204,360037,116401
36,mul_free,0xC1C1716EC97BD75E,10000,24,1517,31.977295,32.011719,4096,245.750000,40.714355,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,65514,370038,120512
37,mul_free,0xC1C1716EC97BD75E,10000,24,2533,32.009277,32.039063,4096,270.875000,41.553164,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,67122,380039,124425
38,mul_free,0xC1C1716EC97BD75E,10000,24,4798,32.018311,32.000000,4096,259.250000,43.274395,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,69043,390040,127826
39,mul_free,0xC1C1716EC97BD75E,10000,24,0,32.051270,32.000000,4096,251.000000,44.987305,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,71152,400041,130691
40,mul_free,0xC1C1716EC97BD75E,10000,24,5332,32.033691,31.984375,4096,269.875000,43.436211,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,72892,410042,133939
41,mul_free,0xC1C1716EC97BD75E,10000,24,4751,31.993652,31.882813,4096,260.375000,44.296836,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,74760,420043,137002
42,mul_free,0xC1C1716EC97BD75E,10000,24,3,32.051270,32.000000,4096,251.000000,45.487305,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,76821,430044,139924
43,mul_free,0xC1C1716EC97BD75E,10000,24,4356,32.012451,32.000000,4096,232.500000,44.875488,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,79024,440045,142885
44,mul_free,0xC1C1716EC97BD75E,10000,24,8768,31.994873,32.082031,4096,270.000000,43.888574,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,80809,450046,145830
45,mul_free,0xC1C1716EC97BD75E,10000,24,4310,31.912598,31.957031,4096,242.500000,44.411133,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,82718,460047,148744
46,mul_free,0xC1C1716EC97BD75E,10000,24,0,32.051270,32.000000,4096,251.000000,44.987305,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,84672,470048,151951
47,mul_free,0xC1C1716EC97BD75E,10000,24,5989,32.004395,31.957031,4096,210.625000,43.241211,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,86294,480049,155273
48,mul_free,0xC1C1716EC97BD75E,10000,24,2989,31.855713,32.054688,4096,266.250000,41.171191,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,88060,490050,159255
49,mul_free,0xC1C1716EC97BD75E,10000,24,0,32.051270,32.000000,4096,251.000000,44.987305,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,89712,500051,162103
50,mul_free,0xC1C1716EC97BD75E,10000,24,7377,31.990967,32.023438,4096,275.625000,43.086230,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,91662,510052,165260
51,mul_free,0xC1C1716EC97BD75E,10000,24,4896,31.993896,31.996094,4096,250.500000,44.419434,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,93459,520053,168341
52,mul_free,0xC1C1716EC97BD75E,10000,24,5025,32.027832,31.984375,4096,241.000000,44.143555,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,95359,530054,171326
53,mul_free,0xC1C1716EC97BD75E,10000,24,4564,32.003418,32.035156,4096,219.625000,43.790039,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,97013,540055,174555
54,mul_free,0xC1C1716EC97BD75E,10000,24,9531,32.025146,32.019531,4096,240.625000,43.150879,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,98772,550056,177816
55,mul_free,0xC1C1716EC97BD75E,10000,24,5193,31.998535,31.937500,4096,275.125000,44.471602,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,100431,560057,180855
56,mul_free,0xC1C1716EC97BD75E,10000,24,5592,31.975342,32.007813,4096,230.375000,42.214355,32.051270,32.000000,4096,251.000000,45.487305,8,0xB5467004CF3EC181,101900,570058,184438
