outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
0,no_carry,0x1924FDB4D01DD1B0,10000,24,4689,31.968750,32.125000,4096,231.250000,43.562500,31.968750,32.125000,4096,231.250000,43.562500,11,0x18EFE4B09ECA04CD,2070,10002,3060
1,no_carry,0x1924FDB4D01DD1B0,10000,24,0,31.968750,32.125000,4096,231.250000,43.062500,31.968750,32.125000,4096,231.250000,43.562500,11,0x18EFE4B09ECA04CD,4215,20003,6359
2,no_carry,0x1924FDB4D01DD1B0,10000,24,4956,32.078125,32.042969,4096,232.000000,44.503906,32.078125,32.042969,4096,232.000000,44.503906,9,0xCCBA565DE112B0FC,6301,30004,9303
3,no_carry,0x1924FDB4D01DD1B0,10000,24,5464,32.031250,32.078125,4096,268.875000,43.658125,32.078125,32.042969,4096,232.000000,44.503906,9,0xCCBA565DE112B0FC,8539,40005,12449
4,no_carry,0x1924FDB4D01DD1B0,10000,24,8528,31.859375,31.980469,4096,257.250000,44.473594,32.078125,32.042969,4096,232.000000,44.503906,9,0xCCBA565DE112B0FC,10887,50006,14967
5,no_carry,0x1924FDB4D01DD1B0,10000,24,7236,31.875000,31.992188,4096,245.750000,42.710938,32.078125,32.042969,4096,232.000000,44.503906,9,0xCCBA565DE112B0FC,12950,60007,18191
6,no_carry,0x1924FDB4D01DD1B0,10000,24,9135,32.000000,31.984375,4096,252.250000,44.921875,32.000000,31.984375,4096,252.250000,44.921875,10,0x25777E68BA85951E,14937,70008,21222
7,no_carry,0x1924FDB4D01DD1B0,10000,24,9200,32.000000,31.980469,4096,221.500000,45.402344,32.000000,31.980469,4096,221.500000,45.402344,9,0xAC41F9201E8BB707,17136,80009,24113
8,no_carry,0x1924FDB4D01DD1B0,10000,24,8770,31.968750,32.039063,4096,255.000000,44.992188,32.000000,31.980469,4096,221.500000,45.402344,9,0xAC41F9201E8BB707,19545,90010,27083
9,no_carry,0x1924FDB4D01DD1B0,10000,24,0,32.000000,31.980469,4096,221.500000,44.902344,32.000000,31.980469,4096,221.500000,45.402344,9,0xAC41F9201E8BB707,21636,100011,30226
10,no_carry,0x1924FDB4D01DD1B0,10000,24,0,32.000000,31.980469,4096,221.500000,44.902344,32.000000,31.980469,4096,221.500000,45.402344,9,0xAC41F9201E8BB707,23856,110012,33148
