outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
0,mul_free,0x870D0E4A9BA0C681,1000,24,944,10.565430,32.273438,4096,288.000000,-169.042891,10.565430,32.273438,4096,288.000000,-169.042891,6,0x5237B028C806577D,292,1002,158
1,mul_free,0x870D0E4A9BA0C681,1000,24,875,28.430176,32.101563,4096,256.125000,6.782695,28.430176,32.101563,4096,256.125000,6.782695,14,0xA9BBB887E1D35F4,528,2003,471
2,mul_free,0x870D0E4A9BA0C681,1000,24,748,31.941895,32.046875,4096,266.625000,41.068320,31.941895,32.046875,4096,266.625000,41.068320,16,0x5A7FE013C070ED1F,695,3004,852
3,mul_free,0x870D0E4A9BA0C681,1000,24,843,31.937500,32.019531,4096,248.125000,42.777344,31.937500,32.019531,4096,248.125000,42.777344,13,0x8331D753B1A21292,846,4005,1194
4,mul_free,0x870D0E4A9BA0C681,1000,24,991,26.247559,31.558594,4096,236.625000,-16.231445,31.937500,32.019531,4096,248.125000,42.777344,13,0x8331D753B1A21292,1101,5006,1474
5,mul_free,0x870D0E4A9BA0C681,1000,24,727,29.147217,31.789063,4096,223.250000,14.917480,31.937500,32.019531,4096,248.125000,42.777344,13,0x8331D753B1A21292,1307,6007,1799
6,mul_free,0x870D0E4A9BA0C681,1000,24,922,31.981934,32.042969,4096,236.750000,42.604492,31.937500,32.019531,4096,248.125000,42.777344,13,0x8331D753B1A21292,1510,7008,2165
7,mul_free,0x870D0E4A9BA0C681,1000,24,742,32.096680,32.144531,4096,239.875000,40.810547,31.937500,32.019531,4096,248.125000,42.777344,13,0x8331D753B1A21292,1710,8009,2555
8,mul_free,0x870D0E4A9BA0C681,1000,24,856,32.004395,32.027344,4096,271.750000,40.651836,31.937500,32.019531,4096,248.125000,42.777344,13,0x8331D753B1A21292,1894,9010,2971
9,mul_free,0x870D0E4A9BA0C681,1000,24,872,31.976074,32.054688,4096,255.125000,43.986055,31.976074,32.054688,4096,255.125000,43.986055,11,0x206AE828A06F1244,2094,10011,3305
