outer_iter,mode,seed,sa_steps,max_prog_len,local_best_iter,local_avalanche,local_balance,local_period,local_chisq,local_composite,best_avalanche,best_balance,best_period,best_chisq,best_composite,best_len,best_hash,accepted,evaluated,elapsed_ms
0,unrestricted,0xD93C2A0808E56C21,1000,12,824,32.011963,32.074219,4096,231.625000,47.509277,32.011963,32.074219,4096,231.625000,47.509277,4,0x84B6511E3FC74022,340,1002,133
1,unrestricted,0xD93C2A0808E56C21,1000,12,792,31.997314,32.042969,4096,242.000000,47.758301,31.997314,32.042969,4096,242.000000,47.758301,4,0x6A27FCA2EE78AD39,690,2003,285
2,unrestricted,0xD93C2A0808E56C21,1000,12,690,31.974854,31.976563,4096,232.250000,47.631348,31.997314,32.042969,4096,242.000000,47.758301,4,0x6A27FCA2EE78AD39,1033,3004,422
3,unrestricted,0xD93C2A0808E56C21,1000,12,995,32.020264,31.953125,4096,220.000000,47.562988,31.997314,32.042969,4096,242.000000,47.758301,4,0x6A27FCA2EE78AD39,1386,4005,552
4,unrestricted,0xD93C2A0808E56C21,1000,12,0,31.997314,32.042969,4096,242.000000,47.758301,31.997314,32.042969,4096,242.000000,47.758301,4,0x6A27FCA2EE78AD39,1819,5006,680
5,unrestricted,0xD93C2A0808E56C21,1000,12,348,31.994141,31.996094,4096,229.500000,47.921875,31.994141,31.996094,4096,229.500000,47.921875,4,0x225AFABE076696E4,2115,6007,793
6,unrestricted,0xD93C2A0808E56C21,1000,12,5,31.995117,31.925781,4096,240.625000,47.580078,31.994141,31.996094,4096,229.500000,47.921875,4,0x225AFABE076696E4,2731,7008,928
7,unrestricted,0xD93C2A0808E56C21,1000,12,0,31.994141,31.996094,4096,229.500000,47.921875,31.994141,31.996094,4096,229.500000,47.921875,4,0x225AFABE076696E4,3258,8009,1049
8,unrestricted,0xD93C2A0808E56C21,1000,12,752,32.015137,32.007813,4096,237.250000,47.809570,31.994141,31.996094,4096,229.500000,47.921875,4,0x225AFABE076696E4,3686,9010,1185
9,unrestricted,0xD93C2A0808E56C21,1000,12,0,31.994141,31.996094,4096,229.500000,47.921875,31.994141,31.996094,4096,229.500000,47.921875,4,0x225AFABE076696E4,4204,10011,1317
