target,split,audit_prior,seed,n,binary_rate,own_prior_acc,base_acc,benefit,exclusive_margin,d0_rate,d1_count2corr,d2_sumcorr,d3_invcorr,d4_runcorr,d5_localmaxcorr,valid
TE1 count_ge1_mod4_eq0,train,thresh,0x00000000A11CE001,4096,0.349854,1.000000,0.650146,0.349854,0.500244,0.349854,0.360596,0.499756,0.498779,0.459229,0.450928,pass
TE2 count_ge2_mod3_eq0,train,thresh,0x00000000A11CE002,4096,0.335938,1.000000,0.664063,0.335938,0.493408,0.335938,0.319336,0.506592,0.498779,0.421387,0.435547,pass
TE3 count_ge5_mod2_eq0,train,thresh,0x00000000A11CE003,4096,0.503418,1.000000,0.503418,0.496582,0.493164,0.503418,0.507324,0.495361,0.499512,0.506836,0.493652,pass
TE4 count_ge1_mod3_eq1,val,thresh,0x00000000B11CE005,4096,0.382568,1.000000,0.617432,0.382568,0.489258,0.382568,0.392090,0.498779,0.510742,0.435059,0.477295,pass
TE5 count_ge4_mod5_eq0,heldout,thresh,0x00000000C11CE007,4096,0.222900,1.000000,0.777100,0.222900,0.494141,0.222900,0.252441,0.505859,0.495850,0.355225,0.344238,pass
ME1 sum_mod2_eq_c1,train,mixr,0x00000000A11CE006,4096,0.500000,1.000000,0.500000,0.500000,0.492432,0.500000,0.499268,0.557861,0.494873,0.502441,0.490479,pass
ME2 c2_mod3_eq_inv,train,mixr,0x00000000A11CE007,4096,0.330566,1.000000,0.669434,0.330566,0.533691,0.330566,0.337646,0.497559,0.502197,0.382813,0.440674,pass
ME3 sum_mod4_eq_inv,train,mixr,0x00000000A11CE008,4096,0.245850,1.000000,0.754150,0.245850,0.547607,0.245850,0.257324,0.511963,0.489990,0.322021,0.368164,pass
ME4 c1_mod3_eq_c5,val,mixr,0x00000000B11CE00A,4096,0.328857,1.000000,0.671143,0.328857,0.537354,0.328857,0.340576,0.491211,0.510986,0.382080,0.450928,pass
ME5 sum_mod5_eq_c4,heldout,mixr,0x00000000C11CE00C,4096,0.202393,1.000000,0.797607,0.202393,0.546631,0.202393,0.221191,0.488281,0.507568,0.304932,0.328857,pass
RE1 c2_mul_c5_mod4_eq0,train,ratio,0x00000000A11CE00B,4096,0.468506,1.000000,0.531494,0.468506,0.487549,0.468506,0.483643,0.507568,0.512451,0.464355,0.507080,pass
RE2 c1_mul_c4_mod5_eq0,train,ratio,0x00000000A11CE00C,4096,0.289307,1.000000,0.710693,0.289307,0.489746,0.289307,0.295166,0.506836,0.510254,0.366455,0.399902,pass
RE3 c3_mul_c1_mod3_eq0,train,ratio,0x00000000A11CE00D,4096,0.470703,1.000000,0.529297,0.470703,0.493408,0.470703,0.460693,0.499512,0.506104,0.458252,0.496826,pass
RE4 c2_mul_c4_mod3_eq0,val,ratio,0x00000000B11CE00F,4096,0.574219,1.000000,0.574219,0.425781,0.426270,0.574219,0.554443,0.505615,0.506104,0.573730,0.478516,pass
RE5 c1_mul_c5_mod2_eq0,heldout,ratio,0x00000000C11CE011,4096,0.775635,1.000000,0.775635,0.224365,0.236084,0.775635,0.763916,0.490723,0.509033,0.706787,0.339844,pass
RN1 run_ge2_ge4,train,run,0x00000000A11CE010,4096,0.627686,1.000000,0.627686,0.372314,0.343750,0.627686,0.656250,0.493652,0.491455,0.779297,0.465576,pass
RN2 run_ge4_ge2,train,run,0x00000000A11CE011,4096,0.778809,1.000000,0.778809,0.221191,0.206299,0.778809,0.793701,0.503418,0.512939,0.786133,0.337402,pass
RN3 local_max_ge2,train,run,0x00000000A11CE012,4096,0.572021,1.000000,0.572021,0.427979,0.433350,0.572021,0.566650,0.507813,0.497803,0.513184,0.486328,pass
RN4 first_descent_lt3,val,run,0x00000000B11CE014,4096,0.753906,1.000000,0.753906,0.246094,0.256836,0.753906,0.743164,0.501953,0.495117,0.655518,0.375000,pass
RN5 run_ge2_mod3_eq0,heldout,run,0x00000000C11CE016,4096,0.311035,1.000000,0.688965,0.311035,0.493896,0.311035,0.328857,0.496094,0.506104,0.457520,0.430908,pass
__VALIDITY__,frozen_split,-,-,-,-,-,-,-,-,-,-,-,-,-,0.792565,pass
