condition,arm,trial,candidate_evaluations,validation_accuracy,fixed_validation,singleton_probe,proposer_validation,random_exact_rate,detail
single_p3_m3_r1_s1,random_trial,0,1270,0.6760,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,1,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,2,1270,0.6760,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,3,1270,0.6780,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,4,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,5,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,6,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,7,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,8,1270,0.6780,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,9,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,10,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,11,1270,0.6740,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,12,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,13,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,14,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,15,1270,0.6780,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,16,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,17,1270,0.6760,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,18,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,19,1270,0.6780,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,20,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,21,1270,1.0000,,,,,raw_equal_budget
single_p3_m3_r1_s1,random_trial,22,1270,1.0000,,,,,raw_equal_budget
