split,seed,arm,grammar,mask,modulus,residue,base_rate,fixed_menu_val,random_val,selected_val,test_acc,reconstruction_proxy_test,validity
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,1,2,0,0.2911,,,0.4469,0.4697,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,1,2,1,0.2911,,,0.5531,0.5303,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,1,3,0,0.2911,,,0.4880,0.4743,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,1,3,1,0.2911,,,0.6189,0.6223,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,1,3,2,0.2911,,,0.5846,0.6137,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,2,2,0,0.2911,,,0.4869,0.4469,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,2,2,1,0.2911,,,0.5131,0.5531,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,2,3,0,0.2911,,,0.4903,0.4863,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,2,3,1,0.2911,,,0.6011,0.6269,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,2,3,2,0.2911,,,0.6000,0.5971,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,3,2,0,0.2911,,,0.4697,0.4491,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,3,2,1,0.2911,,,0.5303,0.5509,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,3,3,0,0.2911,,,0.5674,0.5680,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,3,3,1,0.2911,,,0.5743,0.5823,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,3,3,2,0.2911,,,0.5497,0.5600,,RAW
measurement,0xA71C000000000001,grammar_enumeration,directed_partition_compare_mod,4,2,0,0.2911,,,0.4720,0.4491,,RAW
